Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,128403882,106459882,234863764,5112770.82,180917777,Summary,2017-07-19
Regional Rural Banks,40332054,7125064,47457118,1159045.93,35664904,Summary,2017-07-19
Private Sector Banks,5719465,3709880,9429345,205845.49,8754402,Summary,2017-07-19
Grand Total,174455401,117294826,291750227,6477662.24,225337083,Summary,2017-07-19
Allahabad Bank,5454377,1223835,6678212,133684.04,5188235,(A) Public Sector Banks,2017-07-19
Andhra Bank,1608108,808024,2416132,30238.97,1936384,(A) Public Sector Banks,2017-07-19
Bank of Baroda,8104169,12936370,21040539,494477.01,19622137,(A) Public Sector Banks,2017-07-19
Bank of India,8378219,9326310,17704529,350627.22,16954017,(A) Public Sector Banks,2017-07-19
Bank of Maharashtra,3526678,1110367,4637045,93462.94,921887,(A) Public Sector Banks,2017-07-19
Canara Bank,4509284,2086469,6595753,174519.19,4280859,(A) Public Sector Banks,2017-07-19
Central Bank of India,7782536,2009748,9792284,166433.88,7229933,(A) Public Sector Banks,2017-07-19
Corporation Bank,1362671,1338573,2701244,101422.55,2549579,(A) Public Sector Banks,2017-07-19
Dena Bank,3237839,909302,4147141,75384.51,2568966,(A) Public Sector Banks,2017-07-19
IDBI Bank Ltd.,463504,361575,825079,18688.59,667152,(A) Public Sector Banks,2017-07-19
Indian Bank,2178797,1087159,3265956,44187.87,3230225,(A) Public Sector Banks,2017-07-19
Indian Overseas Bank,964324,3364666,4328990,71883.73,4086710,(A) Public Sector Banks,2017-07-19
Oriental Bank of Commerce,2291953,1766017,4057970,409743.26,3714936,(A) Public Sector Banks,2017-07-19
Punjab & Sind Bank,489166,259067,748233,51082.88,716122,(A) Public Sector Banks,2017-07-19
Punjab National Bank,14214857,2659135,16873992,298562.66,13459639,(A) Public Sector Banks,2017-07-19
State Bank of India,44575119,54592827,99167946,1370110.14,69543293,(A) Public Sector Banks,2017-07-19
Syndicate Bank,3008152,1377288,4385440,114029.97,3808556,(A) Public Sector Banks,2017-07-19
UCO Bank,3159752,2690384,5850136,131708.07,3956223,(A) Public Sector Banks,2017-07-19
Union Bank of India,5516763,1487820,7004583,127557.18,4883912,(A) Public Sector Banks,2017-07-19
United Bank of India,6754934,4424907,11179841,836316.90,10137371,(A) Public Sector Banks,2017-07-19
Vijaya Bank,822680,640039,1462719,18649.25,1461641,(A) Public Sector Banks,2017-07-19
Public Sector Banks Sub Total,128403882,106459882,234863764,5112770.82,180917777,(A) Public Sector Banks,2017-07-19
Allahabad Bank,919055,169109,1088164,25663.54,768114,(B) Regional Rural Bank,2017-07-19
Andhra Bank,164754,17041,181795,2480.47,100425,(B) Regional Rural Bank,2017-07-19
Bank of Baroda,4131449,1171310,5302759,130111.53,4550368,(B) Regional Rural Bank,2017-07-19
Bank of India,2888465,941346,3829811,72174.94,3663230,(B) Regional Rural Bank,2017-07-19
Bank of Maharashtra,731426,123806,855232,21816.42,798373,(B) Regional Rural Bank,2017-07-19
Canara Bank,641962,439154,1081116,53117.83,1053225,(B) Regional Rural Bank,2017-07-19
Central Bank of India,3513875,676706,4190581,116711.64,3809892,(B) Regional Rural Bank,2017-07-19
Dena Bank,387981,13423,401404,11766.43,288934,(B) Regional Rural Bank,2017-07-19
Indian Bank,406162,120434,526596,6356.86,457352,(B) Regional Rural Bank,2017-07-19
Indian Overseas Bank,998111,9719,1007830,25575.39,616138,(B) Regional Rural Bank,2017-07-19
Jammu & Kashmir Bank Ltd,87651,15590,103241,4713.40,19570,(B) Regional Rural Bank,2017-07-19
Punjab & Sind Bank,18554,696,19250,309.12,17354,(B) Regional Rural Bank,2017-07-19
Punjab National Bank,3106439,413648,3520087,106747.82,3000775,(B) Regional Rural Bank,2017-07-19
State Bank of India,10238882,2009731,12248613,262734.69,6158649,(B) Regional Rural Bank,2017-07-19
Syndicate Bank,2038891,549011,2587902,86190.81,2469730,(B) Regional Rural Bank,2017-07-19
UCO Bank,1388416,52962,1441378,25184.59,559146,(B) Regional Rural Bank,2017-07-19
Union Bank of India,906135,295835,1201970,27521.63,751765,(B) Regional Rural Bank,2017-07-19
United Bank of India,7763846,105543,7869389,179868.84,6581864,(B) Regional Rural Bank,2017-07-19
Regional Rural Banks Sub Total,40332054,7125064,47457118,1159045.93,35664904,(B) Regional Rural Bank,2017-07-19
Axis Bank Ltd,108553,618235,726788,18354.95,646149,(C) Major Private Banks,2017-07-19
City Union Bank Ltd,15759,67785,83544,1458.15,70787,(C) Major Private Banks,2017-07-19
Federal Bank Ltd,388272,80968,469240,18307.17,414022,(C) Major Private Banks,2017-07-19
HDFC Bank Ltd,331314,1438964,1770278,81856.88,1769600,(C) Major Private Banks,2017-07-19
ICICI Bank Ltd,3216392,392225,3608617,20301.75,3608617,(C) Major Private Banks,2017-07-19
IndusInd Bank Ltd,41913,400943,442856,3228.49,418317,(C) Major Private Banks,2017-07-19
Jammu & Kashmir Bank Ltd,1337492,135183,1472675,52571.89,1161375,(C) Major Private Banks,2017-07-19
Karur Vysya Bank,24399,156761,181160,1563.39,178822,(C) Major Private Banks,2017-07-19
Kotak Mahindra Bank Ltd,108105,72332,180437,1773.04,132929,(C) Major Private Banks,2017-07-19
Lakshmi Vilas Bank Ltd,49285,128316,177601,1550.58,176131,(C) Major Private Banks,2017-07-19
RBL Bank Ltd,59787,35520,95307,273.18,95307,(C) Major Private Banks,2017-07-19
South Indian Bank Ltd,30320,174934,205254,4387.73,67939,(C) Major Private Banks,2017-07-19
Yes Bank Ltd,7874,7714,15588,218.31,14407,(C) Major Private Banks,2017-07-19
Major Private Banks Sub Total,5719465,3709880,9429345,205845.49,8754402,(C) Major Private Banks,2017-07-19
