Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,127516750,105886598,233403348,5052204.92,179961929,Summary,2017-06-28
Regional Rural Banks,40078004,7077783,47155787,1157179.09,35580470,Summary,2017-06-28
Private Sector Banks,5644524,3694221,9338745,204082.43,8650091,Summary,2017-06-28
Grand Total,173239278,116658602,289897880,6413466.44,224192490,Summary,2017-06-28
Allahabad Bank,5445097,1217822,6662919,130365.33,5176444,(A) Public Sector Banks,2017-06-28
Andhra Bank,1622271,795228,2417499,31648.77,1936384,(A) Public Sector Banks,2017-06-28
Bank of Baroda,7983945,12720040,20703985,480461.63,19333931,(A) Public Sector Banks,2017-06-28
Bank of India,8287684,9244690,17532374,346835.93,16429140,(A) Public Sector Banks,2017-06-28
Bank of Maharashtra,3425815,1099320,4525135,92237.37,904689,(A) Public Sector Banks,2017-06-28
Canara Bank,4490319,2075275,6565594,174066.32,4272694,(A) Public Sector Banks,2017-06-28
Central Bank of India,7658556,2001246,9659802,165043.30,7215767,(A) Public Sector Banks,2017-06-28
Corporation Bank,1362098,1338948,2701046,102029.23,2548086,(A) Public Sector Banks,2017-06-28
Dena Bank,3190340,906358,4096698,74468.01,2570247,(A) Public Sector Banks,2017-06-28
IDBI Bank Ltd.,463249,361609,824858,18832.99,667418,(A) Public Sector Banks,2017-06-28
Indian Bank,2176812,1086635,3263447,43085.32,3227745,(A) Public Sector Banks,2017-06-28
Indian Overseas Bank,959668,3349748,4309416,71591.37,4069901,(A) Public Sector Banks,2017-06-28
Oriental Bank of Commerce,2279147,1759149,4038296,409167.11,3709982,(A) Public Sector Banks,2017-06-28
Punjab & Sind Bank,493274,259410,752684,44774.42,720624,(A) Public Sector Banks,2017-06-28
Punjab National Bank,14070719,2641173,16711892,296271.70,13476381,(A) Public Sector Banks,2017-06-28
State Bank of India,44499449,54497244,98996693,1362866.04,69463873,(A) Public Sector Banks,2017-06-28
Syndicate Bank,2999775,1375683,4375458,112328.56,3799068,(A) Public Sector Banks,2017-06-28
UCO Bank,3156262,2686636,5842898,129965.88,3946065,(A) Public Sector Banks,2017-06-28
Union Bank of India,5464198,1468264,6932462,128223.57,4898227,(A) Public Sector Banks,2017-06-28
United Bank of India,6666070,4362081,11028151,819292.85,10133222,(A) Public Sector Banks,2017-06-28
Vijaya Bank,822002,640039,1462041,18649.25,1462041,(A) Public Sector Banks,2017-06-28
Public Sector Banks Sub Total,127516750,105886598,233403348,5052204.92,179961929,(A) Public Sector Banks,2017-06-28
Allahabad Bank,918848,169109,1087957,25841.32,768064,(B) Regional Rural Bank,2017-06-28
Andhra Bank,164582,17020,181602,2558.71,100360,(B) Regional Rural Bank,2017-06-28
Bank of Baroda,4077705,1158097,5235802,128472.84,4524615,(B) Regional Rural Bank,2017-06-28
Bank of India,2867191,934088,3801279,72813.64,3632668,(B) Regional Rural Bank,2017-06-28
Bank of Maharashtra,731255,123785,855040,22084.25,798245,(B) Regional Rural Bank,2017-06-28
Canara Bank,641738,438995,1080733,52531.91,1052853,(B) Regional Rural Bank,2017-06-28
Central Bank of India,3513313,675504,4188817,117793.11,3812150,(B) Regional Rural Bank,2017-06-28
Dena Bank,382958,13521,396479,11929.85,288934,(B) Regional Rural Bank,2017-06-28
Indian Bank,404014,119905,523919,6332.89,456495,(B) Regional Rural Bank,2017-06-28
Indian Overseas Bank,996580,9722,1006302,25337.02,616138,(B) Regional Rural Bank,2017-06-28
Jammu & Kashmir Bank Ltd,87482,15521,103003,4708.78,19561,(B) Regional Rural Bank,2017-06-28
Punjab & Sind Bank,18527,695,19222,278.59,17338,(B) Regional Rural Bank,2017-06-28
Punjab National Bank,3099459,411947,3511406,105593.18,2979140,(B) Regional Rural Bank,2017-06-28
State Bank of India,10139795,1990394,12130189,262225.73,6156231,(B) Regional Rural Bank,2017-06-28
Syndicate Bank,2038953,549281,2588234,86350.55,2469730,(B) Regional Rural Bank,2017-06-28
UCO Bank,1375153,52837,1427990,24282.26,559604,(B) Regional Rural Bank,2017-06-28
Union Bank of India,896674,291792,1188466,27230.56,751336,(B) Regional Rural Bank,2017-06-28
United Bank of India,7723777,105570,7829347,180813.89,6577008,(B) Regional Rural Bank,2017-06-28
Regional Rural Banks Sub Total,40078004,7077783,47155787,1157179.09,35580470,(B) Regional Rural Bank,2017-06-28
Axis Bank Ltd,107849,613516,721365,17613.43,641608,(C) Major Private Banks,2017-06-28
City Union Bank Ltd,15761,67798,83559,1446.81,70805,(C) Major Private Banks,2017-06-28
Federal Bank Ltd,385820,80746,466566,17987.57,412641,(C) Major Private Banks,2017-06-28
HDFC Bank Ltd,331288,1438922,1770210,82307.52,1769532,(C) Major Private Banks,2017-06-28
ICICI Bank Ltd,3152992,380003,3532995,20198.77,3532995,(C) Major Private Banks,2017-06-28
IndusInd Bank Ltd,41888,400619,442507,2572.18,418080,(C) Major Private Banks,2017-06-28
Jammu & Kashmir Bank Ltd,1329078,134846,1463924,52147.77,1159082,(C) Major Private Banks,2017-06-28
Karur Vysya Bank,24112,155899,180011,1616.28,162486,(C) Major Private Banks,2017-06-28
Kotak Mahindra Bank Ltd,108131,72390,180521,1812.57,132994,(C) Major Private Banks,2017-06-28
Lakshmi Vilas Bank Ltd,49182,127749,176931,1572.81,175517,(C) Major Private Banks,2017-06-28
RBL Bank Ltd,59787,35520,95307,269.45,95307,(C) Major Private Banks,2017-06-28
South Indian Bank Ltd,30756,178519,209275,4329.06,64637,(C) Major Private Banks,2017-06-28
Yes Bank Ltd,7880,7694,15574,208.21,14407,(C) Major Private Banks,2017-06-28
Major Private Banks Sub Total,5644524,3694221,9338745,204082.43,8650091,(C) Major Private Banks,2017-06-28
