Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,158361195,137561440,295922635,8272681.46,244319597,Summary,2019-10-09
Regional Rural Banks,51702060,11849453,63551513,1916999.19,38564525,Summary,2019-10-09
Private Sector Banks,7134990,5542373,12677363,299675.01,11605724,Summary,2019-10-09
Grand Total,217198245,154953266,372151511,10489355.66,294489846,Summary,2019-10-09
Allahabad Bank,8148488,3454701,11603189,400637.88,6561181,(A) Public Sector Banks,2019-10-09
Andhra Bank,1840332,1057483,2897815,58408.34,2160444,(A) Public Sector Banks,2019-10-09
Bank of Baroda,16948579,22367072,39315651,1186183.31,34472297,(A) Public Sector Banks,2019-10-09
Bank of India,11196394,11833922,23030316,655063.24,19716336,(A) Public Sector Banks,2019-10-09
Bank of Maharashtra,4612313,1360448,5972761,163369.86,1643355,(A) Public Sector Banks,2019-10-09
Canara Bank,5183988,2280930,7464918,255789.24,1757521,(A) Public Sector Banks,2019-10-09
Central Bank of India,11625615,2534721,14160336,331568.57,8609594,(A) Public Sector Banks,2019-10-09
Corporation Bank,1667127,1582549,3249676,121433.66,2806352,(A) Public Sector Banks,2019-10-09
Indian Bank,2656157,1249493,3905650,66545.85,3865171,(A) Public Sector Banks,2019-10-09
Indian Overseas Bank,1124376,3872328,4996704,120154.26,4595594,(A) Public Sector Banks,2019-10-09
Oriental Bank of Commerce,2911751,2073781,4985532,427861.45,4089778,(A) Public Sector Banks,2019-10-09
Punjab & Sind Bank,881561,436055,1317616,66900.13,1183164,(A) Public Sector Banks,2019-10-09
Punjab National Bank,16905552,2986087,19891639,514448.53,18575030,(A) Public Sector Banks,2019-10-09
State Bank of India,48182805,67971704,116154509,2484474.38,108588802,(A) Public Sector Banks,2019-10-09
Syndicate Bank,3583712,1535517,5119229,177586.88,4136261,(A) Public Sector Banks,2019-10-09
UCO Bank,4644965,3596790,8241755,249048.45,4098537,(A) Public Sector Banks,2019-10-09
Union Bank of India,8353375,2210141,10563516,246237.64,7008913,(A) Public Sector Banks,2019-10-09
United Bank of India,7894105,5157718,13051823,746969.78,10451267,(A) Public Sector Banks,2019-10-09
Public Sector Banks Sub Total,158361195,137561440,295922635,8272681.46,244319597,(A) Public Sector Banks,2019-10-09
Andhra Bank,167267,17453,184720,3543.33,101791,(B) Regional Rural Bank,2019-10-09
Bank of Baroda,6701339,1930978,8632317,282784.72,6344829,(B) Regional Rural Bank,2019-10-09
Bank of India,3698621,3293963,6992584,165788.95,4932514,(B) Regional Rural Bank,2019-10-09
Bank of Maharashtra,1503575,144631,1648206,40301.66,882020,(B) Regional Rural Bank,2019-10-09
Canara Bank,2556280,1068303,3624583,126887.21,2103534,(B) Regional Rural Bank,2019-10-09
Central Bank of India,3107393,445078,3552471,101259.71,3003208,(B) Regional Rural Bank,2019-10-09
Indian Bank,657368,196449,853817,12324.77,595390,(B) Regional Rural Bank,2019-10-09
Indian Overseas Bank,1100684,38112,1138796,41740.17,590272,(B) Regional Rural Bank,2019-10-09
Jammu & Kashmir Bank Ltd,121460,20114,141574,7392.02,27781,(B) Regional Rural Bank,2019-10-09
Punjab National Bank,5789906,925992,6715898,335858.02,4001674,(B) Regional Rural Bank,2019-10-09
State Bank of India,12659617,2542404,15202021,393162.00,5805938,(B) Regional Rural Bank,2019-10-09
Syndicate Bank,1901496,601213,2502709,76469.86,2191079,(B) Regional Rural Bank,2019-10-09
UCO Bank,681569,61977,743546,19301.90,197300,(B) Regional Rural Bank,2019-10-09
Union Bank of India,1275010,453774,1728784,49195.18,968693,(B) Regional Rural Bank,2019-10-09
United Bank of India,9780475,109012,9889487,260989.68,6818502,(B) Regional Rural Bank,2019-10-09
Regional Rural Banks Sub Total,51702060,11849453,63551513,1916999.19,38564525,(B) Regional Rural Bank,2019-10-09
Axis Bank Ltd,149058,730182,879240,22457.16,767835,(C) Major Private Banks,2019-10-09
City Union Bank Ltd,9731,75991,85722,1467.67,84543,(C) Major Private Banks,2019-10-09
Federal Bank Ltd,456807,101267,558074,23461.31,310974,(C) Major Private Banks,2019-10-09
HDFC Bank Ltd,396830,2072316,2469146,110684.26,2468468,(C) Major Private Banks,2019-10-09
ICICI Bank Ltd,3695043,1037741,4732784,27498.24,4732784,(C) Major Private Banks,2019-10-09
IDBI Bank Ltd.,474378,368650,843028,25133.00,709264,(C) Major Private Banks,2019-10-09
IndusInd Bank Ltd,34433,394399,428832,2783.62,404647,(C) Major Private Banks,2019-10-09
Jammu & Kashmir Bank Ltd,1618335,188063,1806398,74552.06,1430885,(C) Major Private Banks,2019-10-09
Karur Vysya Bank,28140,176507,204647,1851.27,201136,(C) Major Private Banks,2019-10-09
Kotak Mahindra Bank Ltd,126583,42677,169260,2182.30,126677,(C) Major Private Banks,2019-10-09
Lakshmi Vilas Bank Ltd,49227,132496,181723,2012.62,152731,(C) Major Private Banks,2019-10-09
RBL Bank Ltd,62358,45606,107964,291.32,105372,(C) Major Private Banks,2019-10-09
South Indian Bank Ltd,27645,171045,198690,5091.29,98886,(C) Major Private Banks,2019-10-09
Yes Bank Ltd,6422,5433,11855,208.89,11522,(C) Major Private Banks,2019-10-09
Major Private Banks Sub Total,7134990,5542373,12677363,299675.01,11605724,(C) Major Private Banks,2019-10-09
