Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,36166563,30410575,66577138,503350.28,48648882,Summary,2014-12-03
Regional Rural Banks,12223546,2157297,14380843,95976.79,2255185,Summary,2014-12-03
Private Sector Banks,861253,1073543,1934796,33732.02,1320187,Summary,2014-12-03
Grand Total,49251362,33641415,82892777,633059.09,52224254,Summary,2014-12-03
Allahabad Bank,1336502,595781,1932283,3553.79,1241294,(A) Public Sector Banks,2014-12-03
Andhra Bank,852674,567447,1420121,3269.28,1234292,(A) Public Sector Banks,2014-12-03
Bank of Baroda,1884960,2687923,4572883,34402.23,3983481,(A) Public Sector Banks,2014-12-03
Bank of India,1585643,2288892,3874535,15016.34,3013723,(A) Public Sector Banks,2014-12-03
Bhartiya Mahila Bank,0,48579,48579,245.08,47749,(A) Public Sector Banks,2014-12-03
Canara Bank,3025440,1463033,4488473,73194.53,3610073,(A) Public Sector Banks,2014-12-03
Central Bank of India,2937892,934731,3872623,11864.29,2650298,(A) Public Sector Banks,2014-12-03
Corporation Bank,701100,674565,1375665,21881.96,228628,(A) Public Sector Banks,2014-12-03
Dena Bank,977602,574145,1551747,7578.21,1376027,(A) Public Sector Banks,2014-12-03
IDBI Bank Ltd.,338303,335061,673364,1162.99,556447,(A) Public Sector Banks,2014-12-03
Indian Bank,1239063,732939,1972002,6537.37,1887390,(A) Public Sector Banks,2014-12-03
Indian Overseas Bank,689123,1388101,2077224,963.31,1586846,(A) Public Sector Banks,2014-12-03
Oriental Bank of Commerce,957466,678835,1636301,54847.13,1156024,(A) Public Sector Banks,2014-12-03
Punjab & Sind Bank,616424,343435,959859,25846.58,788469,(A) Public Sector Banks,2014-12-03
Punjab National Bank,3551467,886202,4437669,77572.34,1926184,(A) Public Sector Banks,2014-12-03
State Bank of Bikaner & Jaipur,646206,820790,1466996,22867.43,1385352,(A) Public Sector Banks,2014-12-03
State Bank of Hyderabad,596484,1172615,1769099,5571.04,1706063,(A) Public Sector Banks,2014-12-03
State Bank of India,6457982,9303318,15761300,13684.68,9412958,(A) Public Sector Banks,2014-12-03
State Bank of Mysore,444272,152690,596962,282.97,561047,(A) Public Sector Banks,2014-12-03
State Bank of Patiala,319414,603492,922906,23130.41,853982,(A) Public Sector Banks,2014-12-03
Syndicate Bank,1644954,888822,2533776,12393.38,2076502,(A) Public Sector Banks,2014-12-03
UCO Bank,1177288,1215393,2392681,32441.97,2352141,(A) Public Sector Banks,2014-12-03
Union Bank of India,2406175,776616,3182791,12911.88,2772492,(A) Public Sector Banks,2014-12-03
United Bank of India,1312385,914053,2226438,40331.05,1503590,(A) Public Sector Banks,2014-12-03
Vijaya Bank,467744,363117,830861,1800.01,737830,(A) Public Sector Banks,2014-12-03
Public Sector Banks Sub Total,36166563,30410575,66577138,503350.28,48648882,(A) Public Sector Banks,2014-12-03
Allahabad Bank,430848,89250,520098,710.47,130562,(B) Regional Rural Bank,2014-12-03
Andhra Bank,98697,8120,106817,217.90,20122,(B) Regional Rural Bank,2014-12-03
Bank of Baroda,965135,293466,1258601,6242.28,552391,(B) Regional Rural Bank,2014-12-03
Bank of India,932209,225314,1157523,1208.11,41630,(B) Regional Rural Bank,2014-12-03
Canara Bank,321161,172457,493618,503.70,159046,(B) Regional Rural Bank,2014-12-03
Central Bank of India,1314250,258615,1572865,18128.01,66912,(B) Regional Rural Bank,2014-12-03
Dena Bank,148304,8279,156583,777.85,30941,(B) Regional Rural Bank,2014-12-03
Indian Bank,231914,36095,268009,790.19,0,(B) Regional Rural Bank,2014-12-03
Indian Overseas Bank,312746,9034,321780,2149.56,76,(B) Regional Rural Bank,2014-12-03
Punjab & Sind Bank,9204,1898,11102,0.00,4290,(B) Regional Rural Bank,2014-12-03
Punjab National Bank,1190388,243055,1433443,21744.46,142209,(B) Regional Rural Bank,2014-12-03
State Bank of Bikaner & Jaipur,539960,16711,556671,4285.11,396747,(B) Regional Rural Bank,2014-12-03
State Bank of Hyderabad,361308,18777,380085,649.45,51363,(B) Regional Rural Bank,2014-12-03
State Bank of India,1961219,329458,2290677,13896.01,162631,(B) Regional Rural Bank,2014-12-03
State Bank of Mysore,203764,73488,277252,1404.77,172544,(B) Regional Rural Bank,2014-12-03
State Bank of Patiala,31053,559,31612,90.40,26926,(B) Regional Rural Bank,2014-12-03
Syndicate Bank,751899,228263,980162,7697.63,97785,(B) Regional Rural Bank,2014-12-03
UCO Bank,330975,8239,339214,2790.43,129107,(B) Regional Rural Bank,2014-12-03
Union Bank of India,391607,107392,498999,2737.94,20314,(B) Regional Rural Bank,2014-12-03
United Bank of India,1696905,28827,1725732,9952.52,49589,(B) Regional Rural Bank,2014-12-03
Regional Rural Banks Sub Total,12223546,2157297,14380843,95976.79,2255185,(B) Regional Rural Bank,2014-12-03
Axis Bank Ltd,68701,137433,206134,1364.17,80770,(C) Major Private Banks,2014-12-03
City Union Bank Ltd,8926,37884,46810,248.40,0,(C) Major Private Banks,2014-12-03
Federal Bank Ltd,119570,34460,154030,9852.87,73448,(C) Major Private Banks,2014-12-03
HDFC Bank Ltd,125556,509297,634853,20695.32,394544,(C) Major Private Banks,2014-12-03
ICICI Bank Ltd,423474,107721,531195,755.83,530172,(C) Major Private Banks,2014-12-03
IndusInd Bank Ltd,10420,69420,79840,131.81,75921,(C) Major Private Banks,2014-12-03
Karur Vysya Bank,4523,58880,63403,128.13,55758,(C) Major Private Banks,2014-12-03
Kotak Mahindra Bank Ltd,23395,17463,40858,116.19,39837,(C) Major Private Banks,2014-12-03
Lakshmi Vilas Bank Ltd,4260,18299,22559,51.66,0,(C) Major Private Banks,2014-12-03
RBL Bank Ltd,59998,29425,89423,49.94,39761,(C) Major Private Banks,2014-12-03
South Indian Bank Ltd,10022,52020,62042,326.13,26327,(C) Major Private Banks,2014-12-03
Yes Bank Ltd,2408,1241,3649,11.57,3649,(C) Major Private Banks,2014-12-03
Major Private Banks Sub Total,861253,1073543,1934796,33732.02,1320187,(C) Major Private Banks,2014-12-03
