Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,114400248,90714165,205114413,5793974.53,156000458,Summary,2016-11-30
Regional Rural Banks,37944591,6165537,44110128,1368211.92,29497136,Summary,2016-11-30
Private Sector Banks,5191584,3431389,8622973,269968.81,8065238,Summary,2016-11-30
Grand Total,157536423,100311091,257847514,7432155.26,193562832,Summary,2016-11-30
Allahabad Bank,4731363,1051762,5783125,138043.00,4444504,(A) Public Sector Banks,2016-11-30
Andhra Bank,1565913,723977,2289890,45419.64,1918100,(A) Public Sector Banks,2016-11-30
Bank of Baroda,7149269,9288261,16437530,573514.26,15241167,(A) Public Sector Banks,2016-11-30
Bank of India,7116255,8130761,15247016,378551.56,13381903,(A) Public Sector Banks,2016-11-30
Bank of Maharashtra,2812654,896846,3709500,103359.63,1723509,(A) Public Sector Banks,2016-11-30
Bhartiya Mahila Bank,0,68964,68964,2645.67,68964,(A) Public Sector Banks,2016-11-30
Canara Bank,5375824,2393868,7769692,232602.99,7185041,(A) Public Sector Banks,2016-11-30
Central Bank of India,6837432,1703024,8540456,196887.26,6098442,(A) Public Sector Banks,2016-11-30
Corporation Bank,1350532,1340043,2690575,144687.47,2584148,(A) Public Sector Banks,2016-11-30
Dena Bank,2668682,863398,3532080,81518.71,2267203,(A) Public Sector Banks,2016-11-30
IDBI Bank Ltd.,620642,525009,1145651,26897.88,951030,(A) Public Sector Banks,2016-11-30
Indian Bank,2059098,1038225,3097323,62301.41,2302540,(A) Public Sector Banks,2016-11-30
Indian Overseas Bank,909628,3171990,4081618,98142.41,3838946,(A) Public Sector Banks,2016-11-30
Oriental Bank of Commerce,2153357,1700530,3853887,492559.95,3638638,(A) Public Sector Banks,2016-11-30
Punjab & Sind Bank,831972,426445,1258417,77779.79,1249803,(A) Public Sector Banks,2016-11-30
Punjab National Bank,12355573,2244238,14599811,355476.47,9996325,(A) Public Sector Banks,2016-11-30
State Bank of Bikaner & Jaipur,1964629,1886120,3850749,179311.03,3266361,(A) Public Sector Banks,2016-11-30
State Bank of Hyderabad,998230,1813087,2811317,56486.85,2740078,(A) Public Sector Banks,2016-11-30
State Bank of India,33415862,39129546,72545408,1049668.08,50226646,(A) Public Sector Banks,2016-11-30
State Bank of Mysore,822033,223301,1045334,16042.72,855967,(A) Public Sector Banks,2016-11-30
State Bank of Patiala,442091,713971,1156062,28780.98,1043324,(A) Public Sector Banks,2016-11-30
State Bank of Travancore,76390,672509,748899,19865.36,382945,(A) Public Sector Banks,2016-11-30
Syndicate Bank,2882610,1263281,4145891,157945.23,3686345,(A) Public Sector Banks,2016-11-30
UCO Bank,3863340,3790073,7653413,341163.46,3860899,(A) Public Sector Banks,2016-11-30
Union Bank of India,4814081,1330453,6144534,163944.42,5354479,(A) Public Sector Banks,2016-11-30
United Bank of India,5716252,3696213,9412465,745543.00,6253308,(A) Public Sector Banks,2016-11-30
Vijaya Bank,866536,628270,1494806,24835.28,1439843,(A) Public Sector Banks,2016-11-30
Public Sector Banks Sub Total,114400248,90714165,205114413,5793974.53,156000458,(A) Public Sector Banks,2016-11-30
Allahabad Bank,846870,167041,1013911,27380.90,767889,(B) Regional Rural Bank,2016-11-30
Andhra Bank,156164,13618,169782,3668.10,142962,(B) Regional Rural Bank,2016-11-30
Bank of Baroda,3818909,1012955,4831864,159304.19,3848767,(B) Regional Rural Bank,2016-11-30
Bank of India,2640026,847357,3487383,71044.89,3202089,(B) Regional Rural Bank,2016-11-30
Bank of Maharashtra,603583,142939,746522,27343.35,450356,(B) Regional Rural Bank,2016-11-30
Canara Bank,625462,427552,1053014,79905.84,1032508,(B) Regional Rural Bank,2016-11-30
Central Bank of India,3526755,672437,4199192,148559.36,3870146,(B) Regional Rural Bank,2016-11-30
Dena Bank,296644,21656,318300,19515.43,285792,(B) Regional Rural Bank,2016-11-30
Indian Bank,379653,101420,481073,9389.65,347479,(B) Regional Rural Bank,2016-11-30
Indian Overseas Bank,978635,9758,988393,31120.59,616138,(B) Regional Rural Bank,2016-11-30
Jammu & Kashmir Bank Ltd,82624,14485,97109,5603.50,17538,(B) Regional Rural Bank,2016-11-30
Punjab & Sind Bank,17184,683,17867,39.74,12110,(B) Regional Rural Bank,2016-11-30
Punjab National Bank,3016984,374453,3391437,141837.99,2597437,(B) Regional Rural Bank,2016-11-30
State Bank of Bikaner & Jaipur,2191433,50845,2242278,37686.91,1308594,(B) Regional Rural Bank,2016-11-30
State Bank of Hyderabad,874301,150959,1025260,23550.00,508374,(B) Regional Rural Bank,2016-11-30
State Bank of India,6672039,1232226,7904265,181383.13,3863540,(B) Regional Rural Bank,2016-11-30
State Bank of Mysore,280977,85232,366209,18053.68,316628,(B) Regional Rural Bank,2016-11-30
State Bank of Patiala,52518,672,53190,2642.13,36789,(B) Regional Rural Bank,2016-11-30
Syndicate Bank,2010753,482539,2493292,108704.76,2235304,(B) Regional Rural Bank,2016-11-30
UCO Bank,1266829,45668,1312497,37341.39,558643,(B) Regional Rural Bank,2016-11-30
Union Bank of India,701780,210680,912460,31470.50,748650,(B) Regional Rural Bank,2016-11-30
United Bank of India,6904468,100362,7004830,202665.91,2729403,(B) Regional Rural Bank,2016-11-30
Regional Rural Banks Sub Total,37944591,6165537,44110128,1368211.92,29497136,(B) Regional Rural Bank,2016-11-30
Axis Bank Ltd,110067,526220,636287,25361.59,564007,(C) Major Private Banks,2016-11-30
City Union Bank Ltd,15652,67909,83561,1706.59,76389,(C) Major Private Banks,2016-11-30
Federal Bank Ltd,390112,75497,465609,25243.72,419615,(C) Major Private Banks,2016-11-30
HDFC Bank Ltd,354706,1366116,1720822,107702.88,1720144,(C) Major Private Banks,2016-11-30
ICICI Bank Ltd,2826148,323146,3149294,25648.36,3088397,(C) Major Private Banks,2016-11-30
IndusInd Bank Ltd,42998,427418,470416,5224.69,457701,(C) Major Private Banks,2016-11-30
Jammu & Kashmir Bank Ltd,1149901,113494,1263395,62842.29,1133720,(C) Major Private Banks,2016-11-30
Karur Vysya Bank,22241,140047,162288,2933.31,147561,(C) Major Private Banks,2016-11-30
Kotak Mahindra Bank Ltd,109240,75275,184515,3414.32,113481,(C) Major Private Banks,2016-11-30
Lakshmi Vilas Bank Ltd,61414,107646,169060,2799.22,167083,(C) Major Private Banks,2016-11-30
RBL Bank Ltd,59787,35520,95307,207.78,95307,(C) Major Private Banks,2016-11-30
South Indian Bank Ltd,41308,166928,208236,6612.63,68111,(C) Major Private Banks,2016-11-30
Yes Bank Ltd,8010,6173,14183,271.44,13722,(C) Major Private Banks,2016-11-30
Major Private Banks Sub Total,5191584,3431389,8622973,269968.81,8065238,(C) Major Private Banks,2016-11-30
