Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,107174844,84031921,191206765,3337850.70,153348452,Summary,2016-08-31
Regional Rural Banks,35540107,5782837,41322944,719923.49,28776145,Summary,2016-08-31
Private Sector Banks,5206915,3271760,8478675,151649.64,7879143,Summary,2016-08-31
Grand Total,147921866,93086518,241008384,4209423.83,190003740,Summary,2016-08-31
Allahabad Bank,4265365,1008552,5273917,64280.35,4383435,(A) Public Sector Banks,2016-08-31
Andhra Bank,1502212,722196,2224408,23060.25,1918002,(A) Public Sector Banks,2016-08-31
Bank of Baroda,6499764,8273974,14773738,294238.01,13763551,(A) Public Sector Banks,2016-08-31
Bank of India,6436280,7517503,13953783,205564.34,12910784,(A) Public Sector Banks,2016-08-31
Bank of Maharashtra,2609648,851310,3460958,59959.28,1723509,(A) Public Sector Banks,2016-08-31
Bhartiya Mahila Bank,0,69179,69179,1649.79,69179,(A) Public Sector Banks,2016-08-31
Canara Bank,5340895,2338122,7679017,137739.89,7146694,(A) Public Sector Banks,2016-08-31
Central Bank of India,6370804,1624357,7995161,102291.45,5934820,(A) Public Sector Banks,2016-08-31
Corporation Bank,1335405,1325126,2660531,75827.39,2574920,(A) Public Sector Banks,2016-08-31
Dena Bank,2512279,848107,3360386,39068.13,2301545,(A) Public Sector Banks,2016-08-31
IDBI Bank Ltd.,617252,519237,1136489,14484.20,949622,(A) Public Sector Banks,2016-08-31
Indian Bank,1998733,1013767,3012500,32188.58,2925820,(A) Public Sector Banks,2016-08-31
Indian Overseas Bank,1428748,2433885,3862633,47805.53,3730544,(A) Public Sector Banks,2016-08-31
Oriental Bank of Commerce,2271361,1523281,3794642,312837.92,3632733,(A) Public Sector Banks,2016-08-31
Punjab & Sind Bank,835447,426445,1261892,48287.08,1253475,(A) Public Sector Banks,2016-08-31
Punjab National Bank,11792321,2161695,13954016,193145.84,9961209,(A) Public Sector Banks,2016-08-31
State Bank of Bikaner & Jaipur,1928375,1857525,3785900,102714.58,3266299,(A) Public Sector Banks,2016-08-31
State Bank of Hyderabad,996688,1810375,2807063,30636.98,2740078,(A) Public Sector Banks,2016-08-31
State Bank of India,29861065,35828183,65689248,627352.47,47550878,(A) Public Sector Banks,2016-08-31
State Bank of Mysore,790218,221091,1011309,8987.30,836857,(A) Public Sector Banks,2016-08-31
State Bank of Patiala,426389,783207,1209596,20196.59,1143086,(A) Public Sector Banks,2016-08-31
State Bank of Travancore,73854,651664,725518,14449.51,371487,(A) Public Sector Banks,2016-08-31
Syndicate Bank,2846419,1243146,4089565,91633.98,3669464,(A) Public Sector Banks,2016-08-31
UCO Bank,3716460,3757499,7473959,183223.26,6947725,(A) Public Sector Banks,2016-08-31
Union Bank of India,4650382,1290785,5941167,93662.52,5419998,(A) Public Sector Banks,2016-08-31
United Bank of India,5242739,3343173,8585912,497916.65,4823337,(A) Public Sector Banks,2016-08-31
Vijaya Bank,825741,588537,1414278,14648.84,1399401,(A) Public Sector Banks,2016-08-31
Public Sector Banks Sub Total,107174844,84031921,191206765,3337850.70,153348452,(A) Public Sector Banks,2016-08-31
Allahabad Bank,655848,157107,812955,8865.14,764786,(B) Regional Rural Bank,2016-08-31
Andhra Bank,149457,13397,162854,1749.80,142962,(B) Regional Rural Bank,2016-08-31
Bank of Baroda,3601161,963366,4564527,82070.88,3687565,(B) Regional Rural Bank,2016-08-31
Bank of India,2507803,815505,3323308,32268.86,3202089,(B) Regional Rural Bank,2016-08-31
Bank of Maharashtra,381865,68491,450356,6408.55,450356,(B) Regional Rural Bank,2016-08-31
Canara Bank,587661,402947,990608,21457.03,990608,(B) Regional Rural Bank,2016-08-31
Central Bank of India,3589710,697418,4287128,96790.81,3965273,(B) Regional Rural Bank,2016-08-31
Dena Bank,290831,21427,312258,3997.19,285792,(B) Regional Rural Bank,2016-08-31
Indian Bank,349614,81106,430720,3934.92,347040,(B) Regional Rural Bank,2016-08-31
Indian Overseas Bank,929840,9717,939557,17855.13,616138,(B) Regional Rural Bank,2016-08-31
Jammu & Kashmir Bank Ltd,76423,14717,91140,3245.60,16260,(B) Regional Rural Bank,2016-08-31
Punjab & Sind Bank,16959,689,17648,27.91,12110,(B) Regional Rural Bank,2016-08-31
Punjab National Bank,2993807,368487,3362294,72383.88,2438612,(B) Regional Rural Bank,2016-08-31
State Bank of Bikaner & Jaipur,2095434,47203,2142637,32925.65,1307221,(B) Regional Rural Bank,2016-08-31
State Bank of Hyderabad,773844,133682,907526,26066.30,508374,(B) Regional Rural Bank,2016-08-31
State Bank of India,6202543,1128054,7330597,120196.76,3816616,(B) Regional Rural Bank,2016-08-31
State Bank of Mysore,278764,84514,363278,1440.46,316726,(B) Regional Rural Bank,2016-08-31
State Bank of Patiala,50721,672,51393,1248.00,36785,(B) Regional Rural Bank,2016-08-31
Syndicate Bank,1946686,465501,2412187,61518.03,2163772,(B) Regional Rural Bank,2016-08-31
UCO Bank,1129732,36319,1166051,21.24,558567,(B) Regional Rural Bank,2016-08-31
Union Bank of India,632971,180728,813699,4182.14,726490,(B) Regional Rural Bank,2016-08-31
United Bank of India,6298433,91790,6390223,121269.19,2422003,(B) Regional Rural Bank,2016-08-31
Regional Rural Banks Sub Total,35540107,5782837,41322944,719923.49,28776145,(B) Regional Rural Bank,2016-08-31
Axis Bank Ltd,126837,462822,589659,8183.49,541920,(C) Major Private Banks,2016-08-31
City Union Bank Ltd,14413,64163,78576,1050.77,69595,(C) Major Private Banks,2016-08-31
Federal Bank Ltd,376532,74279,450811,14427.71,406410,(C) Major Private Banks,2016-08-31
HDFC Bank Ltd,346722,1346986,1693708,68019.66,1693030,(C) Major Private Banks,2016-08-31
ICICI Bank Ltd,2801995,323465,3125460,14481.80,3064564,(C) Major Private Banks,2016-08-31
IndusInd Bank Ltd,39450,355425,394875,1963.24,377737,(C) Major Private Banks,2016-08-31
Jammu & Kashmir Bank Ltd,1202606,124563,1327169,35639.22,1129049,(C) Major Private Banks,2016-08-31
Karur Vysya Bank,21573,136181,157754,1294.38,144067,(C) Major Private Banks,2016-08-31
Kotak Mahindra Bank Ltd,109208,75268,184476,1709.73,113452,(C) Major Private Banks,2016-08-31
Lakshmi Vilas Bank Ltd,60332,106150,166482,1259.98,163294,(C) Major Private Banks,2016-08-31
RBL Bank Ltd,59787,35520,95307,171.01,95307,(C) Major Private Banks,2016-08-31
South Indian Bank Ltd,39677,160903,200580,3308.09,68418,(C) Major Private Banks,2016-08-31
Yes Bank Ltd,7783,6035,13818,140.54,12300,(C) Major Private Banks,2016-08-31
Major Private Banks Sub Total,5206915,3271760,8478675,151649.64,7879143,(C) Major Private Banks,2016-08-31
