Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,162341038,138180609,300521647,8635680.88,247505056,Summary,2019-12-18
Regional Rural Banks,52338145,11960454,64298599,1971240.78,37896724,Summary,2019-12-18
Private Sector Banks,6962050,5563359,12525409,307244.47,11509380,Summary,2019-12-18
Grand Total,221641233,155704422,377345655,10914166.13,296911160,Summary,2019-12-18
Allahabad Bank,10206692,1839973,12046665,417319.18,6060435,(A) Public Sector Banks,2019-12-18
Andhra Bank,1853132,1067821,2920953,62285.22,2158095,(A) Public Sector Banks,2019-12-18
Bank of Baroda,17165756,22799155,39964911,1228965.78,35056036,(A) Public Sector Banks,2019-12-18
Bank of India,11250145,11862793,23112938,692371.08,19827053,(A) Public Sector Banks,2019-12-18
Bank of Maharashtra,4677366,1390363,6067729,168918.88,1768571,(A) Public Sector Banks,2019-12-18
Canara Bank,5250050,2293732,7543782,263265.73,2083325,(A) Public Sector Banks,2019-12-18
Central Bank of India,11773362,2557943,14331305,345646.46,8768209,(A) Public Sector Banks,2019-12-18
Corporation Bank,1665682,1583349,3249031,122704.14,2806030,(A) Public Sector Banks,2019-12-18
Indian Bank,2690458,1261830,3952288,68914.16,3911809,(A) Public Sector Banks,2019-12-18
Indian Overseas Bank,1133028,3901800,5034828,125490.21,4633427,(A) Public Sector Banks,2019-12-18
Oriental Bank of Commerce,2929414,2086830,5016244,439050.91,4092943,(A) Public Sector Banks,2019-12-18
Punjab & Sind Bank,886732,436055,1322787,65280.01,1186882,(A) Public Sector Banks,2019-12-18
Punjab National Bank,16934537,2990888,19925425,536863.56,18718712,(A) Public Sector Banks,2019-12-18
State Bank of India,48915600,69472878,118388478,2651278.37,110988524,(A) Public Sector Banks,2019-12-18
Syndicate Bank,3623986,1548812,5172798,182994.72,4150788,(A) Public Sector Banks,2019-12-18
UCO Bank,4734418,3664808,8399226,259768.38,4137408,(A) Public Sector Banks,2019-12-18
Union Bank of India,8737388,2251650,10989038,264186.42,6747025,(A) Public Sector Banks,2019-12-18
United Bank of India,7913292,5169929,13083221,740377.65,10409784,(A) Public Sector Banks,2019-12-18
Public Sector Banks Sub Total,162341038,138180609,300521647,8635680.88,247505056,(A) Public Sector Banks,2019-12-18
Andhra Bank,167259,17449,184708,3672.45,101969,(B) Regional Rural Bank,2019-12-18
Bank of Baroda,6821081,1969091,8790172,288927.54,6397935,(B) Regional Rural Bank,2019-12-18
Bank of India,3738456,3324875,7063331,170633.60,4932514,(B) Regional Rural Bank,2019-12-18
Bank of Maharashtra,1516987,144671,1661658,41142.55,885501,(B) Regional Rural Bank,2019-12-18
Canara Bank,2563332,1063927,3627259,126784.08,1710985,(B) Regional Rural Bank,2019-12-18
Central Bank of India,3110523,447038,3557561,102645.95,2990501,(B) Regional Rural Bank,2019-12-18
Indian Bank,661399,198928,860327,12354.43,596053,(B) Regional Rural Bank,2019-12-18
Indian Overseas Bank,1150019,39945,1189964,47307.06,592796,(B) Regional Rural Bank,2019-12-18
Jammu & Kashmir Bank Ltd,123076,20358,143434,7388.46,31067,(B) Regional Rural Bank,2019-12-18
Punjab National Bank,5953299,952531,6905830,346477.35,3616852,(B) Regional Rural Bank,2019-12-18
State Bank of India,12830300,2566704,15397004,398966.34,5890086,(B) Regional Rural Bank,2019-12-18
Syndicate Bank,1926838,587985,2514823,82131.61,2200618,(B) Regional Rural Bank,2019-12-18
UCO Bank,688954,62505,751459,21440.28,197291,(B) Regional Rural Bank,2019-12-18
Union Bank of India,1278349,455200,1733549,51492.05,983034,(B) Regional Rural Bank,2019-12-18
United Bank of India,9808273,109247,9917520,269877.04,6769522,(B) Regional Rural Bank,2019-12-18
Regional Rural Banks Sub Total,52338145,11960454,64298599,1971240.78,37896724,(B) Regional Rural Bank,2019-12-18
Axis Bank Ltd,149780,736397,886177,22394.17,766501,(C) Major Private Banks,2019-12-18
City Union Bank Ltd,9731,75991,85722,1467.67,84543,(C) Major Private Banks,2019-12-18
Federal Bank Ltd,467531,107253,574784,23562.38,321242,(C) Major Private Banks,2019-12-18
HDFC Bank Ltd,395528,2081416,2476944,115143.73,2476266,(C) Major Private Banks,2019-12-18
ICICI Bank Ltd,3696336,1039506,4735842,27825.58,4735842,(C) Major Private Banks,2019-12-18
IDBI Bank Ltd.,474771,368394,843165,25488.91,708253,(C) Major Private Banks,2019-12-18
IndusInd Bank Ltd,34487,394813,429300,3094.02,398578,(C) Major Private Banks,2019-12-18
Jammu & Kashmir Bank Ltd,1432168,187036,1619204,76737.51,1430159,(C) Major Private Banks,2019-12-18
Karur Vysya Bank,28383,177006,205389,1783.79,201918,(C) Major Private Banks,2019-12-18
Kotak Mahindra Bank Ltd,125772,42365,168137,2206.76,16248,(C) Major Private Banks,2019-12-18
Lakshmi Vilas Bank Ltd,48684,132630,181314,1983.91,151942,(C) Major Private Banks,2019-12-18
RBL Bank Ltd,64758,43206,107964,294.92,105360,(C) Major Private Banks,2019-12-18
South Indian Bank Ltd,27729,171920,199649,5070.79,101033,(C) Major Private Banks,2019-12-18
Yes Bank Ltd,6392,5426,11818,190.34,11495,(C) Major Private Banks,2019-12-18
Major Private Banks Sub Total,6962050,5563359,12525409,307244.47,11509380,(C) Major Private Banks,2019-12-18
