Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,156809421,132656922,289466343,7967455.20,241289070,Summary,2019-07-24
Regional Rural Banks,52063980,10056189,62120169,1835413.49,38160296,Summary,2019-07-24
Private Sector Banks,6885832,5634474,12520306,295652.66,11564985,Summary,2019-07-24
Grand Total,215759233,148347585,364106818,10098521.35,291014351,Summary,2019-07-24
Allahabad Bank,7979453,3339676,11319129,370024.09,6540182,(A) Public Sector Banks,2019-07-24
Andhra Bank,1806440,1036766,2843206,56285.24,2106924,(A) Public Sector Banks,2019-07-24
Bank of Baroda,16521042,21615889,38136931,1128241.92,33414365,(A) Public Sector Banks,2019-07-24
Bank of India,10958582,11577076,22535658,613827.30,19195914,(A) Public Sector Banks,2019-07-24
Bank of Maharashtra,4472056,1287121,5759177,156614.23,1423809,(A) Public Sector Banks,2019-07-24
Canara Bank,5112549,2265866,7378415,243765.01,1339310,(A) Public Sector Banks,2019-07-24
Central Bank of India,11315236,2493999,13809235,318431.57,12860308,(A) Public Sector Banks,2019-07-24
Corporation Bank,1668276,1578251,3246527,120108.20,2806704,(A) Public Sector Banks,2019-07-24
Indian Bank,2611652,1236252,3847904,62919.13,3813303,(A) Public Sector Banks,2019-07-24
Indian Overseas Bank,1110699,3830446,4941145,114076.98,4526991,(A) Public Sector Banks,2019-07-24
Oriental Bank of Commerce,2876300,2056747,4933047,417951.33,4083903,(A) Public Sector Banks,2019-07-24
Punjab & Sind Bank,880769,436055,1316824,67662.70,1183164,(A) Public Sector Banks,2019-07-24
Punjab National Bank,16863771,2981397,19845168,494896.48,18536741,(A) Public Sector Banks,2019-07-24
State Bank of India,48375229,64571812,112947041,2359020.53,104472693,(A) Public Sector Banks,2019-07-24
Syndicate Bank,3502166,1513787,5015953,169062.28,4119582,(A) Public Sector Banks,2019-07-24
UCO Bank,4499735,3467864,7967599,235153.32,4063133,(A) Public Sector Banks,2019-07-24
Union Bank of India,8363603,2211400,10575003,240838.30,6350777,(A) Public Sector Banks,2019-07-24
United Bank of India,7891863,5156518,13048381,798576.58,10451267,(A) Public Sector Banks,2019-07-24
Public Sector Banks Sub Total,156809421,132656922,289466343,7967455.20,241289070,(A) Public Sector Banks,2019-07-24
Andhra Bank,167304,17475,184779,3603.49,101694,(B) Regional Rural Bank,2019-07-24
Bank of Baroda,6439466,1860182,8299648,269367.85,6156656,(B) Regional Rural Bank,2019-07-24
Bank of India,5162202,1714190,6876392,162375.53,4957933,(B) Regional Rural Bank,2019-07-24
Bank of Maharashtra,1348878,141095,1489973,39254.59,879105,(B) Regional Rural Bank,2019-07-24
Canara Bank,2522867,1067597,3590464,122897.92,2067060,(B) Regional Rural Bank,2019-07-24
Central Bank of India,3102013,441687,3543700,97315.41,2988494,(B) Regional Rural Bank,2019-07-24
Indian Bank,657365,189519,846884,12351.50,594140,(B) Regional Rural Bank,2019-07-24
Indian Overseas Bank,1061215,36737,1097952,38623.64,572294,(B) Regional Rural Bank,2019-07-24
Jammu & Kashmir Bank Ltd,119870,19805,139675,7139.37,26781,(B) Regional Rural Bank,2019-07-24
Punjab National Bank,5617572,890390,6507962,322391.05,3967339,(B) Regional Rural Bank,2019-07-24
State Bank of India,12419998,2490101,14910099,379784.46,5721575,(B) Regional Rural Bank,2019-07-24
Syndicate Bank,1869707,589068,2458775,71504.18,2176455,(B) Regional Rural Bank,2019-07-24
UCO Bank,670992,61210,732202,18346.25,197300,(B) Regional Rural Bank,2019-07-24
Union Bank of India,1213784,428537,1642321,46841.52,934968,(B) Regional Rural Bank,2019-07-24
United Bank of India,9690747,108596,9799343,243616.72,6818502,(B) Regional Rural Bank,2019-07-24
Regional Rural Banks Sub Total,52063980,10056189,62120169,1835413.49,38160296,(B) Regional Rural Bank,2019-07-24
Axis Bank Ltd,148367,723924,872291,21330.24,768439,(C) Major Private Banks,2019-07-24
City Union Bank Ltd,9731,75991,85722,1467.67,84543,(C) Major Private Banks,2019-07-24
Federal Bank Ltd,440902,83147,524049,22567.10,294994,(C) Major Private Banks,2019-07-24
HDFC Bank Ltd,392466,2070202,2462668,110478.84,2461990,(C) Major Private Banks,2019-07-24
ICICI Bank Ltd,3693064,1035072,4728136,26822.29,4728136,(C) Major Private Banks,2019-07-24
IDBI Bank Ltd.,473496,368828,842324,24736.26,709888,(C) Major Private Banks,2019-07-24
IndusInd Bank Ltd,0,492972,492972,3478.24,465731,(C) Major Private Banks,2019-07-24
Jammu & Kashmir Bank Ltd,1447045,189002,1636047,73288.76,1417664,(C) Major Private Banks,2019-07-24
Karur Vysya Bank,27829,175603,203432,1823.81,199867,(C) Major Private Banks,2019-07-24
Kotak Mahindra Bank Ltd,106231,69982,176213,2060.48,128142,(C) Major Private Banks,2019-07-24
Lakshmi Vilas Bank Ltd,49638,131804,181442,2104.13,146846,(C) Major Private Banks,2019-07-24
RBL Bank Ltd,63001,44963,107964,289.74,105733,(C) Major Private Banks,2019-07-24
South Indian Bank Ltd,27400,167385,194785,4993.57,41100,(C) Major Private Banks,2019-07-24
Yes Bank Ltd,6662,5599,12261,211.52,11912,(C) Major Private Banks,2019-07-24
Major Private Banks Sub Total,6885832,5634474,12520306,295652.66,11564985,(C) Major Private Banks,2019-07-24
