Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,139205199,119524283,258729482,6337146.57,194766288,Summary,2018-07-11
Regional Rural Banks,42634324,8890098,51524422,1378726.54,36903702,Summary,2018-07-11
Private Sector Banks,6005360,3955763,9961123,221243.95,9251428,Summary,2018-07-11
Grand Total,187844883,132370144,320215027,7937117.06,240921418,Summary,2018-07-11
Allahabad Bank,6339844,2012738,8352582,229432.93,6050170,(A) Public Sector Banks,2018-07-11
Andhra Bank,1524059,888359,2412418,34589.62,1809052,(A) Public Sector Banks,2018-07-11
Bank of Baroda,9630997,15891543,25522540,697920.20,23546652,(A) Public Sector Banks,2018-07-11
Bank of India,9499939,10382540,19882479,458638.72,18193697,(A) Public Sector Banks,2018-07-11
Bank of Maharashtra,4016858,1185305,5202163,118146.68,1083171,(A) Public Sector Banks,2018-07-11
Canara Bank,4711411,2135879,6847290,204148.23,4248035,(A) Public Sector Banks,2018-07-11
Central Bank of India,9463064,2194231,11657295,233963.34,9688248,(A) Public Sector Banks,2018-07-11
Corporation Bank,1366937,1347680,2714617,107000.95,2575659,(A) Public Sector Banks,2018-07-11
Dena Bank,3570186,934429,4504615,106415.82,2770163,(A) Public Sector Banks,2018-07-11
IDBI Bank Ltd.,462578,365171,827749,21773.11,676157,(A) Public Sector Banks,2018-07-11
Indian Bank,2249324,1116655,3365979,50375.86,3329526,(A) Public Sector Banks,2018-07-11
Indian Overseas Bank,983452,3430431,4413883,83100.84,4161688,(A) Public Sector Banks,2018-07-11
Oriental Bank of Commerce,2458406,1866674,4325080,445327.06,3820472,(A) Public Sector Banks,2018-07-11
Punjab & Sind Bank,652255,422130,1074385,56825.17,999078,(A) Public Sector Banks,2018-07-11
Punjab National Bank,15709538,2836465,18546003,359752.67,16945056,(A) Public Sector Banks,2018-07-11
State Bank of India,44403353,60672472,105075825,1809737.57,70325595,(A) Public Sector Banks,2018-07-11
Syndicate Bank,3085280,1389405,4474685,129961.53,3961737,(A) Public Sector Banks,2018-07-11
UCO Bank,3831330,3034683,6866013,177742.11,3898093,(A) Public Sector Banks,2018-07-11
Union Bank of India,6914895,1875063,8789958,191434.82,4848375,(A) Public Sector Banks,2018-07-11
United Bank of India,7508152,4906472,12414624,799358.15,10378306,(A) Public Sector Banks,2018-07-11
Vijaya Bank,823341,635958,1459299,21501.19,1457358,(A) Public Sector Banks,2018-07-11
Public Sector Banks Sub Total,139205199,119524283,258729482,6337146.57,194766288,(A) Public Sector Banks,2018-07-11
Allahabad Bank,938979,169314,1108293,29015.95,781002,(B) Regional Rural Bank,2018-07-11
Andhra Bank,167090,17463,184553,3180.25,101104,(B) Regional Rural Bank,2018-07-11
Bank of Baroda,4939016,1374426,6313442,180522.88,5030717,(B) Regional Rural Bank,2018-07-11
Bank of India,3152395,1037149,4189544,85821.91,3782331,(B) Regional Rural Bank,2018-07-11
Bank of Maharashtra,838288,134713,973001,21996.94,798797,(B) Regional Rural Bank,2018-07-11
Canara Bank,647839,441661,1089500,53928.74,1061349,(B) Regional Rural Bank,2018-07-11
Central Bank of India,3431814,800062,4231876,119434.49,3785660,(B) Regional Rural Bank,2018-07-11
Dena Bank,416188,14105,430293,14397.91,293084,(B) Regional Rural Bank,2018-07-11
Indian Bank,441043,144984,586027,7569.72,496331,(B) Regional Rural Bank,2018-07-11
Indian Overseas Bank,1003707,30563,1034270,31815.86,616138,(B) Regional Rural Bank,2018-07-11
Jammu & Kashmir Bank Ltd,93438,16998,110436,5342.40,21913,(B) Regional Rural Bank,2018-07-11
Punjab & Sind Bank,20087,1385,21472,9.27,19355,(B) Regional Rural Bank,2018-07-11
Punjab National Bank,3097593,561228,3658821,128696.52,3186808,(B) Regional Rural Bank,2018-07-11
State Bank of India,10319473,3078956,13398429,318355.04,6402451,(B) Regional Rural Bank,2018-07-11
Syndicate Bank,2027463,546449,2573912,100054.10,2470628,(B) Regional Rural Bank,2018-07-11
