Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,72362783,59831414,132194197,1569868.37,122485548,Summary,2015-07-15
Regional Rural Banks,25707903,4444039,30151942,349375.67,21891221,Summary,2015-07-15
Private Sector Banks,4061646,2814343,6875989,109592.88,6101736,Summary,2015-07-15
Grand Total,102132332,67089796,169222128,2028836.92,150478505,Summary,2015-07-15
Allahabad Bank,2441998,806635,3248633,18907.61,3193726,(A) Public Sector Banks,2015-07-15
Andhra Bank,1227917,689466,1917383,13630.35,1880914,(A) Public Sector Banks,2015-07-15
Bank of Baroda,4046415,5368923,9415338,147405.52,9023179,(A) Public Sector Banks,2015-07-15
Bank of India,3414862,4623880,8038742,64992.11,7789793,(A) Public Sector Banks,2015-07-15
Bank of Maharashtra,1331580,577565,1909145,21039.25,1723509,(A) Public Sector Banks,2015-07-15
Bhartiya Mahila Bank,0,63556,63556,1071.59,63556,(A) Public Sector Banks,2015-07-15
Canara Bank,4174167,1983105,6157272,83426.56,6157272,(A) Public Sector Banks,2015-07-15
Central Bank of India,4899201,1329314,6228515,47030.93,5239378,(A) Public Sector Banks,2015-07-15
Corporation Bank,1173025,1184279,2357304,57708.05,2328228,(A) Public Sector Banks,2015-07-15
Dena Bank,2014405,949874,2964279,28655.98,2797287,(A) Public Sector Banks,2015-07-15
IDBI Bank Ltd.,515812,453368,969180,5404.71,918640,(A) Public Sector Banks,2015-07-15
Indian Bank,1786676,959316,2745992,21276.88,2714220,(A) Public Sector Banks,2015-07-15
Indian Overseas Bank,1223160,2183272,3406432,34117.01,3313921,(A) Public Sector Banks,2015-07-15
Oriental Bank of Commerce,1644306,1126883,2771189,173856.95,2738559,(A) Public Sector Banks,2015-07-15
Punjab & Sind Bank,836114,425301,1261415,50516.10,1258501,(A) Public Sector Banks,2015-07-15
Punjab National Bank,8775205,1841382,10616587,87026.32,9758649,(A) Public Sector Banks,2015-07-15
State Bank of Bikaner & Jaipur,1349867,1499801,2849668,70237.85,2497148,(A) Public Sector Banks,2015-07-15
State Bank of Hyderabad,966196,1747717,2713913,18467.85,2649824,(A) Public Sector Banks,2015-07-15
State Bank of India,16556260,23046916,39603176,165958.82,35455238,(A) Public Sector Banks,2015-07-15
State Bank of Mysore,624382,213489,837871,5022.39,776123,(A) Public Sector Banks,2015-07-15
State Bank of Patiala,421336,778173,1199509,23222.28,1140675,(A) Public Sector Banks,2015-07-15
State Bank of Travancore,36087,309452,345539,7647.95,287312,(A) Public Sector Banks,2015-07-15
Syndicate Bank,2557047,1239163,3796210,60512.22,3512371,(A) Public Sector Banks,2015-07-15
UCO Bank,2633367,2737141,5370508,93431.71,5189232,(A) Public Sector Banks,2015-07-15
Union Bank of India,4056153,1154976,5211129,50219.50,5038733,(A) Public Sector Banks,2015-07-15
United Bank of India,2909805,2026792,4936597,210724.64,3782117,(A) Public Sector Banks,2015-07-15
