Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,114571528,89860739,204432267,5666805.36,157684148,Summary,2016-11-23
Regional Rural Banks,37604898,6107059,43711957,1350709.42,29464045,Summary,2016-11-23
Private Sector Banks,5194562,3425699,8620261,265957.56,8054141,Summary,2016-11-23
Grand Total,157370988,99393497,256764485,7283472.34,195202334,Summary,2016-11-23
Allahabad Bank,4684787,1044367,5729154,134490.82,4439460,(A) Public Sector Banks,2016-11-23
Andhra Bank,1532654,722722,2255376,47472.64,1918100,(A) Public Sector Banks,2016-11-23
Bank of Baroda,7086369,9140120,16226489,567955.86,15050043,(A) Public Sector Banks,2016-11-23
Bank of India,7090507,8091635,15182142,374230.73,13383763,(A) Public Sector Banks,2016-11-23
Bank of Maharashtra,2806679,896010,3702689,101706.82,1723509,(A) Public Sector Banks,2016-11-23
Bhartiya Mahila Bank,0,68938,68938,2641.31,68938,(A) Public Sector Banks,2016-11-23
Canara Bank,5375824,2392656,7768480,234183.53,7182159,(A) Public Sector Banks,2016-11-23
Central Bank of India,6812803,1699536,8512339,195178.65,6099152,(A) Public Sector Banks,2016-11-23
Corporation Bank,1349596,1339345,2688941,138379.08,2583635,(A) Public Sector Banks,2016-11-23
Dena Bank,2662710,862223,3524933,80097.49,2267203,(A) Public Sector Banks,2016-11-23
IDBI Bank Ltd.,620479,524959,1145438,26662.85,951077,(A) Public Sector Banks,2016-11-23
Indian Bank,2047091,1032483,3079574,63606.81,2284791,(A) Public Sector Banks,2016-11-23
Indian Overseas Bank,1483827,2594935,4078762,98143.07,3840924,(A) Public Sector Banks,2016-11-23
Oriental Bank of Commerce,2150164,1698977,3849141,480331.03,3636175,(A) Public Sector Banks,2016-11-23
Punjab & Sind Bank,830728,426445,1257173,77996.79,1249803,(A) Public Sector Banks,2016-11-23
Punjab National Bank,12298735,2229834,14528569,352999.46,9995533,(A) Public Sector Banks,2016-11-23
State Bank of Bikaner & Jaipur,1962245,1886496,3848741,171495.58,3263933,(A) Public Sector Banks,2016-11-23
State Bank of Hyderabad,996688,1810375,2807063,57290.93,2740078,(A) Public Sector Banks,2016-11-23
State Bank of India,33402185,39108630,72510815,1008385.38,50207039,(A) Public Sector Banks,2016-11-23
State Bank of Mysore,811846,222981,1034827,16841.59,908188,(A) Public Sector Banks,2016-11-23
State Bank of Patiala,426660,783258,1209918,36655.04,1143135,(A) Public Sector Banks,2016-11-23
State Bank of Travancore,76207,670702,746909,19931.82,380701,(A) Public Sector Banks,2016-11-23
Syndicate Bank,2877399,1261941,4139340,161321.76,3686534,(A) Public Sector Banks,2016-11-23
UCO Bank,3863340,3756332,7619672,304525.12,6947725,(A) Public Sector Banks,2016-11-23
Union Bank of India,4787337,1324099,6111436,165263.52,5360244,(A) Public Sector Banks,2016-11-23
United Bank of India,5681861,3663539,9345400,723858.85,4933257,(A) Public Sector Banks,2016-11-23
Vijaya Bank,852807,607201,1460008,25158.82,1439049,(A) Public Sector Banks,2016-11-23
Public Sector Banks Sub Total,114571528,89860739,204432267,5666805.36,157684148,(A) Public Sector Banks,2016-11-23
Allahabad Bank,833973,167041,1001014,26621.36,767875,(B) Regional Rural Bank,2016-11-23
Andhra Bank,155902,13609,169511,3862.23,142962,(B) Regional Rural Bank,2016-11-23
Bank of Baroda,3791944,1005413,4797357,158510.31,3828553,(B) Regional Rural Bank,2016-11-23
Bank of India,2635233,845636,3480869,69762.49,3202089,(B) Regional Rural Bank,2016-11-23
Bank of Maharashtra,569357,131831,701188,27084.35,450356,(B) Regional Rural Bank,2016-11-23
Canara Bank,612024,418524,1030548,78615.20,1022440,(B) Regional Rural Bank,2016-11-23
Central Bank of India,3526147,672088,4198235,146517.89,3870435,(B) Regional Rural Bank,2016-11-23
Dena Bank,296559,21639,318198,18959.10,285792,(B) Regional Rural Bank,2016-11-23
Indian Bank,372688,100940,473628,9753.09,347463,(B) Regional Rural Bank,2016-11-23
Indian Overseas Bank,979353,9757,989110,32148.74,616138,(B) Regional Rural Bank,2016-11-23
Jammu & Kashmir Bank Ltd,79683,15498,95181,5645.37,17480,(B) Regional Rural Bank,2016-11-23
Punjab & Sind Bank,17381,584,17965,48.98,12110,(B) Regional Rural Bank,2016-11-23
Punjab National Bank,3011057,372444,3383501,143899.92,2598626,(B) Regional Rural Bank,2016-11-23
State Bank of Bikaner & Jaipur,2178715,50366,2229081,37194.46,1308594,(B) Regional Rural Bank,2016-11-23
State Bank of Hyderabad,773844,133682,907526,26066.30,508374,(B) Regional Rural Bank,2016-11-23
State Bank of India,6649088,1226470,7875558,173766.92,3860124,(B) Regional Rural Bank,2016-11-23
