Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,137668579,118345985,256014564,6529760.05,192932309,Summary,2018-05-23
Regional Rural Banks,42991864,7910886,50902750,1356580.75,36814809,Summary,2018-05-23
Private Sector Banks,5851388,3956601,9807989,224516.30,9226029,Summary,2018-05-23
Grand Total,186511831,130213472,316725303,8110857.10,238973147,Summary,2018-05-23
Allahabad Bank,6050866,1757672,7808538,214644.71,6015364,(A) Public Sector Banks,2018-05-23
Andhra Bank,1518541,888056,2406597,34418.81,1808335,(A) Public Sector Banks,2018-05-23
Bank of Baroda,9344898,15329503,24674401,663118.54,22805502,(A) Public Sector Banks,2018-05-23
Bank of India,9339273,10231238,19570511,451201.74,18093829,(A) Public Sector Banks,2018-05-23
Bank of Maharashtra,3994019,1181173,5175192,115654.55,1064923,(A) Public Sector Banks,2018-05-23
Canara Bank,4673628,2121940,6795568,202040.69,4243932,(A) Public Sector Banks,2018-05-23
Central Bank of India,9209138,2178256,11387394,224452.16,9099981,(A) Public Sector Banks,2018-05-23
Corporation Bank,1362494,1352812,2715306,108019.67,2571917,(A) Public Sector Banks,2018-05-23
Dena Bank,3518011,929011,4447022,102120.61,2776977,(A) Public Sector Banks,2018-05-23
IDBI Bank Ltd.,461410,365098,826508,21290.86,676214,(A) Public Sector Banks,2018-05-23
Indian Bank,2236858,1105105,3341963,49594.55,3319205,(A) Public Sector Banks,2018-05-23
Indian Overseas Bank,977528,3418513,4396041,82482.92,4145760,(A) Public Sector Banks,2018-05-23
Oriental Bank of Commerce,2432892,1851221,4284113,440932.25,3799869,(A) Public Sector Banks,2018-05-23
Punjab & Sind Bank,652795,422111,1074906,58576.22,1000232,(A) Public Sector Banks,2018-05-23
Punjab National Bank,15594201,2823287,18417488,356134.83,16542892,(A) Public Sector Banks,2018-05-23
State Bank of India,44403353,60672472,105075825,1767815.90,70325595,(A) Public Sector Banks,2018-05-23
Syndicate Bank,3071365,1384212,4455577,126259.50,3882404,(A) Public Sector Banks,2018-05-23
UCO Bank,3751441,2995911,6747352,171094.67,4060425,(A) Public Sector Banks,2018-05-23
Union Bank of India,6840228,1852517,8692745,189422.16,4864464,(A) Public Sector Banks,2018-05-23
United Bank of India,7412180,4849866,12262046,1129176.66,10376936,(A) Public Sector Banks,2018-05-23
Vijaya Bank,823460,636011,1459471,21308.04,1457553,(A) Public Sector Banks,2018-05-23
Public Sector Banks Sub Total,137668579,118345985,256014564,6529760.05,192932309,(A) Public Sector Banks,2018-05-23
Allahabad Bank,932959,169314,1102273,29282.80,781002,(B) Regional Rural Bank,2018-05-23
Andhra Bank,166903,17412,184315,3178.30,101011,(B) Regional Rural Bank,2018-05-23
Bank of Baroda,4817302,1336138,6153440,173463.04,4958152,(B) Regional Rural Bank,2018-05-23
Bank of India,3100968,1018850,4119818,83611.23,3782331,(B) Regional Rural Bank,2018-05-23
Bank of Maharashtra,813252,126102,939354,20502.80,798639,(B) Regional Rural Bank,2018-05-23
Canara Bank,646792,441021,1087813,54049.86,1057874,(B) Regional Rural Bank,2018-05-23
Central Bank of India,3426823,793345,4220168,117619.39,3788407,(B) Regional Rural Bank,2018-05-23
Dena Bank,413458,13988,427446,14126.66,291977,(B) Regional Rural Bank,2018-05-23
Indian Bank,434647,143883,578530,7850.23,495837,(B) Regional Rural Bank,2018-05-23
Indian Overseas Bank,998153,30429,1028582,31407.94,616138,(B) Regional Rural Bank,2018-05-23
Jammu & Kashmir Bank Ltd,90971,16754,107725,5206.28,21796,(B) Regional Rural Bank,2018-05-23
Punjab & Sind Bank,19619,1283,20902,378.14,18595,(B) Regional Rural Bank,2018-05-23
Punjab National Bank,3078049,557864,3635913,128404.14,3180678,(B) Regional Rural Bank,2018-05-23
State Bank of India,11040405,2185655,13226060,309658.99,6398169,(B) Regional Rural Bank,2018-05-23
Syndicate Bank,2025472,547093,2572565,103123.79,2470628,(B) Regional Rural Bank,2018-05-23
UCO Bank,1528630,55456,1584086,33309.44,559347,(B) Regional Rural Bank,2018-05-23
Union Bank of India,1032351,349785,1382136,35780.81,756798,(B) Regional Rural Bank,2018-05-23
United Bank of India,8425110,106514,8531624,205626.90,6737430,(B) Regional Rural Bank,2018-05-23
Regional Rural Banks Sub Total,42991864,7910886,50902750,1356580.75,36814809,(B) Regional Rural Bank,2018-05-23
Axis Bank Ltd,116823,662565,779388,19514.35,690102,(C) Major Private Banks,2018-05-23
City Union Bank Ltd,9249,75474,84723,1488.44,79694,(C) Major Private Banks,2018-05-23
Federal Bank Ltd,401208,81411,482619,19688.61,423591,(C) Major Private Banks,2018-05-23
HDFC Bank Ltd,331909,1440337,1772246,90317.55,1771568,(C) Major Private Banks,2018-05-23
ICICI Bank Ltd,3477179,552445,4029624,20946.63,4029624,(C) Major Private Banks,2018-05-23
IndusInd Bank Ltd,41330,409819,451149,2921.62,424694,(C) Major Private Banks,2018-05-23
Jammu & Kashmir Bank Ltd,1205258,178893,1384151,59454.45,1198152,(C) Major Private Banks,2018-05-23
Karur Vysya Bank,25657,165792,191449,1662.23,188817,(C) Major Private Banks,2018-05-23
Kotak Mahindra Bank Ltd,107055,70923,177978,1979.71,130776,(C) Major Private Banks,2018-05-23
Lakshmi Vilas Bank Ltd,38704,98626,137330,1605.63,123315,(C) Major Private Banks,2018-05-23
RBL Bank Ltd,59787,35520,95307,204.08,94480,(C) Major Private Banks,2018-05-23
South Indian Bank Ltd,30535,179022,209557,4504.14,60465,(C) Major Private Banks,2018-05-23
Yes Bank Ltd,6694,5774,12468,228.85,10751,(C) Major Private Banks,2018-05-23
Major Private Banks Sub Total,5851388,3956601,9807989,224516.30,9226029,(C) Major Private Banks,2018-05-23
