Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,203246411,128200655,331447066,10793532.47,262619920,Summary,2021-02-17
Regional Rural Banks,65589088,9309340,74898428,2682746.77,34102374,Summary,2021-02-17
Private Sector Banks,6908852,5593891,12502743,417744.32,11252291,Summary,2021-02-17
Grand Total,275744351,143103886,418848237,13894023.56,307974585,Summary,2021-02-17
Bank of Baroda,35398119,13401637,48799756,1730212.57,42920619,(A) Public Sector Banks,2021-02-17
Bank of India,20410074,4765392,25175466,916802.18,20921718,(A) Public Sector Banks,2021-02-17
Bank of Maharashtra,5198143,1568895,6767038,242011.91,2590029,(A) Public Sector Banks,2021-02-17
Canara Bank,9757411,4045577,13802988,591452.44,7387837,(A) Public Sector Banks,2021-02-17
Central Bank of India,12244276,1960304,14204580,386279.53,8396338,(A) Public Sector Banks,2021-02-17
Indian Bank,14498335,3406533,17904868,665083.37,10578851,(A) Public Sector Banks,2021-02-17
Indian Overseas Bank,1193948,4073389,5267337,167412.58,4877249,(A) Public Sector Banks,2021-02-17
Punjab & Sind Bank,854427,477200,1331627,54465.66,1155223,(A) Public Sector Banks,2021-02-17
Punjab National Bank,29951480,9490925,39442405,1587976.62,27555115,(A) Public Sector Banks,2021-02-17
State Bank of India,53027289,75102021,128129310,3489116.63,119791026,(A) Public Sector Banks,2021-02-17
UCO Bank,5590768,4311905,9902673,350549.31,4348287,(A) Public Sector Banks,2021-02-17
Union Bank of India,15122141,5596877,20719018,612169.66,12097628,(A) Public Sector Banks,2021-02-17
Public Sector Banks Sub Total,203246411,128200655,331447066,10793532.47,262619920,(A) Public Sector Banks,2021-02-17
Bank of Baroda,11899487,3005404,14904891,547998.82,8603449,(B) Regional Rural Bank,2021-02-17
Bank of India,8066315,434100,8500415,214380.44,5212786,(B) Regional Rural Bank,2021-02-17
Bank of Maharashtra,2098236,242900,2341136,109247.33,1134205,(B) Regional Rural Bank,2021-02-17
Canara Bank,5239261,1134334,6373595,275518.61,2919438,(B) Regional Rural Bank,2021-02-17
Central Bank of India,3218944,460305,3679249,118727.54,2920112,(B) Regional Rural Bank,2021-02-17
Indian Bank,722729,243245,965974,18101.19,602622,(B) Regional Rural Bank,2021-02-17
Indian Overseas Bank,1270127,102721,1372848,63801.64,608043,(B) Regional Rural Bank,2021-02-17
Jammu & Kashmir Bank Ltd,197451,36386,233837,10792.08,66367,(B) Regional Rural Bank,2021-02-17
Punjab National Bank,17095110,1380290,18475400,711111.87,6015719,(B) Regional Rural Bank,2021-02-17
State Bank of India,14654032,2109992,16764024,575612.15,5891168,(B) Regional Rural Bank,2021-02-17
UCO Bank,938403,139485,1077888,31728.90,23165,(B) Regional Rural Bank,2021-02-17
Union Bank of India,188993,20178,209171,5726.19,105300,(B) Regional Rural Bank,2021-02-17
Regional Rural Banks Sub Total,65589088,9309340,74898428,2682746.77,34102374,(B) Regional Rural Bank,2021-02-17
Axis Bank Ltd,151283,738676,889959,32242.94,698447,(C) Major Private Banks,2021-02-17
City Union Bank Ltd,9738,76129,85867,1705.42,66483,(C) Major Private Banks,2021-02-17
Federal Bank Ltd,506285,111416,617701,29655.59,381182,(C) Major Private Banks,2021-02-17
HDFC Bank Ltd,415628,2115418,2531046,141649.64,2530382,(C) Major Private Banks,2021-02-17
ICICI Bank Ltd,3558294,902942,4461236,49626.49,4461236,(C) Major Private Banks,2021-02-17
IDBI Bank Ltd.,199672,647915,847587,31957.62,706937,(C) Major Private Banks,2021-02-17
IndusInd Bank Ltd,34135,402269,436404,5319.48,398628,(C) Major Private Banks,2021-02-17
Jammu & Kashmir Bank Ltd,1571938,206288,1778226,109398.85,1431286,(C) Major Private Banks,2021-02-17
Karur Vysya Bank,115632,69539,185171,2628.26,183400,(C) Major Private Banks,2021-02-17
Kotak Mahindra Bank Ltd,106677,53039,159716,2815.66,14930,(C) Major Private Banks,2021-02-17
Lakshmi Vilas Bank Ltd,141345,42793,184138,2542.31,150843,(C) Major Private Banks,2021-02-17
RBL Bank Ltd,63259,41592,104851,1390.68,104851,(C) Major Private Banks,2021-02-17
South Indian Bank Ltd,28437,180634,209071,6619.16,112273,(C) Major Private Banks,2021-02-17
Yes Bank Ltd,6529,5241,11770,192.21,11413,(C) Major Private Banks,2021-02-17
Major Private Banks Sub Total,6908852,5593891,12502743,417744.32,11252291,(C) Major Private Banks,2021-02-17
