Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,203667755,128432260,332100015,10859692.33,263079398,Summary,2021-03-03
Regional Rural Banks,65764812,9354209,75119021,2685582.59,34164511,Summary,2021-03-03
Private Sector Banks,6911062,5603432,12514494,421548.59,11224838,Summary,2021-03-03
Grand Total,276343629,143389901,419733530,13966823.51,308468747,Summary,2021-03-03
Bank of Baroda,35550635,13471081,49021716,1735492.65,43141727,(A) Public Sector Banks,2021-03-03
Bank of India,20459331,4777660,25236991,916655.55,20916878,(A) Public Sector Banks,2021-03-03
Bank of Maharashtra,5212779,1576122,6788901,243628.39,2618119,(A) Public Sector Banks,2021-03-03
Canara Bank,9767066,4049562,13816628,593480.83,7395150,(A) Public Sector Banks,2021-03-03
Central Bank of India,12285659,1963623,14249282,391395.59,8430117,(A) Public Sector Banks,2021-03-03
Indian Bank,14502239,3407920,17910159,669344.29,10582985,(A) Public Sector Banks,2021-03-03
Indian Overseas Bank,1195140,4076730,5271870,168477.74,4883861,(A) Public Sector Banks,2021-03-03
Punjab & Sind Bank,856401,478035,1334436,54606.76,1156356,(A) Public Sector Banks,2021-03-03
Punjab National Bank,29955067,9491344,39446411,1588244.44,27558743,(A) Public Sector Banks,2021-03-03
State Bank of India,53085815,75202946,128288761,3531120.17,119931544,(A) Public Sector Banks,2021-03-03
UCO Bank,5609247,4323871,9933118,350357.53,4347838,(A) Public Sector Banks,2021-03-03
Union Bank of India,15188376,5613366,20801742,616888.39,12116080,(A) Public Sector Banks,2021-03-03
Public Sector Banks Sub Total,203667755,128432260,332100015,10859692.33,263079398,(A) Public Sector Banks,2021-03-03
Bank of Baroda,11933237,3016730,14949967,551215.44,8639551,(B) Regional Rural Bank,2021-03-03
Bank of India,8099537,435934,8535471,217175.14,5212075,(B) Regional Rural Bank,2021-03-03
Bank of Maharashtra,2098834,243048,2341882,110313.31,1137733,(B) Regional Rural Bank,2021-03-03
Canara Bank,5249631,1136183,6385814,274829.73,2924935,(B) Regional Rural Bank,2021-03-03
Central Bank of India,3219431,460574,3680005,118436.11,2918072,(B) Regional Rural Bank,2021-03-03
Indian Bank,724441,244804,969245,17941.88,605698,(B) Regional Rural Bank,2021-03-03
Indian Overseas Bank,1275835,103264,1379099,63261.08,608516,(B) Regional Rural Bank,2021-03-03
Jammu & Kashmir Bank Ltd,198825,36561,235386,10728.75,68272,(B) Regional Rural Bank,2021-03-03
Punjab National Bank,17147250,1387560,18534810,705964.86,6019672,(B) Regional Rural Bank,2021-03-03
State Bank of India,14686158,2129273,16815431,578592.71,5901132,(B) Regional Rural Bank,2021-03-03
UCO Bank,942539,140100,1082639,31479.48,23467,(B) Regional Rural Bank,2021-03-03
Union Bank of India,189094,20178,209272,5644.09,105388,(B) Regional Rural Bank,2021-03-03
Regional Rural Banks Sub Total,65764812,9354209,75119021,2685582.59,34164511,(B) Regional Rural Bank,2021-03-03
Axis Bank Ltd,151665,743116,894781,32926.40,697230,(C) Major Private Banks,2021-03-03
City Union Bank Ltd,9738,76129,85867,1705.42,66483,(C) Major Private Banks,2021-03-03
Federal Bank Ltd,506720,111507,618227,30625.31,381837,(C) Major Private Banks,2021-03-03
HDFC Bank Ltd,415836,2117138,2532974,144869.47,2532310,(C) Major Private Banks,2021-03-03
ICICI Bank Ltd,3556923,904416,4461339,49260.16,4461339,(C) Major Private Banks,2021-03-03
IDBI Bank Ltd.,199712,647949,847661,31839.74,706852,(C) Major Private Banks,2021-03-03
IndusInd Bank Ltd,34137,402432,436569,5601.07,370090,(C) Major Private Banks,2021-03-03
Jammu & Kashmir Bank Ltd,1574145,206513,1780658,108360.61,1431266,(C) Major Private Banks,2021-03-03
Karur Vysya Bank,115684,69539,185223,2615.41,183506,(C) Major Private Banks,2021-03-03
Kotak Mahindra Bank Ltd,106589,53000,159589,2774.42,14909,(C) Major Private Banks,2021-03-03
Lakshmi Vilas Bank Ltd,141670,44508,186178,2661.25,150804,(C) Major Private Banks,2021-03-03
RBL Bank Ltd,63257,41589,104846,1381.67,104846,(C) Major Private Banks,2021-03-03
South Indian Bank Ltd,28395,180356,208751,6734.66,111908,(C) Major Private Banks,2021-03-03
Yes Bank Ltd,6591,5240,11831,192.99,11458,(C) Major Private Banks,2021-03-03
Major Private Banks Sub Total,6911062,5603432,12514494,421548.59,11224838,(C) Major Private Banks,2021-03-03
