Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
State Bank of India,11106584,2204144,13310728,315896.96,6403748,(B) Regional Rural Bank,2018-06-20
Syndicate Bank,2026303,546952,2573255,103827.30,2470628,(B) Regional Rural Bank,2018-06-20
UCO Bank,1549654,56212,1605866,33770.44,559347,(B) Regional Rural Bank,2018-06-20
Union Bank of India,1039862,352997,1392859,35959.78,757301,(B) Regional Rural Bank,2018-06-20
United Bank of India,8454539,106793,8561332,204866.95,6738518,(B) Regional Rural Bank,2018-06-20
Regional Rural Banks Sub Total,43226434,7968514,51194948,1371455.09,36862805,(B) Regional Rural Bank,2018-06-20
Axis Bank Ltd,117163,665122,782285,19221.68,691884,(C) Major Private Banks,2018-06-20
City Union Bank Ltd,9465,75677,85142,1464.42,83842,(C) Major Private Banks,2018-06-20
Federal Bank Ltd,401232,81371,482603,19886.04,423851,(C) Major Private Banks,2018-06-20
HDFC Bank Ltd,331956,1440370,1772326,86452.72,1771648,(C) Major Private Banks,2018-06-20
ICICI Bank Ltd,3479576,552445,4032021,20994.35,4032021,(C) Major Private Banks,2018-06-20
IndusInd Bank Ltd,41386,410781,452167,3493.87,425640,(C) Major Private Banks,2018-06-20
Jammu & Kashmir Bank Ltd,1333778,179095,1512873,59697.85,1201359,(C) Major Private Banks,2018-06-20
Karur Vysya Bank,26126,166778,192904,1634.56,189961,(C) Major Private Banks,2018-06-20
Kotak Mahindra Bank Ltd,106993,70822,177815,1961.72,130266,(C) Major Private Banks,2018-06-20
Lakshmi Vilas Bank Ltd,38724,99232,137956,1632.01,123894,(C) Major Private Banks,2018-06-20
RBL Bank Ltd,59787,35520,95307,207.69,94477,(C) Major Private Banks,2018-06-20
South Indian Bank Ltd,30535,179022,209557,4504.14,60465,(C) Major Private Banks,2018-06-20
Yes Bank Ltd,6698,5792,12490,238.30,12175,(C) Major Private Banks,2018-06-20
Major Private Banks Sub Total,5983419,3962027,9945446,221389.36,9241483,(C) Major Private Banks,2018-06-20
