Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,138354608,118833812,257188420,6406334.46,193890671,Summary,2018-06-20
Regional Rural Banks,43226434,7968514,51194948,1371455.09,36862805,Summary,2018-06-20
Private Sector Banks,5983419,3962027,9945446,221389.36,9241483,Summary,2018-06-20
Grand Total,187564461,130764353,318328814,7999178.91,239994959,Summary,2018-06-20
Allahabad Bank,6105299,1806245,7911544,224171.57,6041498,(A) Public Sector Banks,2018-06-20
Andhra Bank,1519010,888029,2407039,35100.48,1808145,(A) Public Sector Banks,2018-06-20
Bank of Baroda,9487881,15625309,25113190,680102.54,23190507,(A) Public Sector Banks,2018-06-20
Bank of India,9414697,10300750,19715447,454782.35,18159407,(A) Public Sector Banks,2018-06-20
Bank of Maharashtra,4005425,1183589,5189014,116437.43,1075459,(A) Public Sector Banks,2018-06-20
Canara Bank,4693170,2128658,6821828,202704.15,4245648,(A) Public Sector Banks,2018-06-20
Central Bank of India,9338352,2188788,11527140,232326.18,9148391,(A) Public Sector Banks,2018-06-20
Corporation Bank,1367178,1347574,2714752,107679.77,2575740,(A) Public Sector Banks,2018-06-20
Dena Bank,3541280,931129,4472409,106637.05,2772950,(A) Public Sector Banks,2018-06-20
IDBI Bank Ltd.,453938,316629,770567,20138.67,623953,(A) Public Sector Banks,2018-06-20
Indian Bank,2246406,1115604,3362010,49362.62,3325426,(A) Public Sector Banks,2018-06-20
Indian Overseas Bank,978849,3423010,4401859,82331.93,4151997,(A) Public Sector Banks,2018-06-20
Oriental Bank of Commerce,2445316,1858966,4304282,440102.20,3811559,(A) Public Sector Banks,2018-06-20
Punjab & Sind Bank,651559,422111,1073670,58802.74,999318,(A) Public Sector Banks,2018-06-20
Punjab National Bank,15653988,2830175,18484163,358138.55,16955549,(A) Public Sector Banks,2018-06-20
State Bank of India,44403353,60672472,105075825,1777464.19,70325595,(A) Public Sector Banks,2018-06-20
Syndicate Bank,3077172,1386824,4463996,127357.67,3950101,(A) Public Sector Banks,2018-06-20
UCO Bank,3799714,3018673,6818387,173572.98,4037174,(A) Public Sector Banks,2018-06-20
Union Bank of India,6873006,1861842,8734848,190033.99,4856590,(A) Public Sector Banks,2018-06-20
United Bank of India,7475650,4891464,12367114,948204.99,10378306,(A) Public Sector Banks,2018-06-20
Vijaya Bank,823365,635971,1459336,20882.40,1457358,(A) Public Sector Banks,2018-06-20
Public Sector Banks Sub Total,138354608,118833812,257188420,6406334.46,193890671,(A) Public Sector Banks,2018-06-20
Allahabad Bank,936126,169314,1105440,28997.26,781002,(B) Regional Rural Bank,2018-06-20
Andhra Bank,166972,17458,184430,3339.96,101082,(B) Regional Rural Bank,2018-06-20
Bank of Baroda,4873276,1354016,6227292,176951.79,4993539,(B) Regional Rural Bank,2018-06-20
Bank of India,3123723,1028298,4152021,83729.69,3782331,(B) Regional Rural Bank,2018-06-20
Bank of Maharashtra,825411,127664,953075,21916.91,798783,(B) Regional Rural Bank,2018-06-20
Canara Bank,647238,441293,1088531,53949.90,1060464,(B) Regional Rural Bank,2018-06-20
Central Bank of India,3428296,796850,4225146,119471.72,3786826,(B) Regional Rural Bank,2018-06-20
Dena Bank,415048,14056,429104,14236.96,292589,(B) Regional Rural Bank,2018-06-20
Indian Bank,437235,144872,582107,7786.33,496331,(B) Regional Rural Bank,2018-06-20
Indian Overseas Bank,999134,30443,1029577,31720.69,616138,(B) Regional Rural Bank,2018-06-20
Jammu & Kashmir Bank Ltd,91474,16809,108283,5258.04,21874,(B) Regional Rural Bank,2018-06-20
Punjab & Sind Bank,19765,1403,21168,7.48,18798,(B) Regional Rural Bank,2018-06-20
Punjab National Bank,3085794,558940,3644734,129766.92,3183506,(B) Regional Rural Bank,2018-06-20
