Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,124466068,103570780,228036848,4999902.04,177556592,Summary,2017-04-19
Regional Rural Banks,39660563,6863135,46523698,1185355.43,35331718,Summary,2017-04-19
Private Sector Banks,5559750,3702218,9261968,210760.01,8570745,Summary,2017-04-19
Grand Total,169686381,114136133,283822514,6396017.48,221459055,Summary,2017-04-19
Allahabad Bank,5412813,1198977,6611790,133176.53,5140766,(A) Public Sector Banks,2017-04-19
Andhra Bank,1625647,798570,2424217,31528.56,1935854,(A) Public Sector Banks,2017-04-19
Bank of Baroda,7694477,12167708,19862185,481062.15,18661191,(A) Public Sector Banks,2017-04-19
Bank of India,7937954,8968915,16906869,341881.53,16052526,(A) Public Sector Banks,2017-04-19
Bank of Maharashtra,3305500,988264,4293764,94320.68,865871,(A) Public Sector Banks,2017-04-19
Canara Bank,4415944,2067356,6483300,181639.89,4257566,(A) Public Sector Banks,2017-04-19
Central Bank of India,7256342,1967755,9224097,165217.82,7030688,(A) Public Sector Banks,2017-04-19
Corporation Bank,1364566,1352230,2716796,101220.47,2576346,(A) Public Sector Banks,2017-04-19
Dena Bank,3078730,923562,4002292,72672.99,2590472,(A) Public Sector Banks,2017-04-19
IDBI Bank Ltd.,600150,580505,1180655,22634.14,961872,(A) Public Sector Banks,2017-04-19
Indian Bank,2166309,1084585,3250894,46298.75,3212369,(A) Public Sector Banks,2017-04-19
Indian Overseas Bank,951997,3320692,4272689,75063.05,4034870,(A) Public Sector Banks,2017-04-19
Oriental Bank of Commerce,2234824,1740879,3975703,412866.78,3693882,(A) Public Sector Banks,2017-04-19
Punjab & Sind Bank,496661,269988,766649,60590.71,733829,(A) Public Sector Banks,2017-04-19
Punjab National Bank,13721628,2595899,16317527,299450.19,13514887,(A) Public Sector Banks,2017-04-19
State Bank of India,43479119,53253693,96732812,1329069.20,68080593,(A) Public Sector Banks,2017-04-19
Syndicate Bank,2976847,1377632,4354479,116525.55,3791632,(A) Public Sector Banks,2017-04-19
UCO Bank,3095438,2655368,5750806,130250.26,3918477,(A) Public Sector Banks,2017-04-19
Union Bank of India,5376862,1448781,6825643,135380.15,4928724,(A) Public Sector Banks,2017-04-19
