Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
United Bank of India,6436260,4168382,10604642,750093.38,10128658,(A) Public Sector Banks,2017-04-19
Vijaya Bank,838000,641039,1479039,18959.25,1445519,(A) Public Sector Banks,2017-04-19
Public Sector Banks Sub Total,124466068,103570780,228036848,4999902.04,177556592,(A) Public Sector Banks,2017-04-19
Allahabad Bank,918215,169109,1087324,27151.07,768064,(B) Regional Rural Bank,2017-04-19
Andhra Bank,163604,16957,180561,2482.57,100055,(B) Regional Rural Bank,2017-04-19
Bank of Baroda,4068441,1162856,5231297,134623.70,4576487,(B) Regional Rural Bank,2017-04-19
Bank of India,2832292,924581,3756873,70670.80,3580890,(B) Regional Rural Bank,2017-04-19
Bank of Maharashtra,731222,123792,855014,23220.18,794203,(B) Regional Rural Bank,2017-04-19
Canara Bank,641130,438611,1079741,55607.32,1052036,(B) Regional Rural Bank,2017-04-19
Central Bank of India,3517239,676995,4194234,121083.70,3819426,(B) Regional Rural Bank,2017-04-19
Dena Bank,278331,11075,289406,12735.21,288934,(B) Regional Rural Bank,2017-04-19
Indian Bank,404575,101838,506413,6671.92,444064,(B) Regional Rural Bank,2017-04-19
Indian Overseas Bank,991350,9733,1001083,25325.24,616138,(B) Regional Rural Bank,2017-04-19
Jammu & Kashmir Bank Ltd,86526,15341,101867,4722.32,18321,(B) Regional Rural Bank,2017-04-19
Punjab & Sind Bank,18140,695,18835,287.82,16874,(B) Regional Rural Bank,2017-04-19
Punjab National Bank,3085417,410284,3495701,109133.15,2939943,(B) Regional Rural Bank,2017-04-19
State Bank of India,10037569,1805540,11843109,260609.59,5986554,(B) Regional Rural Bank,2017-04-19
Syndicate Bank,2044803,556493,2601296,90984.30,2469473,(B) Regional Rural Bank,2017-04-19
UCO Bank,1399748,51994,1451742,24318.33,536424,(B) Regional Rural Bank,2017-04-19
Union Bank of India,873437,281865,1155302,28486.02,749096,(B) Regional Rural Bank,2017-04-19
United Bank of India,7568524,105376,7673900,187242.19,6574736,(B) Regional Rural Bank,2017-04-19
Regional Rural Banks Sub Total,39660563,6863135,46523698,1185355.43,35331718,(B) Regional Rural Bank,2017-04-19
Axis Bank Ltd,121295,583829,705124,18514.67,627813,(C) Major Private Banks,2017-04-19
City Union Bank Ltd,15750,68218,83968,1681.77,71298,(C) Major Private Banks,2017-04-19
Federal Bank Ltd,382346,80294,462640,19174.27,409553,(C) Major Private Banks,2017-04-19
HDFC Bank Ltd,326086,1407736,1733822,81406.87,1733144,(C) Major Private Banks,2017-04-19
ICICI Bank Ltd,3074926,358898,3433824,20421.96,3433824,(C) Major Private Banks,2017-04-19
IndusInd Bank Ltd,48550,490137,538687,4597.80,513138,(C) Major Private Banks,2017-04-19
Jammu & Kashmir Bank Ltd,1311427,133676,1445103,53507.84,1133720,(C) Major Private Banks,2017-04-19
Karur Vysya Bank,23479,159777,183256,2247.64,166571,(C) Major Private Banks,2017-04-19
Kotak Mahindra Bank Ltd,108171,72696,180867,1926.66,133237,(C) Major Private Banks,2017-04-19
Lakshmi Vilas Bank Ltd,48894,126182,175076,1841.82,173719,(C) Major Private Banks,2017-04-19
RBL Bank Ltd,59787,35520,95307,262.46,95307,(C) Major Private Banks,2017-04-19
South Indian Bank Ltd,31190,177581,208771,4954.22,65014,(C) Major Private Banks,2017-04-19
Yes Bank Ltd,7849,7674,15523,222.02,14407,(C) Major Private Banks,2017-04-19
Major Private Banks Sub Total,5559750,3702218,9261968,210760.01,8570745,(C) Major Private Banks,2017-04-19
