Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,48574913,41074856,89649769,698157.34,82565961,Summary,2015-01-14
Regional Rural Banks,16862226,2985744,19847970,140866.70,11550776,Summary,2015-01-14
Private Sector Banks,1965583,1674411,3639994,50896.25,2736153,Summary,2015-01-14
Grand Total,67402722,45735011,113137733,889920.29,96852890,Summary,2015-01-14
Allahabad Bank,1557562,691167,2248729,5590.14,2185647,(A) Public Sector Banks,2015-01-14
Andhra Bank,1013431,642975,1656406,5766.05,1562127,(A) Public Sector Banks,2015-01-14
Bank of Baroda,2523830,3568889,6092719,56129.44,5966028,(A) Public Sector Banks,2015-01-14
Bank of India,2121116,3075295,5196411,23904.73,5049531,(A) Public Sector Banks,2015-01-14
Bank of Maharashtra,1204469,560162,1764631,21524.75,1707608,(A) Public Sector Banks,2015-01-14
Bhartiya Mahila Bank,0,56525,56525,404.33,55920,(A) Public Sector Banks,2015-01-14
Canara Bank,3765514,1811296,5576810,72778.93,5436837,(A) Public Sector Banks,2015-01-14
Central Bank of India,3606185,1111644,4717829,17341.99,4168542,(A) Public Sector Banks,2015-01-14
Corporation Bank,865391,860403,1725794,25286.53,1585901,(A) Public Sector Banks,2015-01-14
Dena Bank,1382089,724135,2106224,12187.49,1971107,(A) Public Sector Banks,2015-01-14
IDBI Bank Ltd.,422292,391199,813491,2157.70,790681,(A) Public Sector Banks,2015-01-14
Indian Bank,1461525,853296,2314821,10421.18,2280154,(A) Public Sector Banks,2015-01-14
Indian Overseas Bank,868501,1712489,2580990,1173.51,2402647,(A) Public Sector Banks,2015-01-14
Oriental Bank of Commerce,1135451,808391,1943842,82656.41,1879484,(A) Public Sector Banks,2015-01-14
Punjab & Sind Bank,739535,403787,1143322,38486.67,1050380,(A) Public Sector Banks,2015-01-14
Punjab National Bank,5242135,1240024,6482159,77675.58,5422186,(A) Public Sector Banks,2015-01-14
State Bank of Bikaner & Jaipur,922495,1138598,2061093,41729.47,1532148,(A) Public Sector Banks,2015-01-14
State Bank of Hyderabad,754189,1420506,2174695,8783.88,2073521,(A) Public Sector Banks,2015-01-14
State Bank of India,9272060,13535777,22807837,14100.08,20035957,(A) Public Sector Banks,2015-01-14
State Bank of Mysore,524399,175174,699573,329.36,658110,(A) Public Sector Banks,2015-01-14
State Bank of Patiala,362659,681840,1044499,23215.40,1002720,(A) Public Sector Banks,2015-01-14
State Bank of Travancore,38580,282043,320623,13314.85,266721,(A) Public Sector Banks,2015-01-14
Syndicate Bank,1996351,1037891,3034242,22936.00,2749727,(A) Public Sector Banks,2015-01-14
UCO Bank,1612086,1700036,3312122,34417.71,3202734,(A) Public Sector Banks,2015-01-14
Union Bank of India,2900129,920256,3820385,19574.17,3732250,(A) Public Sector Banks,2015-01-14
United Bank of India,1664830,1227276,2892106,62842.48,2748884,(A) Public Sector Banks,2015-01-14
Vijaya Bank,618109,443782,1061891,3428.48,1048409,(A) Public Sector Banks,2015-01-14
Public Sector Banks Sub Total,48574913,41074856,89649769,698157.34,82565961,(A) Public Sector Banks,2015-01-14
Allahabad Bank,515887,109228,625115,1176.10,607819,(B) Regional Rural Bank,2015-01-14
Andhra Bank,116958,8968,125926,398.13,84689,(B) Regional Rural Bank,2015-01-14
Bank of Baroda,1375546,424098,1799644,11059.77,1655330,(B) Regional Rural Bank,2015-01-14
Bank of India,1213258,334493,1547751,1657.53,1512227,(B) Regional Rural Bank,2015-01-14
Bank of Maharashtra,321483,54357,375840,134.82,300990,(B) Regional Rural Bank,2015-01-14
Canara Bank,371276,200540,571816,6666.64,570977,(B) Regional Rural Bank,2015-01-14
Central Bank of India,1795579,349356,2144935,25380.53,1660734,(B) Regional Rural Bank,2015-01-14
Dena Bank,171064,9242,180306,1538.68,151840,(B) Regional Rural Bank,2015-01-14
Indian Bank,271616,38489,310105,1145.71,139217,(B) Regional Rural Bank,2015-01-14
Indian Overseas Bank,419725,9126,428851,3409.71,5898,(B) Regional Rural Bank,2015-01-14
Jammu & Kashmir Bank Ltd,32680,6716,39396,294.73,0,(B) Regional Rural Bank,2015-01-14
Punjab & Sind Bank,9340,1980,11320,55.92,11210,(B) Regional Rural Bank,2015-01-14
Punjab National Bank,1563374,290725,1854099,25863.18,561224,(B) Regional Rural Bank,2015-01-14
State Bank of Bikaner & Jaipur,748113,23140,771253,5777.15,717649,(B) Regional Rural Bank,2015-01-14
State Bank of Hyderabad,446572,76128,522700,792.56,67924,(B) Regional Rural Bank,2015-01-14
State Bank of India,3135888,545313,3681201,19159.29,340067,(B) Regional Rural Bank,2015-01-14
State Bank of Mysore,253327,74883,328210,1372.68,300245,(B) Regional Rural Bank,2015-01-14
State Bank of Patiala,34602,617,35219,442.73,32341,(B) Regional Rural Bank,2015-01-14
Syndicate Bank,911215,268322,1179537,11698.79,997282,(B) Regional Rural Bank,2015-01-14
UCO Bank,428329,8786,437115,4243.42,329435,(B) Regional Rural Bank,2015-01-14
Union Bank of India,439931,109927,549858,3125.52,26939,(B) Regional Rural Bank,2015-01-14
United Bank of India,2286463,41310,2327773,15473.10,1476739,(B) Regional Rural Bank,2015-01-14
Regional Rural Banks Sub Total,16862226,2985744,19847970,140866.70,11550776,(B) Regional Rural Bank,2015-01-14
Axis Bank Ltd,95512,304329,399841,1973.92,390535,(C) Major Private Banks,2015-01-14
City Union Bank Ltd,11486,51711,63197,387.66,0,(C) Major Private Banks,2015-01-14
Federal Bank Ltd,157745,45778,203523,9805.43,195767,(C) Major Private Banks,2015-01-14
HDFC Bank Ltd,157039,670424,827463,26675.32,826785,(C) Major Private Banks,2015-01-14
ICICI Bank Ltd,732991,146442,879433,1596.61,696859,(C) Major Private Banks,2015-01-14
IndusInd Bank Ltd,13519,111557,125076,444.51,119443,(C) Major Private Banks,2015-01-14
Jammu & Kashmir Bank Ltd,666353,85812,752165,8771.56,244200,(C) Major Private Banks,2015-01-14
Karur Vysya Bank,6014,82392,88406,243.60,83176,(C) Major Private Banks,2015-01-14
Kotak Mahindra Bank Ltd,30705,26006,56711,284.55,56246,(C) Major Private Banks,2015-01-14
Lakshmi Vilas Bank Ltd,15174,45781,60955,110.71,10573,(C) Major Private Banks,2015-01-14
RBL Bank Ltd,60061,29450,89511,52.46,72986,(C) Major Private Banks,2015-01-14
South Indian Bank Ltd,14255,71825,86080,527.84,39583,(C) Major Private Banks,2015-01-14
Yes Bank Ltd,4729,2904,7633,22.09,0,(C) Major Private Banks,2015-01-14
Major Private Banks Sub Total,1965583,1674411,3639994,50896.25,2736153,(C) Major Private Banks,2015-01-14
