Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,133451415,110874201,244325616,5287406.80,183015964,Summary,2017-09-20
Regional Rural Banks,41184781,7383251,48568032,1172142.57,36017280,Summary,2017-09-20
Private Sector Banks,5919980,3815174,9735154,201051.66,9056189,Summary,2017-09-20
Grand Total,180556176,122072626,302628802,6660601.03,228089433,Summary,2017-09-20
Allahabad Bank,5508771,1270148,6778919,151645.42,5214363,(A) Public Sector Banks,2017-09-20
Andhra Bank,1508921,886133,2395054,28960.00,1933899,(A) Public Sector Banks,2017-09-20
Bank of Baroda,8275622,13226309,21501931,519793.80,20043664,(A) Public Sector Banks,2017-09-20
Bank of India,8678418,9596580,18274998,368452.23,17198608,(A) Public Sector Banks,2017-09-20
Bank of Maharashtra,3756624,1137736,4894360,93660.94,968068,(A) Public Sector Banks,2017-09-20
Canara Bank,4584775,2091769,6676544,178950.12,4297140,(A) Public Sector Banks,2017-09-20
Central Bank of India,8194384,2069929,10264313,175155.75,7675422,(A) Public Sector Banks,2017-09-20
Corporation Bank,1365740,1343984,2709724,101607.93,2566617,(A) Public Sector Banks,2017-09-20
Dena Bank,3339388,919144,4258532,80394.89,2564334,(A) Public Sector Banks,2017-09-20
IDBI Bank Ltd.,464104,361908,826012,18627.90,667680,(A) Public Sector Banks,2017-09-20
Indian Bank,2188428,1088736,3277164,44461.95,3250452,(A) Public Sector Banks,2017-09-20
Indian Overseas Bank,975420,3393816,4369236,72274.79,4119643,(A) Public Sector Banks,2017-09-20
Oriental Bank of Commerce,2338653,1789433,4128086,408513.33,3745456,(A) Public Sector Banks,2017-09-20
Punjab & Sind Bank,488342,260000,748342,53866.64,715123,(A) Public Sector Banks,2017-09-20
Punjab National Bank,14726984,2717163,17444147,313252.28,13462807,(A) Public Sector Banks,2017-09-20
State Bank of India,47214468,57830914,105045382,1390656.81,70314976,(A) Public Sector Banks,2017-09-20
Syndicate Bank,3022994,1379618,4402612,114630.44,3809949,(A) Public Sector Banks,2017-09-20
UCO Bank,3195953,2699264,5895217,137940.55,3973381,(A) Public Sector Banks,2017-09-20
Union Bank of India,5750336,1568324,7318660,129107.89,4859041,(A) Public Sector Banks,2017-09-20
United Bank of India,7043065,4604861,11647926,886764.39,10168679,(A) Public Sector Banks,2017-09-20
Vijaya Bank,830025,638432,1468457,18688.75,1466662,(A) Public Sector Banks,2017-09-20
Public Sector Banks Sub Total,133451415,110874201,244325616,5287406.80,183015964,(A) Public Sector Banks,2017-09-20
Allahabad Bank,919613,169110,1088723,25445.24,768124,(B) Regional Rural Bank,2017-09-20
Andhra Bank,165316,17107,182423,2407.52,100652,(B) Regional Rural Bank,2017-09-20
Bank of Baroda,4447649,1240545,5688194,136624.65,4772678,(B) Regional Rural Bank,2017-09-20
Bank of India,2949989,964394,3914383,73380.74,3690229,(B) Regional Rural Bank,2017-09-20
Bank of Maharashtra,731932,123715,855647,20783.15,798373,(B) Regional Rural Bank,2017-09-20
Canara Bank,642345,439324,1081669,53013.95,1053738,(B) Regional Rural Bank,2017-09-20
Central Bank of India,3430434,764747,4195181,116984.88,3802371,(B) Regional Rural Bank,2017-09-20
Dena Bank,400231,13469,413700,12007.30,289121,(B) Regional Rural Bank,2017-09-20
Indian Bank,412377,121505,533882,6335.31,459121,(B) Regional Rural Bank,2017-09-20
