Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Indian Overseas Bank,1002742,9719,1012461,26447.92,616138,(B) Regional Rural Bank,2017-09-20
Jammu & Kashmir Bank Ltd,88300,15759,104059,4768.73,20168,(B) Regional Rural Bank,2017-09-20
Punjab & Sind Bank,19047,691,19738,256.02,17418,(B) Regional Rural Bank,2017-09-20
Punjab National Bank,3116739,429541,3546280,108731.43,3033276,(B) Regional Rural Bank,2017-09-20
State Bank of India,10484972,2042007,12526979,253021.30,6201650,(B) Regional Rural Bank,2017-09-20
Syndicate Bank,2039016,549056,2588072,87351.33,2469730,(B) Regional Rural Bank,2017-09-20
UCO Bank,1346196,48941,1395137,25731.79,559346,(B) Regional Rural Bank,2017-09-20
Union Bank of India,980146,327520,1307666,29387.67,753259,(B) Regional Rural Bank,2017-09-20
United Bank of India,8007737,106101,8113838,189463.64,6611888,(B) Regional Rural Bank,2017-09-20
Regional Rural Banks Sub Total,41184781,7383251,48568032,1172142.57,36017280,(B) Regional Rural Bank,2017-09-20
Axis Bank Ltd,129568,619142,748710,19115.41,665144,(C) Major Private Banks,2017-09-20
City Union Bank Ltd,15857,68212,84069,1525.13,79235,(C) Major Private Banks,2017-09-20
Federal Bank Ltd,394353,81085,475438,18575.85,418235,(C) Major Private Banks,2017-09-20
HDFC Bank Ltd,331383,1439153,1770536,77163.79,1769858,(C) Major Private Banks,2017-09-20
ICICI Bank Ltd,3375260,489502,3864762,19328.12,3864762,(C) Major Private Banks,2017-09-20
IndusInd Bank Ltd,42046,402291,444337,3249.87,419788,(C) Major Private Banks,2017-09-20
Jammu & Kashmir Bank Ltd,1351153,135978,1487131,52298.56,1166844,(C) Major Private Banks,2017-09-20
Karur Vysya Bank,24775,158750,183525,1520.29,181245,(C) Major Private Banks,2017-09-20
Kotak Mahindra Bank Ltd,108056,72192,180248,1787.88,132760,(C) Major Private Banks,2017-09-20
Lakshmi Vilas Bank Ltd,49630,129561,179191,1600.76,177971,(C) Major Private Banks,2017-09-20
RBL Bank Ltd,59787,35520,95307,250.72,95307,(C) Major Private Banks,2017-09-20
South Indian Bank Ltd,30602,176740,207342,4422.25,72105,(C) Major Private Banks,2017-09-20
Yes Bank Ltd,7510,7048,14558,213.02,12935,(C) Major Private Banks,2017-09-20
Major Private Banks Sub Total,5919980,3815174,9735154,201051.66,9056189,(C) Major Private Banks,2017-09-20
