Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,127769623,106040735,233810358,5082029.31,180252646,Summary,2017-07-05
Regional Rural Banks,40151906,7093894,47245800,1155450.25,35614454,Summary,2017-07-05
Private Sector Banks,5679260,3696618,9375878,205656.44,8661863,Summary,2017-07-05
Grand Total,173600789,116831247,290432036,6443136.00,224528963,Summary,2017-07-05
Allahabad Bank,5447961,1219760,6667721,131410.87,5180192,(A) Public Sector Banks,2017-07-05
Andhra Bank,1621528,795129,2416657,31026.80,1936384,(A) Public Sector Banks,2017-07-05
Bank of Baroda,8026780,12791908,20818688,481085.77,19432821,(A) Public Sector Banks,2017-07-05
Bank of India,8315877,9268794,17584671,346530.20,16602735,(A) Public Sector Banks,2017-07-05
Bank of Maharashtra,3439096,1100523,4539619,93403.12,906630,(A) Public Sector Banks,2017-07-05
Canara Bank,4496157,2078826,6574983,174059.97,4275045,(A) Public Sector Banks,2017-07-05
Central Bank of India,7696607,1999437,9696044,165078.30,7239246,(A) Public Sector Banks,2017-07-05
Corporation Bank,1361847,1338128,2699975,102217.98,2547345,(A) Public Sector Banks,2017-07-05
Dena Bank,3204400,906796,4111196,74307.18,2569346,(A) Public Sector Banks,2017-07-05
IDBI Bank Ltd.,463160,361521,824681,18629.64,667107,(A) Public Sector Banks,2017-07-05
Indian Bank,2178278,1086635,3264913,43867.81,3229211,(A) Public Sector Banks,2017-07-05
Indian Overseas Bank,961154,3353860,4315014,71462.75,4072155,(A) Public Sector Banks,2017-07-05
Oriental Bank of Commerce,2283057,1761211,4044268,411118.57,3711998,(A) Public Sector Banks,2017-07-05
Punjab & Sind Bank,493326,259627,752953,53917.36,720632,(A) Public Sector Banks,2017-07-05
Punjab National Bank,14110101,2645800,16755901,295759.75,13469118,(A) Public Sector Banks,2017-07-05
State Bank of India,44508046,54511818,99019864,1370071.30,69454079,(A) Public Sector Banks,2017-07-05
Syndicate Bank,3002867,1376043,4378910,113599.91,3800502,(A) Public Sector Banks,2017-07-05
UCO Bank,3156476,2687537,5844013,129516.64,3952503,(A) Public Sector Banks,2017-07-05
Union Bank of India,5490669,1475902,6966571,127377.16,4889907,(A) Public Sector Banks,2017-07-05
United Bank of India,6690334,4381441,11071775,828938.97,10134049,(A) Public Sector Banks,2017-07-05
Vijaya Bank,821902,640039,1461941,18649.25,1461641,(A) Public Sector Banks,2017-07-05
Public Sector Banks Sub Total,127769623,106040735,233810358,5082029.31,180252646,(A) Public Sector Banks,2017-07-05
Allahabad Bank,918922,169109,1088031,25914.70,768064,(B) Regional Rural Bank,2017-07-05
Andhra Bank,164658,17022,181680,2496.10,100379,(B) Regional Rural Bank,2017-07-05
Bank of Baroda,4091791,1161938,5253729,129149.34,4530403,(B) Regional Rural Bank,2017-07-05
Bank of India,2877028,937473,3814501,72715.48,3652129,(B) Regional Rural Bank,2017-07-05
Bank of Maharashtra,731323,123785,855108,21828.18,798320,(B) Regional Rural Bank,2017-07-05
