Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Canara Bank,641788,439014,1080802,52824.20,1052919,(B) Regional Rural Bank,2017-07-05
Central Bank of India,3513468,676154,4189622,117068.77,3811323,(B) Regional Rural Bank,2017-07-05
Dena Bank,384510,13423,397933,11917.63,288934,(B) Regional Rural Bank,2017-07-05
Indian Bank,404958,119983,524941,5197.45,456561,(B) Regional Rural Bank,2017-07-05
Indian Overseas Bank,997136,9721,1006857,25605.87,616138,(B) Regional Rural Bank,2017-07-05
Jammu & Kashmir Bank Ltd,87567,15542,103109,4719.38,19570,(B) Regional Rural Bank,2017-07-05
Punjab & Sind Bank,18518,696,19214,302.24,17338,(B) Regional Rural Bank,2017-07-05
Punjab National Bank,3101507,412542,3514049,105437.19,2985196,(B) Regional Rural Bank,2017-07-05
State Bank of India,10172403,1996689,12169092,263840.60,6158893,(B) Regional Rural Bank,2017-07-05
Syndicate Bank,2039041,549338,2588379,86485.85,2469730,(B) Regional Rural Bank,2017-07-05
UCO Bank,1374727,52838,1427565,24083.46,559146,(B) Regional Rural Bank,2017-07-05
Union Bank of India,899671,293072,1192743,27155.84,751481,(B) Regional Rural Bank,2017-07-05
United Bank of India,7732890,105555,7838445,178707.96,6577930,(B) Regional Rural Bank,2017-07-05
Regional Rural Banks Sub Total,40151906,7093894,47245800,1155450.25,35614454,(B) Regional Rural Bank,2017-07-05
Axis Bank Ltd,107989,614998,722987,18130.52,642906,(C) Major Private Banks,2017-07-05
City Union Bank Ltd,15759,68199,83958,1462.56,71147,(C) Major Private Banks,2017-07-05
Federal Bank Ltd,385820,80746,466566,17987.57,412641,(C) Major Private Banks,2017-07-05
HDFC Bank Ltd,331297,1438932,1770229,83915.85,1769551,(C) Major Private Banks,2017-07-05
ICICI Bank Ltd,3187860,383269,3571129,20773.67,3571129,(C) Major Private Banks,2017-07-05
IndusInd Bank Ltd,41896,400823,442719,2993.30,418100,(C) Major Private Banks,2017-07-05
Jammu & Kashmir Bank Ltd,1329067,134857,1463924,52147.77,1159601,(C) Major Private Banks,2017-07-05
Karur Vysya Bank,24219,156313,180532,0.68,135670,(C) Major Private Banks,2017-07-05
Kotak Mahindra Bank Ltd,108132,72371,180503,1822.24,132974,(C) Major Private Banks,2017-07-05
Lakshmi Vilas Bank Ltd,49234,127955,177189,1553.92,175679,(C) Major Private Banks,2017-07-05
RBL Bank Ltd,59787,35520,95307,271.46,95307,(C) Major Private Banks,2017-07-05
South Indian Bank Ltd,30320,174934,205254,4387.73,62751,(C) Major Private Banks,2017-07-05
Yes Bank Ltd,7880,7701,15581,209.16,14407,(C) Major Private Banks,2017-07-05
Major Private Banks Sub Total,5679260,3696618,9375878,205656.44,8661863,(C) Major Private Banks,2017-07-05
