Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,122701440,101591254,224292694,5003071.24,175281721,Summary,2017-03-08
Regional Rural Banks,39842469,6588218,46430687,1163598.92,34810646,Summary,2017-03-08
Private Sector Banks,5398563,3610815,9009378,221864.65,8366261,Summary,2017-03-08
Grand Total,167942472,111790287,279732759,6388534.81,218458628,Summary,2017-03-08
Allahabad Bank,5367374,1186929,6554303,118420.56,5119818,(A) Public Sector Banks,2017-03-08
Andhra Bank,1625067,796431,2421498,33819.13,1926961,(A) Public Sector Banks,2017-03-08
Bank of Baroda,7528949,11839975,19368924,476642.08,18242429,(A) Public Sector Banks,2017-03-08
Bank of India,7713307,8796558,16509865,340406.47,15927739,(A) Public Sector Banks,2017-03-08
Bank of Maharashtra,3160713,960742,4121455,94737.98,820776,(A) Public Sector Banks,2017-03-08
Bhartiya Mahila Bank,0,69276,69276,2051.92,69276,(A) Public Sector Banks,2017-03-08
Canara Bank,4376049,2027841,6403890,186805.74,4265688,(A) Public Sector Banks,2017-03-08
Central Bank of India,6984159,1726551,8710710,165192.66,6070105,(A) Public Sector Banks,2017-03-08
Corporation Bank,1375415,1362052,2737467,107028.88,2600932,(A) Public Sector Banks,2017-03-08
Dena Bank,3026486,919134,3945620,75150.83,2616200,(A) Public Sector Banks,2017-03-08
IDBI Bank Ltd.,598340,579465,1177805,22373.82,961696,(A) Public Sector Banks,2017-03-08
Indian Bank,2164474,1083859,3248333,48541.40,3200068,(A) Public Sector Banks,2017-03-08
Indian Overseas Bank,1000006,3468880,4468886,78638.47,4213137,(A) Public Sector Banks,2017-03-08
Oriental Bank of Commerce,2213228,1729577,3942805,427954.95,3685301,(A) Public Sector Banks,2017-03-08
Punjab & Sind Bank,821440,426132,1247572,62498.88,1239263,(A) Public Sector Banks,2017-03-08
Punjab National Bank,13692472,2585577,16278049,309814.31,13756980,(A) Public Sector Banks,2017-03-08
State Bank of Bikaner & Jaipur,2036898,1957876,3994774,149266.46,3520185,(A) Public Sector Banks,2017-03-08
State Bank of Hyderabad,1017219,1848518,2865737,45045.61,2740989,(A) Public Sector Banks,2017-03-08
State Bank of India,37975592,46337238,84312830,1064117.53,57724392,(A) Public Sector Banks,2017-03-08
State Bank of Mysore,873681,230411,1104092,13902.77,905143,(A) Public Sector Banks,2017-03-08
State Bank of Patiala,441595,797680,1239275,22854.93,1051205,(A) Public Sector Banks,2017-03-08
State Bank of Travancore,80354,703378,783732,19120.19,386654,(A) Public Sector Banks,2017-03-08
Syndicate Bank,2958260,1379265,4337525,118243.22,3785768,(A) Public Sector Banks,2017-03-08
UCO Bank,3053437,2631298,5684735,127635.00,3903815,(A) Public Sector Banks,2017-03-08
Union Bank of India,5453026,1430175,6883201,139538.86,5085674,(A) Public Sector Banks,2017-03-08
United Bank of India,6285373,4075397,10360770,732989.31,9975997,(A) Public Sector Banks,2017-03-08
