Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,113187536,88496516,201684052,3575441.60,156488190,Summary,2016-10-26
Regional Rural Banks,36879337,5974469,42853806,754197.60,29396013,Summary,2016-10-26
Private Sector Banks,5275811,3350598,8626409,157088.58,8010755,Summary,2016-10-26
Grand Total,155342684,97821583,253164267,4486727.78,193894958,Summary,2016-10-26
Allahabad Bank,4604943,1034806,5639749,73289.29,4427081,(A) Public Sector Banks,2016-10-26
Andhra Bank,1529275,723999,2253274,23716.84,1918100,(A) Public Sector Banks,2016-10-26
Bank of Baroda,6975505,8921977,15897482,320832.31,14744046,(A) Public Sector Banks,2016-10-26
Bank of India,6978757,7990138,14968895,226039.00,13309135,(A) Public Sector Banks,2016-10-26
Bank of Maharashtra,2782798,890819,3673617,63341.24,1723509,(A) Public Sector Banks,2016-10-26
Bhartiya Mahila Bank,0,69165,69165,1649.31,69165,(A) Public Sector Banks,2016-10-26
Canara Bank,5400962,2400664,7801626,139997.32,7171730,(A) Public Sector Banks,2016-10-26
Central Bank of India,6703816,1689120,8392936,107435.62,6083477,(A) Public Sector Banks,2016-10-26
Corporation Bank,1347878,1337345,2685223,76658.85,2582510,(A) Public Sector Banks,2016-10-26
Dena Bank,2647523,862265,3509788,40961.24,2273670,(A) Public Sector Banks,2016-10-26
IDBI Bank Ltd.,619391,524610,1144001,15260.24,950780,(A) Public Sector Banks,2016-10-26
Indian Bank,2024722,1023430,3048152,33334.79,2253369,(A) Public Sector Banks,2016-10-26
Indian Overseas Bank,1460021,2566473,4026494,58969.76,3840159,(A) Public Sector Banks,2016-10-26
Oriental Bank of Commerce,2299505,1535151,3834656,320372.45,3632604,(A) Public Sector Banks,2016-10-26
Punjab & Sind Bank,831572,426445,1258017,47976.58,1250451,(A) Public Sector Banks,2016-10-26
Punjab National Bank,12214496,2219114,14433610,207262.95,9994659,(A) Public Sector Banks,2016-10-26
State Bank of Bikaner & Jaipur,1956882,1880366,3837248,106707.79,3264941,(A) Public Sector Banks,2016-10-26
State Bank of Hyderabad,996688,1810375,2807063,31851.99,2740078,(A) Public Sector Banks,2016-10-26
State Bank of India,32596421,38386503,70982924,694410.04,49567622,(A) Public Sector Banks,2016-10-26
State Bank of Mysore,807102,222758,1029860,9742.05,846800,(A) Public Sector Banks,2016-10-26
State Bank of Patiala,426625,783243,1209868,21182.33,1143120,(A) Public Sector Banks,2016-10-26
State Bank of Travancore,75543,664955,740498,14182.17,376547,(A) Public Sector Banks,2016-10-26
Syndicate Bank,2865150,1260688,4125838,93116.45,3682430,(A) Public Sector Banks,2016-10-26
UCO Bank,3852361,3753388,7605749,181189.92,6947725,(A) Public Sector Banks,2016-10-26
Union Bank of India,4764145,1321708,6085853,100808.84,5383466,(A) Public Sector Banks,2016-10-26
United Bank of India,5580802,3591310,9172112,550497.61,4883927,(A) Public Sector Banks,2016-10-26
Vijaya Bank,844653,605701,1450354,14654.63,1427089,(A) Public Sector Banks,2016-10-26
Public Sector Banks Sub Total,113187536,88496516,201684052,3575441.60,156488190,(A) Public Sector Banks,2016-10-26
Allahabad Bank,750392,162751,913143,13101.66,767107,(B) Regional Rural Bank,2016-10-26
Andhra Bank,154746,13574,168320,1745.50,142962,(B) Regional Rural Bank,2016-10-26
Bank of Baroda,3753863,995627,4749490,89144.36,3798527,(B) Regional Rural Bank,2016-10-26
Bank of India,2612904,843117,3456021,33891.35,3202089,(B) Regional Rural Bank,2016-10-26
Bank of Maharashtra,381865,68491,450356,6416.09,450356,(B) Regional Rural Bank,2016-10-26
Canara Bank,599948,410476,1010424,21465.04,1010424,(B) Regional Rural Bank,2016-10-26
Central Bank of India,3524162,669896,4194058,96443.25,3871834,(B) Regional Rural Bank,2016-10-26
Dena Bank,295821,21618,317439,5057.02,285792,(B) Regional Rural Bank,2016-10-26
Indian Bank,359644,81331,440975,4048.83,347091,(B) Regional Rural Bank,2016-10-26
Indian Overseas Bank,929840,9717,939557,17855.13,616138,(B) Regional Rural Bank,2016-10-26
Jammu & Kashmir Bank Ltd,78060,14924,92984,3356.77,17272,(B) Regional Rural Bank,2016-10-26
Punjab & Sind Bank,17292,694,17986,28.97,12110,(B) Regional Rural Bank,2016-10-26
Punjab National Bank,3011592,372805,3384397,75580.96,2582972,(B) Regional Rural Bank,2016-10-26
State Bank of Bikaner & Jaipur,2152909,49094,2202003,34899.92,1308353,(B) Regional Rural Bank,2016-10-26
State Bank of Hyderabad,773844,133682,907526,26066.30,508374,(B) Regional Rural Bank,2016-10-26
State Bank of India,6607110,1215675,7822785,127587.33,3852634,(B) Regional Rural Bank,2016-10-26
State Bank of Mysore,279140,84648,363788,1444.18,316752,(B) Regional Rural Bank,2016-10-26
State Bank of Patiala,51892,672,52564,1279.93,36789,(B) Regional Rural Bank,2016-10-26
Syndicate Bank,1995677,479241,2474918,63556.08,2235304,(B) Regional Rural Bank,2016-10-26
UCO Bank,1201455,42076,1243531,21.66,558602,(B) Regional Rural Bank,2016-10-26
Union Bank of India,694344,207390,901734,4368.67,747907,(B) Regional Rural Bank,2016-10-26
United Bank of India,6652837,96970,6749807,126838.60,2726624,(B) Regional Rural Bank,2016-10-26
Regional Rural Banks Sub Total,36879337,5974469,42853806,754197.60,29396013,(B) Regional Rural Bank,2016-10-26
Axis Bank Ltd,152708,467903,620611,12469.24,558264,(C) Major Private Banks,2016-10-26
City Union Bank Ltd,14413,64163,78576,1050.77,69595,(C) Major Private Banks,2016-10-26
Federal Bank Ltd,386772,75216,461988,14617.37,416035,(C) Major Private Banks,2016-10-26
HDFC Bank Ltd,353676,1360418,1714094,68221.67,1713416,(C) Major Private Banks,2016-10-26
ICICI Bank Ltd,2819683,322641,3142324,14726.91,3081425,(C) Major Private Banks,2016-10-26
IndusInd Bank Ltd,41116,407395,448511,2093.47,436311,(C) Major Private Banks,2016-10-26
Jammu & Kashmir Bank Ltd,1205965,123863,1329828,35847.24,1133720,(C) Major Private Banks,2016-10-26
Karur Vysya Bank,22128,139240,161368,1353.51,146829,(C) Major Private Banks,2016-10-26
Kotak Mahindra Bank Ltd,109224,75271,184495,1673.56,113472,(C) Major Private Banks,2016-10-26
Lakshmi Vilas Bank Ltd,61330,107287,168617,1335.44,165512,(C) Major Private Banks,2016-10-26
RBL Bank Ltd,59787,35520,95307,190.05,95307,(C) Major Private Banks,2016-10-26
South Indian Bank Ltd,41036,165509,206545,3363.15,68404,(C) Major Private Banks,2016-10-26
Yes Bank Ltd,7973,6172,14145,146.20,12465,(C) Major Private Banks,2016-10-26
Major Private Banks Sub Total,5275811,3350598,8626409,157088.58,8010755,(C) Major Private Banks,2016-10-26
