Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,87055555,69914136,156969691,2345651.29,136734335,Summary,2016-01-06
Regional Rural Banks,30781274,5081912,35863186,514878.58,25785025,Summary,2016-01-06
Private Sector Banks,4408683,2961871,7370554,120376.97,6621503,Summary,2016-01-06
Grand Total,122245512,77957919,200203431,2980906.84,169140863,Summary,2016-01-06
Allahabad Bank,3004855,936898,3941753,32737.25,3886846,(A) Public Sector Banks,2016-01-06
Andhra Bank,1439534,712651,2152185,17819.66,1915185,(A) Public Sector Banks,2016-01-06
Bank of Baroda,4993054,6480931,11473985,200974.87,10956104,(A) Public Sector Banks,2016-01-06
Bank of India,4471150,5560538,10031688,98931.35,9327494,(A) Public Sector Banks,2016-01-06
Bank of Maharashtra,1869784,747481,2617265,29208.67,1723509,(A) Public Sector Banks,2016-01-06
Bhartiya Mahila Bank,0,67102,67102,1317.06,67102,(A) Public Sector Banks,2016-01-06
Canara Bank,4947453,2251251,7198704,118948.07,6944270,(A) Public Sector Banks,2016-01-06
Central Bank of India,5605774,1491117,7096891,69309.82,5465644,(A) Public Sector Banks,2016-01-06
Corporation Bank,1278002,1281184,2559186,68848.51,2513876,(A) Public Sector Banks,2016-01-06
Dena Bank,2413784,1013212,3426996,44614.20,2798000,(A) Public Sector Banks,2016-01-06
IDBI Bank Ltd.,549174,480122,1029296,7304.14,931880,(A) Public Sector Banks,2016-01-06
Indian Bank,1946855,988317,2935172,27653.93,2901521,(A) Public Sector Banks,2016-01-06
Indian Overseas Bank,1418106,2424795,3842901,46860.37,3713391,(A) Public Sector Banks,2016-01-06
Oriental Bank of Commerce,2042901,1383499,3426400,260491.36,3358536,(A) Public Sector Banks,2016-01-06
Punjab & Sind Bank,849076,425535,1274611,42077.44,1266114,(A) Public Sector Banks,2016-01-06
Punjab National Bank,10337846,2027883,12365729,131264.06,9965676,(A) Public Sector Banks,2016-01-06
State Bank of Bikaner & Jaipur,1687909,1673560,3361469,85394.94,2969556,(A) Public Sector Banks,2016-01-06
State Bank of Hyderabad,994501,1806865,2801366,23960.04,2739635,(A) Public Sector Banks,2016-01-06
State Bank of India,20897296,27709731,48607027,362427.33,40263805,(A) Public Sector Banks,2016-01-06
State Bank of Mysore,670275,217535,887810,6387.67,796749,(A) Public Sector Banks,2016-01-06
State Bank of Patiala,425260,782119,1207379,16889.01,1142499,(A) Public Sector Banks,2016-01-06
State Bank of Travancore,45930,401666,447596,8668.06,302193,(A) Public Sector Banks,2016-01-06
Syndicate Bank,2703170,1267039,3970209,71996.42,3526491,(A) Public Sector Banks,2016-01-06
UCO Bank,3262766,3386158,6648924,139633.83,6450464,(A) Public Sector Banks,2016-01-06
Union Bank of India,4448325,1237240,5685565,67892.26,5433843,(A) Public Sector Banks,2016-01-06
United Bank of India,3978565,2629956,6608521,352748.08,4071848,(A) Public Sector Banks,2016-01-06
Vijaya Bank,774210,529751,1303961,11292.87,1302104,(A) Public Sector Banks,2016-01-06
Public Sector Banks Sub Total,87055555,69914136,156969691,2345651.29,136734335,(A) Public Sector Banks,2016-01-06
Allahabad Bank,638108,152469,790577,6973.12,758925,(B) Regional Rural Bank,2016-01-06
Andhra Bank,142994,12569,155563,1299.87,97557,(B) Regional Rural Bank,2016-01-06
Bank of Baroda,2824569,796269,3620838,53292.04,3368217,(B) Regional Rural Bank,2016-01-06
Bank of India,2167610,711047,2878657,18015.44,2654019,(B) Regional Rural Bank,2016-01-06
Bank of Maharashtra,381865,68491,450356,6367.32,450356,(B) Regional Rural Bank,2016-01-06
Canara Bank,542784,374940,917724,21337.94,917724,(B) Regional Rural Bank,2016-01-06
Central Bank of India,3556569,680586,4237155,78669.77,3887911,(B) Regional Rural Bank,2016-01-06
Dena Bank,275175,18708,293883,2845.79,280810,(B) Regional Rural Bank,2016-01-06
Indian Bank,336794,70961,407755,3306.94,274218,(B) Regional Rural Bank,2016-01-06
Indian Overseas Bank,860839,9696,870535,13175.07,397959,(B) Regional Rural Bank,2016-01-06
Jammu & Kashmir Bank Ltd,69162,12922,82084,2325.78,0,(B) Regional Rural Bank,2016-01-06
Punjab & Sind Bank,13071,2574,15645,200.99,12100,(B) Regional Rural Bank,2016-01-06
Punjab National Bank,2823886,359460,3183346,53318.63,2066948,(B) Regional Rural Bank,2016-01-06
State Bank of Bikaner & Jaipur,1683186,38613,1721799,21671.87,869804,(B) Regional Rural Bank,2016-01-06
State Bank of Hyderabad,766012,86775,852787,20359.80,508374,(B) Regional Rural Bank,2016-01-06
State Bank of India,5514160,940929,6455089,71339.61,3419982,(B) Regional Rural Bank,2016-01-06
State Bank of Mysore,277025,83777,360802,1427.28,315807,(B) Regional Rural Bank,2016-01-06
State Bank of Patiala,45928,665,46593,1642.81,36767,(B) Regional Rural Bank,2016-01-06
Syndicate Bank,1649557,415810,2065367,43812.96,1887657,(B) Regional Rural Bank,2016-01-06
UCO Bank,864441,28489,892930,13541.70,536839,(B) Regional Rural Bank,2016-01-06
Union Bank of India,548437,142304,690741,3580.76,659578,(B) Regional Rural Bank,2016-01-06
United Bank of India,4799102,73858,4872960,76373.09,2383473,(B) Regional Rural Bank,2016-01-06
Regional Rural Banks Sub Total,30781274,5081912,35863186,514878.58,25785025,(B) Regional Rural Bank,2016-01-06
Axis Bank Ltd,122609,447138,569747,7537.55,525187,(C) Major Private Banks,2016-01-06
City Union Bank Ltd,14413,64163,78576,1050.77,59423,(C) Major Private Banks,2016-01-06
Federal Bank Ltd,307815,68449,376264,11843.59,343349,(C) Major Private Banks,2016-01-06
HDFC Bank Ltd,294215,1241788,1536003,48414.61,1535325,(C) Major Private Banks,2016-01-06
ICICI Bank Ltd,2252491,334310,2586801,18206.04,2533884,(C) Major Private Banks,2016-01-06
IndusInd Bank Ltd,25841,251544,277385,1821.80,275022,(C) Major Private Banks,2016-01-06
Jammu & Kashmir Bank Ltd,1140325,120951,1261276,25921.56,810055,(C) Major Private Banks,2016-01-06
Karur Vysya Bank,17936,115537,133473,1109.92,122445,(C) Major Private Banks,2016-01-06
Kotak Mahindra Bank Ltd,91015,91075,182090,1461.98,112755,(C) Major Private Banks,2016-01-06
Lakshmi Vilas Bank Ltd,57320,99583,156903,1049.80,146956,(C) Major Private Banks,2016-01-06
RBL Bank Ltd,59787,35520,95307,541.48,95307,(C) Major Private Banks,2016-01-06
South Indian Bank Ltd,17457,86145,103602,1289.65,50120,(C) Major Private Banks,2016-01-06
Yes Bank Ltd,7459,5668,13127,128.22,11675,(C) Major Private Banks,2016-01-06
Major Private Banks Sub Total,4408683,2961871,7370554,120376.97,6621503,(C) Major Private Banks,2016-01-06
