Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,60434513,51287682,111722195,1102461.73,104527405,Summary,2015-03-18
Regional Rural Banks,21081512,3783680,24865192,218815.83,17529659,Summary,2015-03-18
Private Sector Banks,3507339,2374335,5881674,82384.78,5367663,Summary,2015-03-18
Grand Total,85023364,57445697,142469061,1403662.34,127424727,Summary,2015-03-18
Allahabad Bank,1910049,763627,2673676,10093.66,2618769,(A) Public Sector Banks,2015-03-18
Andhra Bank,1146766,668151,1814917,9373.59,1797885,(A) Public Sector Banks,2015-03-18
Bank of Baroda,3206967,4464690,7671657,92514.88,7506209,(A) Public Sector Banks,2015-03-18
Bank of India,2796268,3912468,6708736,41186.57,6534603,(A) Public Sector Banks,2015-03-18
Bank of Maharashtra,1208765,562254,1771019,18867.38,1722210,(A) Public Sector Banks,2015-03-18
Bhartiya Mahila Bank,0,60563,60563,720.55,60563,(A) Public Sector Banks,2015-03-18
Canara Bank,4174167,1983105,6157272,72813.68,6157272,(A) Public Sector Banks,2015-03-18
Central Bank of India,4371806,1253204,5625010,28559.44,5002458,(A) Public Sector Banks,2015-03-18
Corporation Bank,1029098,1047145,2076243,38835.04,2005900,(A) Public Sector Banks,2015-03-18
Dena Bank,1753208,854887,2608095,18758.84,2494739,(A) Public Sector Banks,2015-03-18
IDBI Bank Ltd.,483699,432117,915816,3729.78,883524,(A) Public Sector Banks,2015-03-18
Indian Bank,1628103,932261,2560364,16288.66,2521434,(A) Public Sector Banks,2015-03-18
Indian Overseas Bank,1020966,1971839,2992805,21866.70,2901064,(A) Public Sector Banks,2015-03-18
Oriental Bank of Commerce,1369878,961307,2331185,117373.27,2290244,(A) Public Sector Banks,2015-03-18
Punjab & Sind Bank,807542,424832,1232374,48801.72,1191276,(A) Public Sector Banks,2015-03-18
Punjab National Bank,6886148,1600370,8486518,77729.31,7862352,(A) Public Sector Banks,2015-03-18
State Bank of Bikaner & Jaipur,1085520,1309741,2395261,56289.39,2060602,(A) Public Sector Banks,2015-03-18
State Bank of Hyderabad,913972,1661678,2575650,13537.21,2542773,(A) Public Sector Banks,2015-03-18
State Bank of India,12932819,18655868,31588687,117148.98,28339865,(A) Public Sector Banks,2015-03-18
State Bank of Mysore,598114,202157,800271,3620.27,753633,(A) Public Sector Banks,2015-03-18
State Bank of Patiala,394885,737722,1132607,23258.18,1085704,(A) Public Sector Banks,2015-03-18
State Bank of Travancore,36911,300430,337341,11390.32,279985,(A) Public Sector Banks,2015-03-18
Syndicate Bank,2291832,1157802,3449634,42674.50,3304918,(A) Public Sector Banks,2015-03-18
UCO Bank,2136574,2234875,4371449,56359.08,4011355,(A) Public Sector Banks,2015-03-18
Union Bank of India,3403121,1061291,4464412,30649.03,4337658,(A) Public Sector Banks,2015-03-18
United Bank of India,2129298,1580662,3709960,124222.54,3051132,(A) Public Sector Banks,2015-03-18
Vijaya Bank,718037,492636,1210673,5799.14,1209278,(A) Public Sector Banks,2015-03-18
Public Sector Banks Sub Total,60434513,51287682,111722195,1102461.73,104527405,(A) Public Sector Banks,2015-03-18
Allahabad Bank,538165,114962,653127,2322.19,636122,(B) Regional Rural Bank,2015-03-18
Andhra Bank,132232,9672,141904,657.72,134993,(B) Regional Rural Bank,2015-03-18
Bank of Baroda,1688574,510517,2199091,17808.40,2068860,(B) Regional Rural Bank,2015-03-18
