Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,83943596,68046053,151989649,2145031.09,134637812,Summary,2015-12-02
Regional Rural Banks,29872545,4988222,34860767,468338.02,25054313,Summary,2015-12-02
Private Sector Banks,4374508,2924538,7299046,114936.43,6434963,Summary,2015-12-02
Grand Total,118190649,75958813,194149462,2728305.54,166127088,Summary,2015-12-02
Allahabad Bank,2829130,929305,3758435,29435.85,3703528,(A) Public Sector Banks,2015-12-02
Andhra Bank,1426671,711229,2137900,16665.63,1914904,(A) Public Sector Banks,2015-12-02
Bank of Baroda,4821053,6262938,11083991,193331.06,10633082,(A) Public Sector Banks,2015-12-02
Bank of India,4311607,5427586,9739193,90547.33,9114492,(A) Public Sector Banks,2015-12-02
Bank of Maharashtra,1331580,577565,1909145,26267.25,1723509,(A) Public Sector Banks,2015-12-02
Bhartiya Mahila Bank,0,66667,66667,1255.40,66667,(A) Public Sector Banks,2015-12-02
Canara Bank,4893472,2236111,7129583,113282.80,6854929,(A) Public Sector Banks,2015-12-02
Central Bank of India,5449622,1473649,6923271,63502.51,5387157,(A) Public Sector Banks,2015-12-02
Corporation Bank,1269090,1273191,2542281,64892.19,2498694,(A) Public Sector Banks,2015-12-02
Dena Bank,2356007,1011367,3367374,41669.53,2798000,(A) Public Sector Banks,2015-12-02
IDBI Bank Ltd.,542401,474159,1016560,6791.26,930766,(A) Public Sector Banks,2015-12-02
Indian Bank,1916849,981091,2897940,25333.46,2864461,(A) Public Sector Banks,2015-12-02
Indian Overseas Bank,1401360,2401548,3802908,44520.12,3678681,(A) Public Sector Banks,2015-12-02
Oriental Bank of Commerce,1961812,1330985,3292797,229670.96,3238876,(A) Public Sector Banks,2015-12-02
Punjab & Sind Bank,846957,424973,1271930,38929.48,1266093,(A) Public Sector Banks,2015-12-02
