Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Dena Bank,428584,14683,443267,15790.52,295178,(B) Regional Rural Bank,2018-10-31
Indian Bank,461639,159244,620883,7763.36,527908,(B) Regional Rural Bank,2018-10-31
Indian Overseas Bank,1019559,34046,1053605,32897.19,616138,(B) Regional Rural Bank,2018-10-31
Jammu & Kashmir Bank Ltd,108817,18270,127087,6158.36,22150,(B) Regional Rural Bank,2018-10-31
Punjab & Sind Bank,19813,1446,21259,339.64,18514,(B) Regional Rural Bank,2018-10-31
Punjab National Bank,3177273,573128,3750401,135639.21,3205187,(B) Regional Rural Bank,2018-10-31
State Bank of India,11664803,2299659,13964462,466020.51,6425103,(B) Regional Rural Bank,2018-10-31
Syndicate Bank,2095247,562690,2657937,99031.20,2511308,(B) Regional Rural Bank,2018-10-31
UCO Bank,1724741,63426,1788167,39058.14,559347,(B) Regional Rural Bank,2018-10-31
Union Bank of India,1139595,395701,1535296,39381.74,763470,(B) Regional Rural Bank,2018-10-31
United Bank of India,8875480,107125,8982605,217389.18,6740904,(B) Regional Rural Bank,2018-10-31
Regional Rural Banks Sub Total,45684223,8410036,54094259,1591446.54,37383607,(B) Regional Rural Bank,2018-10-31
Axis Bank Ltd,131023,679302,810325,20190.37,717375,(C) Major Private Banks,2018-10-31
City Union Bank Ltd,9584,75908,85492,1541.55,84543,(C) Major Private Banks,2018-10-31
Federal Bank Ltd,418137,82199,500336,20327.29,436263,(C) Major Private Banks,2018-10-31
HDFC Bank Ltd,333729,1449982,1783711,83678.61,1783033,(C) Major Private Banks,2018-10-31
ICICI Bank Ltd,3543911,601184,4145095,21965.76,4145095,(C) Major Private Banks,2018-10-31
IndusInd Bank Ltd,43328,423626,466954,3194.85,439185,(C) Major Private Banks,2018-10-31
Jammu & Kashmir Bank Ltd,1367850,179944,1547794,63726.73,1228545,(C) Major Private Banks,2018-10-31
Karur Vysya Bank,26916,170161,197077,1700.96,193824,(C) Major Private Banks,2018-10-31
Kotak Mahindra Bank Ltd,106817,70547,177364,2040.47,130136,(C) Major Private Banks,2018-10-31
Lakshmi Vilas Bank Ltd,39010,102322,141332,1739.38,126737,(C) Major Private Banks,2018-10-31
RBL Bank Ltd,59787,35520,95307,238.55,93159,(C) Major Private Banks,2018-10-31
South Indian Bank Ltd,30622,180384,211006,4730.08,59893,(C) Major Private Banks,2018-10-31
Yes Bank Ltd,6755,5777,12532,233.31,12196,(C) Major Private Banks,2018-10-31
Major Private Banks Sub Total,6117469,4056856,10174325,225307.92,9449984,(C) Major Private Banks,2018-10-31
