Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,144366299,122874150,267240449,6637820.05,214293021,Summary,2018-10-31
Regional Rural Banks,45684223,8410036,54094259,1591446.54,37383607,Summary,2018-10-31
Private Sector Banks,6117469,4056856,10174325,225307.92,9449984,Summary,2018-10-31
Grand Total,196167991,135341042,331509033,8454574.51,261126612,Summary,2018-10-31
Allahabad Bank,7089834,2669633,9759467,268726.28,6092958,(A) Public Sector Banks,2018-10-31
Andhra Bank,1567376,905229,2472605,35519.40,1828642,(A) Public Sector Banks,2018-10-31
Bank of Baroda,10419635,17397031,27816666,767464.26,25616447,(A) Public Sector Banks,2018-10-31
Bank of India,9875113,10772522,20647635,491091.71,18737731,(A) Public Sector Banks,2018-10-31
Bank of Maharashtra,4140016,1208424,5348440,121277.63,1151364,(A) Public Sector Banks,2018-10-31
Canara Bank,4789357,2164258,6953615,211739.18,4251302,(A) Public Sector Banks,2018-10-31
Central Bank of India,10163065,2280578,12443643,254542.12,11592653,(A) Public Sector Banks,2018-10-31
Corporation Bank,1381222,1369188,2750410,107741.11,2594974,(A) Public Sector Banks,2018-10-31
Dena Bank,3730504,955283,4685787,113618.09,3247726,(A) Public Sector Banks,2018-10-31
IDBI Bank Ltd.,468160,367080,835240,22196.37,677117,(A) Public Sector Banks,2018-10-31
Indian Bank,2324592,1138747,3463339,52414.15,3428738,(A) Public Sector Banks,2018-10-31
Indian Overseas Bank,998643,3484245,4482888,86275.80,4228254,(A) Public Sector Banks,2018-10-31
Oriental Bank of Commerce,2533401,1908191,4441592,345965.37,3869294,(A) Public Sector Banks,2018-10-31
Punjab & Sind Bank,666952,422133,1089085,65001.79,1000768,(A) Public Sector Banks,2018-10-31
Punjab National Bank,16000065,2871748,18871813,398731.10,17955162,(A) Public Sector Banks,2018-10-31
State Bank of India,45037189,60649967,105687156,1934202.06,83410412,(A) Public Sector Banks,2018-10-31
Syndicate Bank,3180358,1410262,4590620,139029.71,4003243,(A) Public Sector Banks,2018-10-31
UCO Bank,4057268,3175509,7232777,191235.29,3884102,(A) Public Sector Banks,2018-10-31
Union Bank of India,7319541,1984568,9304109,203525.41,4809488,(A) Public Sector Banks,2018-10-31
United Bank of India,7755392,5068790,12824182,805183.68,10400501,(A) Public Sector Banks,2018-10-31
Vijaya Bank,868616,670764,1539380,22339.54,1512145,(A) Public Sector Banks,2018-10-31
Public Sector Banks Sub Total,144366299,122874150,267240449,6637820.05,214293021,(A) Public Sector Banks,2018-10-31
Allahabad Bank,991630,169314,1160944,30411.08,781002,(B) Regional Rural Bank,2018-10-31
Andhra Bank,167607,17473,185080,2986.35,101106,(B) Regional Rural Bank,2018-10-31
Bank of Baroda,5418327,1515725,6934052,199739.30,5358308,(B) Regional Rural Bank,2018-10-31
Bank of India,3241732,1071624,4313356,89673.95,3804512,(B) Regional Rural Bank,2018-10-31
Bank of Maharashtra,1032325,140331,1172656,31749.13,799621,(B) Regional Rural Bank,2018-10-31
Canara Bank,656181,447022,1103203,54313.17,1074706,(B) Regional Rural Bank,2018-10-31
Central Bank of India,3460870,819129,4279999,123104.49,3779145,(B) Regional Rural Bank,2018-10-31
