Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,135959387,117027527,252986914,6115600.64,190121463,Summary,2018-03-07
Regional Rural Banks,42381146,7818009,50199155,1278086.49,36697475,Summary,2018-03-07
Private Sector Banks,6001609,3901566,9903175,218001.30,9196279,Summary,2018-03-07
Grand Total,184342142,128747102,313089244,7611688.43,236015217,Summary,2018-03-07
Allahabad Bank,5910572,1639947,7550519,193917.15,5796714,(A) Public Sector Banks,2018-03-07
Andhra Bank,1514136,887533,2401669,32177.31,1808736,(A) Public Sector Banks,2018-03-07
Bank of Baroda,9003713,14607747,23611460,614228.28,21868397,(A) Public Sector Banks,2018-03-07
Bank of India,9143415,10042468,19185883,423519.56,17918600,(A) Public Sector Banks,2018-03-07
Bank of Maharashtra,3969210,1176286,5145496,110660.57,1041711,(A) Public Sector Banks,2018-03-07
Canara Bank,4621324,2104686,6726010,195661.79,4235094,(A) Public Sector Banks,2018-03-07
Central Bank of India,8920042,2151135,11071177,206380.59,8469535,(A) Public Sector Banks,2018-03-07
Corporation Bank,1364285,1350376,2714661,104767.33,2570283,(A) Public Sector Banks,2018-03-07
Dena Bank,3467180,924176,4391356,97024.08,2652058,(A) Public Sector Banks,2018-03-07
IDBI Bank Ltd.,458232,364556,822788,21096.24,676339,(A) Public Sector Banks,2018-03-07
Indian Bank,2208082,1101884,3309966,48761.66,3286755,(A) Public Sector Banks,2018-03-07
Indian Overseas Bank,975590,3412137,4387727,78947.23,4129934,(A) Public Sector Banks,2018-03-07
Oriental Bank of Commerce,2398235,1831314,4229549,427867.36,3784009,(A) Public Sector Banks,2018-03-07
Punjab & Sind Bank,659113,422131,1081244,59398.22,1001263,(A) Public Sector Banks,2018-03-07
Punjab National Bank,15440199,2802666,18242865,351657.93,15937497,(A) Public Sector Banks,2018-03-07
State Bank of India,44403353,60672472,105075825,1622040.85,70324595,(A) Public Sector Banks,2018-03-07
Syndicate Bank,3055363,1380996,4436359,124785.33,3883004,(A) Public Sector Banks,2018-03-07
UCO Bank,3649340,2947475,6596815,158156.11,4030886,(A) Public Sector Banks,2018-03-07
Union Bank of India,6712073,1819004,8531077,172957.57,4882691,(A) Public Sector Banks,2018-03-07
United Bank of India,7261714,4751773,12013487,1051519.96,10363574,(A) Public Sector Banks,2018-03-07
Vijaya Bank,824216,636765,1460981,20075.51,1459788,(A) Public Sector Banks,2018-03-07
Public Sector Banks Sub Total,135959387,117027527,252986914,6115600.64,190121463,(A) Public Sector Banks,2018-03-07
Allahabad Bank,925834,169285,1095119,27759.16,781002,(B) Regional Rural Bank,2018-03-07
Andhra Bank,166584,17343,183927,2692.91,100929,(B) Regional Rural Bank,2018-03-07
Bank of Baroda,4683326,1300561,5983887,160630.98,4872768,(B) Regional Rural Bank,2018-03-07
