Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Bank of India,3050299,1000877,4051176,80950.51,3761427,(B) Regional Rural Bank,2018-03-07
Bank of Maharashtra,811293,125856,937149,20502.85,798611,(B) Regional Rural Bank,2018-03-07
Canara Bank,646083,440512,1086595,53638.69,1057519,(B) Regional Rural Bank,2018-03-07
Central Bank of India,3420469,785747,4206216,115217.53,3787876,(B) Regional Rural Bank,2018-03-07
Dena Bank,410334,13988,424322,13805.86,289136,(B) Regional Rural Bank,2018-03-07
Indian Bank,429868,134927,564795,7180.72,493757,(B) Regional Rural Bank,2018-03-07
Indian Overseas Bank,989477,30084,1019561,29500.98,616138,(B) Regional Rural Bank,2018-03-07
Jammu & Kashmir Bank Ltd,89285,16192,105477,5079.52,21473,(B) Regional Rural Bank,2018-03-07
Punjab & Sind Bank,19227,1199,20426,321.46,18404,(B) Regional Rural Bank,2018-03-07
Punjab National Bank,3063486,551300,3614786,121161.02,3171434,(B) Regional Rural Bank,2018-03-07
State Bank of India,10866930,2178571,13045501,282920.71,6396768,(B) Regional Rural Bank,2018-03-07
Syndicate Bank,2021479,549121,2570600,96104.88,2487837,(B) Regional Rural Bank,2018-03-07
UCO Bank,1465115,53738,1518853,29765.13,559347,(B) Regional Rural Bank,2018-03-07
Union Bank of India,1014119,342024,1356143,33410.09,755829,(B) Regional Rural Bank,2018-03-07
United Bank of India,8307938,106684,8414622,197443.47,6727220,(B) Regional Rural Bank,2018-03-07
Regional Rural Banks Sub Total,42381146,7818009,50199155,1278086.49,36697475,(B) Regional Rural Bank,2018-03-07
Axis Bank Ltd,117121,663594,780715,20182.51,691886,(C) Major Private Banks,2018-03-07
City Union Bank Ltd,16042,68295,84337,1477.93,79499,(C) Major Private Banks,2018-03-07
Federal Bank Ltd,399741,81453,481194,19199.90,421765,(C) Major Private Banks,2018-03-07
HDFC Bank Ltd,331849,1440187,1772036,85962.20,1771358,(C) Major Private Banks,2018-03-07
ICICI Bank Ltd,3462467,552445,4014912,20106.74,4014912,(C) Major Private Banks,2018-03-07
IndusInd Bank Ltd,41192,407209,448401,3212.29,423603,(C) Major Private Banks,2018-03-07
Jammu & Kashmir Bank Ltd,1364333,137402,1501735,57451.74,1185682,(C) Major Private Banks,2018-03-07
Karur Vysya Bank,25334,162852,188186,1813.38,185545,(C) Major Private Banks,2018-03-07
Kotak Mahindra Bank Ltd,107187,71108,178295,1981.84,130709,(C) Major Private Banks,2018-03-07
Lakshmi Vilas Bank Ltd,38602,97316,135918,1661.44,125592,(C) Major Private Banks,2018-03-07
RBL Bank Ltd,59787,35520,95307,214.41,94512,(C) Major Private Banks,2018-03-07
South Indian Bank Ltd,30535,179022,209557,4504.14,60465,(C) Major Private Banks,2018-03-07
Yes Bank Ltd,7419,5163,12582,232.78,10751,(C) Major Private Banks,2018-03-07
Major Private Banks Sub Total,6001609,3901566,9903175,218001.30,9196279,(C) Major Private Banks,2018-03-07
