Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,152711122,128974541,281685663,7801402.01,225958162,Summary,2019-04-10
Regional Rural Banks,51127895,9580233,60708128,1745982.17,38535518,Summary,2019-04-10
Private Sector Banks,6891366,5610067,12501433,293279.30,11645862,Summary,2019-04-10
Grand Total,210730383,144164841,354895224,9840663.48,276139542,Summary,2019-04-10
Allahabad Bank,7621732,3086337,10708069,353533.31,6466567,(A) Public Sector Banks,2019-04-10
Andhra Bank,1753661,1008756,2762417,53517.63,2046156,(A) Public Sector Banks,2019-04-10
Bank of Baroda,15959924,20619045,36578969,1113323.94,32111209,(A) Public Sector Banks,2019-04-10
Bank of India,10596052,11187960,21784012,593801.42,19117327,(A) Public Sector Banks,2019-04-10
Bank of Maharashtra,4371240,1262942,5634182,147165.66,1299909,(A) Public Sector Banks,2019-04-10
Canara Bank,5036083,2245722,7281805,248567.72,1000001,(A) Public Sector Banks,2019-04-10
Central Bank of India,10973424,2457505,13430929,302085.45,12550115,(A) Public Sector Banks,2019-04-10
Corporation Bank,1653914,1591735,3245649,117723.89,2803527,(A) Public Sector Banks,2019-04-10
Indian Bank,2563793,1222228,3786021,63683.09,3751420,(A) Public Sector Banks,2019-04-10
Indian Overseas Bank,1087006,3763724,4850730,111715.92,4440658,(A) Public Sector Banks,2019-04-10
Oriental Bank of Commerce,2843424,2040375,4883799,407973.21,4088915,(A) Public Sector Banks,2019-04-10
Punjab & Sind Bank,870739,435537,1306276,68567.65,1174464,(A) Public Sector Banks,2019-04-10
Punjab National Bank,16805775,2973744,19779519,474069.27,18538767,(A) Public Sector Banks,2019-04-10
State Bank of India,46931018,62979023,109910041,2302589.55,92411847,(A) Public Sector Banks,2019-04-10
Syndicate Bank,3409960,1486818,4896778,163836.54,4085919,(A) Public Sector Banks,2019-04-10
UCO Bank,4328244,3347506,7675750,225461.30,3997887,(A) Public Sector Banks,2019-04-10
Union Bank of India,8024749,2116069,10140818,249025.16,5622207,(A) Public Sector Banks,2019-04-10
United Bank of India,7880384,5149515,13029899,804761.29,10451267,(A) Public Sector Banks,2019-04-10
Public Sector Banks Sub Total,152711122,128974541,281685663,7801402.01,225958162,(A) Public Sector Banks,2019-04-10
Andhra Bank,167395,17509,184904,4240.95,101602,(B) Regional Rural Bank,2019-04-10
Bank of Baroda,6292811,1650983,7943794,269378.56,5960067,(B) Regional Rural Bank,2019-04-10
Bank of India,5142330,1693858,6836188,163797.05,4957933,(B) Regional Rural Bank,2019-04-10
Bank of Maharashtra,1245177,140973,1386150,35991.30,874872,(B) Regional Rural Bank,2019-04-10
Canara Bank,2454988,1012525,3467513,122055.93,1943447,(B) Regional Rural Bank,2019-04-10
Central Bank of India,3108737,438809,3547546,96478.35,3011775,(B) Regional Rural Bank,2019-04-10
Indian Bank,493721,175117,668838,9347.04,571249,(B) Regional Rural Bank,2019-04-10
Indian Overseas Bank,1225398,42032,1267430,40886.08,616138,(B) Regional Rural Bank,2019-04-10
Jammu & Kashmir Bank Ltd,115354,19172,134526,6954.60,24743,(B) Regional Rural Bank,2019-04-10
Punjab National Bank,5486553,853181,6339734,236938.64,3999559,(B) Regional Rural Bank,2019-04-10
State Bank of India,12168195,2374573,14542768,370865.91,6380022,(B) Regional Rural Bank,2019-04-10
Syndicate Bank,1825462,574602,2400064,76454.24,2163789,(B) Regional Rural Bank,2019-04-10
UCO Bank,661336,60401,721737,20702.11,197300,(B) Regional Rural Bank,2019-04-10
Union Bank of India,1192471,418402,1610873,47698.16,914520,(B) Regional Rural Bank,2019-04-10
United Bank of India,9547967,108096,9656063,244193.23,6818502,(B) Regional Rural Bank,2019-04-10
Regional Rural Banks Sub Total,51127895,9580233,60708128,1745982.17,38535518,(B) Regional Rural Bank,2019-04-10
Axis Bank Ltd,147742,719367,867109,22101.85,767280,(C) Major Private Banks,2019-04-10
City Union Bank Ltd,9731,75991,85722,1499.15,68789,(C) Major Private Banks,2019-04-10
Federal Bank Ltd,424425,82411,506836,23166.88,280411,(C) Major Private Banks,2019-04-10
HDFC Bank Ltd,387460,2036931,2424391,107443.66,2423713,(C) Major Private Banks,2019-04-10
ICICI Bank Ltd,3700193,1031787,4731980,28380.70,4731980,(C) Major Private Banks,2019-04-10
IDBI Bank Ltd.,524706,423953,948659,25818.87,791972,(C) Major Private Banks,2019-04-10
IndusInd Bank Ltd,46885,445329,492214,3642.23,465384,(C) Major Private Banks,2019-04-10
Jammu & Kashmir Bank Ltd,1378561,220547,1599108,69406.68,1345450,(C) Major Private Banks,2019-04-10
Karur Vysya Bank,27557,173992,201549,2049.73,197950,(C) Major Private Banks,2019-04-10
Kotak Mahindra Bank Ltd,106404,70228,176632,2308.50,128555,(C) Major Private Banks,2019-04-10
Lakshmi Vilas Bank Ltd,39070,105508,144578,1856.58,129158,(C) Major Private Banks,2019-04-10
RBL Bank Ltd,63001,44963,107964,265.48,105763,(C) Major Private Banks,2019-04-10
South Indian Bank Ltd,28786,173354,202140,5080.33,197260,(C) Major Private Banks,2019-04-10
Yes Bank Ltd,6845,5706,12551,258.65,12197,(C) Major Private Banks,2019-04-10
Major Private Banks Sub Total,6891366,5610067,12501433,293279.30,11645862,(C) Major Private Banks,2019-04-10
