Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,152160280,128717984,280878264,7743955.44,228841038,Summary,2019-04-03
Regional Rural Banks,51005510,9564776,60570286,1730001.34,38463857,Summary,2019-04-03
Private Sector Banks,6889186,5599170,12488356,292609.27,11639633,Summary,2019-04-03
Grand Total,210054976,143881930,353936906,9766566.05,278944528,Summary,2019-04-03
Allahabad Bank,7628824,3034890,10663714,353491.84,6459075,(A) Public Sector Banks,2019-04-03
Andhra Bank,1749094,1005599,2754693,52093.95,2039051,(A) Public Sector Banks,2019-04-03
Bank of Baroda,15926257,20554236,36480493,1092124.10,32034105,(A) Public Sector Banks,2019-04-03
Bank of India,10574214,11167546,21741760,587202.27,19046942,(A) Public Sector Banks,2019-04-03
Bank of Maharashtra,4364822,1261012,5625834,146572.07,1288485,(A) Public Sector Banks,2019-04-03
Canara Bank,5031876,2245042,7276918,244339.02,4289288,(A) Public Sector Banks,2019-04-03
Central Bank of India,10957926,2455121,13413047,304614.84,12528810,(A) Public Sector Banks,2019-04-03
Corporation Bank,1653914,1591735,3245649,117723.89,2803527,(A) Public Sector Banks,2019-04-03
Indian Bank,2561121,1221424,3782545,62033.46,3747944,(A) Public Sector Banks,2019-04-03
Indian Overseas Bank,1087006,3763724,4850730,111715.92,4440658,(A) Public Sector Banks,2019-04-03
Oriental Bank of Commerce,2843228,2040375,4883603,397143.14,4067572,(A) Public Sector Banks,2019-04-03
Punjab & Sind Bank,869590,435537,1305127,68567.65,1174026,(A) Public Sector Banks,2019-04-03
Punjab National Bank,16801523,2973825,19775348,473994.91,18537541,(A) Public Sector Banks,2019-04-03
State Bank of India,46830413,62884638,109715051,2299680.85,92240835,(A) Public Sector Banks,2019-04-03
Syndicate Bank,3405767,1485602,4891369,164063.32,4084184,(A) Public Sector Banks,2019-04-03
UCO Bank,4316506,3340413,7656919,225907.63,3995658,(A) Public Sector Banks,2019-04-03
Union Bank of India,7677815,2107750,9785565,237829.21,5612070,(A) Public Sector Banks,2019-04-03
United Bank of India,7880384,5149515,13029899,804857.36,10451267,(A) Public Sector Banks,2019-04-03
Public Sector Banks Sub Total,152160280,128717984,280878264,7743955.44,228841038,(A) Public Sector Banks,2019-04-03
Andhra Bank,167399,17494,184893,4080.65,101594,(B) Regional Rural Bank,2019-04-03
Bank of Baroda,6278971,1646072,7925043,264296.83,5947820,(B) Regional Rural Bank,2019-04-03
Bank of India,5142330,1693858,6836188,163797.05,4957933,(B) Regional Rural Bank,2019-04-03
Bank of Maharashtra,1235433,141957,1377390,35861.09,852941,(B) Regional Rural Bank,2019-04-03
Canara Bank,2449722,1011790,3461512,122072.18,1940381,(B) Regional Rural Bank,2019-04-03
Central Bank of India,3096842,437436,3534278,94512.62,3011807,(B) Regional Rural Bank,2019-04-03
Indian Bank,493721,175117,668838,9347.04,571249,(B) Regional Rural Bank,2019-04-03
Indian Overseas Bank,1188033,40706,1228739,38487.72,616138,(B) Regional Rural Bank,2019-04-03
Jammu & Kashmir Bank Ltd,115090,19134,134224,7066.40,24526,(B) Regional Rural Bank,2019-04-03
Punjab National Bank,5467970,850495,6318465,234925.70,3994905,(B) Regional Rural Bank,2019-04-03
State Bank of India,12150346,2371505,14521851,370448.43,6356537,(B) Regional Rural Bank,2019-04-03
Syndicate Bank,1823270,574050,2397320,74870.88,2162806,(B) Regional Rural Bank,2019-04-03
UCO Bank,659869,60287,720156,18389.96,197300,(B) Regional Rural Bank,2019-04-03
Union Bank of India,1188665,416772,1605437,47651.55,909418,(B) Regional Rural Bank,2019-04-03
United Bank of India,9547849,108103,9655952,244193.23,6818502,(B) Regional Rural Bank,2019-04-03
Regional Rural Banks Sub Total,51005510,9564776,60570286,1730001.34,38463857,(B) Regional Rural Bank,2019-04-03
Axis Bank Ltd,147549,718535,866084,22131.36,766559,(C) Major Private Banks,2019-04-03
City Union Bank Ltd,9731,75991,85722,1467.67,84543,(C) Major Private Banks,2019-04-03
Federal Bank Ltd,424282,82405,506687,22573.40,280001,(C) Major Private Banks,2019-04-03
HDFC Bank Ltd,386698,2028079,2414777,106949.07,2414099,(C) Major Private Banks,2019-04-03
ICICI Bank Ltd,3700433,1031547,4731980,29312.26,4731980,(C) Major Private Banks,2019-04-03
IDBI Bank Ltd.,523938,423509,947447,25427.32,781777,(C) Major Private Banks,2019-04-03
IndusInd Bank Ltd,46866,445597,492463,3790.67,465677,(C) Major Private Banks,2019-04-03
Jammu & Kashmir Bank Ltd,1378561,220547,1599108,69406.68,1345450,(C) Major Private Banks,2019-04-03
Karur Vysya Bank,27032,173243,200275,1884.08,196668,(C) Major Private Banks,2019-04-03
Kotak Mahindra Bank Ltd,106404,70228,176632,2251.44,128555,(C) Major Private Banks,2019-04-03
Lakshmi Vilas Bank Ltd,39066,105465,144531,1815.14,129107,(C) Major Private Banks,2019-04-03
RBL Bank Ltd,63001,44963,107964,265.48,105763,(C) Major Private Banks,2019-04-03
South Indian Bank Ltd,28786,173354,202140,5080.33,197260,(C) Major Private Banks,2019-04-03
Yes Bank Ltd,6839,5707,12546,254.37,12194,(C) Major Private Banks,2019-04-03
Major Private Banks Sub Total,6889186,5599170,12488356,292609.27,11639633,(C) Major Private Banks,2019-04-03
