Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,159731329,138070286,297801615,8434693.94,246246374,Summary,2019-11-06
Regional Rural Banks,52010096,11910195,63920291,1944824.68,38636593,Summary,2019-11-06
Private Sector Banks,6952648,5551910,12504558,305143.00,11609794,Summary,2019-11-06
Grand Total,218694073,155532391,374226464,10684661.62,296492761,Summary,2019-11-06
Allahabad Bank,9039594,2825221,11864815,403461.21,6563815,(A) Public Sector Banks,2019-11-06
Andhra Bank,1846176,1061862,2908038,59242.17,2146226,(A) Public Sector Banks,2019-11-06
Bank of Baroda,17066686,22589084,39655770,1223127.06,34772380,(A) Public Sector Banks,2019-11-06
Bank of India,11194607,11804774,22999381,672632.94,19609786,(A) Public Sector Banks,2019-11-06
Bank of Maharashtra,4634575,1369967,6004542,165694.82,1687509,(A) Public Sector Banks,2019-11-06
Canara Bank,5208351,2285072,7493423,258578.64,1883774,(A) Public Sector Banks,2019-11-06
Central Bank of India,11693203,2543507,14236710,335328.66,8684417,(A) Public Sector Banks,2019-11-06
Corporation Bank,1666471,1583827,3250298,122858.84,2806228,(A) Public Sector Banks,2019-11-06
Indian Bank,2668283,1254246,3922529,67311.40,3882050,(A) Public Sector Banks,2019-11-06
Indian Overseas Bank,1127290,3881835,5009125,120822.43,4607502,(A) Public Sector Banks,2019-11-06
Oriental Bank of Commerce,2918671,2078943,4997614,429497.48,4091739,(A) Public Sector Banks,2019-11-06
Punjab & Sind Bank,886049,436055,1322104,65863.17,1186486,(A) Public Sector Banks,2019-11-06
Punjab National Bank,16915457,2988763,19904220,522617.26,18632664,(A) Public Sector Banks,2019-11-06
State Bank of India,48341668,68830486,117172154,2569588.52,109979806,(A) Public Sector Banks,2019-11-06
Syndicate Bank,3594330,1539208,5133538,177968.95,4141184,(A) Public Sector Banks,2019-11-06
UCO Bank,4682438,3629577,8312015,250936.63,4110628,(A) Public Sector Banks,2019-11-06
Union Bank of India,8353375,2210141,10563516,246237.64,7008913,(A) Public Sector Banks,2019-11-06
United Bank of India,7894105,5157718,13051823,742926.12,10451267,(A) Public Sector Banks,2019-11-06
Public Sector Banks Sub Total,159731329,138070286,297801615,8434693.94,246246374,(A) Public Sector Banks,2019-11-06
Andhra Bank,167275,17454,184729,3729.31,101856,(B) Regional Rural Bank,2019-11-06
Bank of Baroda,6775033,1954935,8729968,293108.46,6380172,(B) Regional Rural Bank,2019-11-06
Bank of India,3715500,3307273,7022773,167449.65,4932514,(B) Regional Rural Bank,2019-11-06
Bank of Maharashtra,1511536,144650,1656186,40605.93,883389,(B) Regional Rural Bank,2019-11-06
Canara Bank,2556716,1063477,3620193,126704.70,2119425,(B) Regional Rural Bank,2019-11-06
Central Bank of India,3108633,445776,3554409,103506.01,2997956,(B) Regional Rural Bank,2019-11-06
Indian Bank,658974,197200,856174,12567.18,595579,(B) Regional Rural Bank,2019-11-06
Indian Overseas Bank,1113980,38579,1152559,43702.89,591478,(B) Regional Rural Bank,2019-11-06
Jammu & Kashmir Bank Ltd,121704,20146,141850,7388.31,27936,(B) Regional Rural Bank,2019-11-06
Punjab National Bank,5899978,940201,6840179,340826.55,4011368,(B) Regional Rural Bank,2019-11-06
State Bank of India,12720544,2553790,15274334,393072.98,5812645,(B) Regional Rural Bank,2019-11-06
Syndicate Bank,1904647,601194,2505841,76585.23,2196604,(B) Regional Rural Bank,2019-11-06
UCO Bank,683292,62099,745391,19341.46,197300,(B) Regional Rural Bank,2019-11-06
Union Bank of India,1276167,454269,1730436,51061.33,969869,(B) Regional Rural Bank,2019-11-06
United Bank of India,9796117,109152,9905269,265174.68,6818502,(B) Regional Rural Bank,2019-11-06
Regional Rural Banks Sub Total,52010096,11910195,63920291,1944824.68,38636593,(B) Regional Rural Bank,2019-11-06
Axis Bank Ltd,149139,731041,880180,22561.68,766156,(C) Major Private Banks,2019-11-06
City Union Bank Ltd,9731,75991,85722,1467.67,84543,(C) Major Private Banks,2019-11-06
Federal Bank Ltd,464636,107099,571735,23417.49,317653,(C) Major Private Banks,2019-11-06
HDFC Bank Ltd,397236,2075299,2472535,114835.62,2471857,(C) Major Private Banks,2019-11-06
ICICI Bank Ltd,3694033,1038417,4732450,27880.79,4732450,(C) Major Private Banks,2019-11-06
IDBI Bank Ltd.,474482,368525,843007,25129.17,708802,(C) Major Private Banks,2019-11-06
IndusInd Bank Ltd,34453,394538,428991,2849.26,399532,(C) Major Private Banks,2019-11-06
Jammu & Kashmir Bank Ltd,1428797,187166,1615963,75224.07,1432431,(C) Major Private Banks,2019-11-06
Karur Vysya Bank,28255,176803,205058,1862.55,201580,(C) Major Private Banks,2019-11-06
Kotak Mahindra Bank Ltd,126453,42606,169059,2209.57,126485,(C) Major Private Banks,2019-11-06
Lakshmi Vilas Bank Ltd,49011,132523,181534,2087.77,152524,(C) Major Private Banks,2019-11-06
RBL Bank Ltd,62358,45606,107964,290.49,105366,(C) Major Private Banks,2019-11-06
South Indian Bank Ltd,27641,170862,198503,5124.69,98892,(C) Major Private Banks,2019-11-06
Yes Bank Ltd,6423,5434,11857,202.18,11523,(C) Major Private Banks,2019-11-06
Major Private Banks Sub Total,6952648,5551910,12504558,305143.00,11609794,(C) Major Private Banks,2019-11-06
