Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,202770520,128043926,330814446,10729292.66,261928734,Summary,2021-02-03
Regional Rural Banks,65358854,9268266,74627120,2692140.26,34023882,Summary,2021-02-03
Private Sector Banks,6894301,5591525,12485826,421119.47,11254804,Summary,2021-02-03
Grand Total,275023675,142903717,417927392,13842552.39,307207420,Summary,2021-02-03
Bank of Baroda,35244309,13335590,48579899,1698065.62,42445069,(A) Public Sector Banks,2021-02-03
Bank of India,20355810,4751878,25107688,898608.70,20888939,(A) Public Sector Banks,2021-02-03
Bank of Maharashtra,5180082,1560032,6740114,240109.41,2557523,(A) Public Sector Banks,2021-02-03
Canara Bank,9745347,4041572,13786919,589507.12,7373307,(A) Public Sector Banks,2021-02-03
Central Bank of India,12203946,1957108,14161054,383068.62,8363087,(A) Public Sector Banks,2021-02-03
Indian Bank,14464710,3399755,17864465,655756.55,10572531,(A) Public Sector Banks,2021-02-03
Indian Overseas Bank,1192653,4069399,5262052,165995.19,4868257,(A) Public Sector Banks,2021-02-03
Punjab & Sind Bank,853057,476800,1329857,54762.48,1154464,(A) Public Sector Banks,2021-02-03
Punjab National Bank,29948919,9489780,39438699,1585750.07,27553606,(A) Public Sector Banks,2021-02-03
State Bank of India,52999697,75061051,128060748,3504104.05,119731629,(A) Public Sector Banks,2021-02-03
UCO Bank,5547936,4284075,9832011,346986.86,4348643,(A) Public Sector Banks,2021-02-03
Union Bank of India,15034054,5616886,20650940,606578.00,12071679,(A) Public Sector Banks,2021-02-03
Public Sector Banks Sub Total,202770520,128043926,330814446,10729292.66,261928734,(A) Public Sector Banks,2021-02-03
Bank of Baroda,11861819,2993048,14854867,543516.09,8562613,(B) Regional Rural Bank,2021-02-03
Bank of India,8035567,432117,8467684,216202.47,5215327,(B) Regional Rural Bank,2021-02-03
Bank of Maharashtra,2089128,242549,2331677,106038.70,1120262,(B) Regional Rural Bank,2021-02-03
Canara Bank,5230399,1132139,6362538,275693.31,2914271,(B) Regional Rural Bank,2021-02-03
Central Bank of India,3218877,460201,3679078,118968.19,2921424,(B) Regional Rural Bank,2021-02-03
Indian Bank,718246,240902,959148,18445.70,602466,(B) Regional Rural Bank,2021-02-03
Indian Overseas Bank,1260972,101922,1362894,59822.14,607247,(B) Regional Rural Bank,2021-02-03
Jammu & Kashmir Bank Ltd,196146,36144,232290,10623.62,64788,(B) Regional Rural Bank,2021-02-03
Punjab National Bank,17024350,1367829,18392179,721099.89,6008487,(B) Regional Rural Bank,2021-02-03
State Bank of India,14600637,2102443,16703080,584086.79,5878937,(B) Regional Rural Bank,2021-02-03
UCO Bank,933805,138802,1072607,31723.97,22850,(B) Regional Rural Bank,2021-02-03
Union Bank of India,188908,20170,209078,5919.37,105210,(B) Regional Rural Bank,2021-02-03
Regional Rural Banks Sub Total,65358854,9268266,74627120,2692140.26,34023882,(B) Regional Rural Bank,2021-02-03
Axis Bank Ltd,150766,734092,884858,31846.11,698755,(C) Major Private Banks,2021-02-03
City Union Bank Ltd,9738,76129,85867,1705.42,66483,(C) Major Private Banks,2021-02-03
Federal Bank Ltd,504982,111279,616261,30245.48,379111,(C) Major Private Banks,2021-02-03
HDFC Bank Ltd,415243,2112949,2528192,145158.21,2527528,(C) Major Private Banks,2021-02-03
ICICI Bank Ltd,3558407,902788,4461195,49593.47,4461195,(C) Major Private Banks,2021-02-03
IDBI Bank Ltd.,199622,647922,847544,31943.37,707084,(C) Major Private Banks,2021-02-03
IndusInd Bank Ltd,36068,408594,444662,5516.14,405873,(C) Major Private Banks,2021-02-03
Jammu & Kashmir Bank Ltd,1557652,205139,1762791,108625.06,1431328,(C) Major Private Banks,2021-02-03
Karur Vysya Bank,115485,69531,185016,2652.92,183311,(C) Major Private Banks,2021-02-03
Kotak Mahindra Bank Ltd,106758,53075,159833,2806.14,14943,(C) Major Private Banks,2021-02-03
Lakshmi Vilas Bank Ltd,141404,42789,184193,2669.18,150892,(C) Major Private Banks,2021-02-03
RBL Bank Ltd,63260,41593,104853,1399.69,104853,(C) Major Private Banks,2021-02-03
South Indian Bank Ltd,28403,180404,208807,6769.19,112047,(C) Major Private Banks,2021-02-03
Yes Bank Ltd,6513,5241,11754,189.09,11401,(C) Major Private Banks,2021-02-03
Major Private Banks Sub Total,6894301,5591525,12485826,421119.47,11254804,(C) Major Private Banks,2021-02-03
