Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,186934974,131503880,318438854,10041919.40,253423034,Summary,2020-07-29
Regional Rural Banks,61380367,8956028,70336395,2537757.05,31495834,Summary,2020-07-29
Private Sector Banks,6866987,5735483,12602470,396018.57,11453226,Summary,2020-07-29
Grand Total,255182328,146195391,401377719,12975695.02,296372094,Summary,2020-07-29
Bank of Baroda,32991659,12339877,45331536,1531138.31,39469907,(A) Public Sector Banks,2020-07-29
Bank of India,11738215,12377092,24115307,854484.05,20179616,(A) Public Sector Banks,2020-07-29
Bank of Maharashtra,4890970,1469645,6360615,220942.01,2075628,(A) Public Sector Banks,2020-07-29
Canara Bank,9421668,3986651,13408319,548006.95,6889852,(A) Public Sector Banks,2020-07-29
Central Bank of India,11443674,1892753,13336427,361081.83,7876923,(A) Public Sector Banks,2020-07-29
Indian Bank,13761392,3271327,17032719,590284.83,9918858,(A) Public Sector Banks,2020-07-29
Indian Overseas Bank,1161477,4007096,5168573,161008.28,4739659,(A) Public Sector Banks,2020-07-29
Punjab & Sind Bank,845537,434860,1280397,57238.60,1151715,(A) Public Sector Banks,2020-07-29
Punjab National Bank,29459598,9290908,38750506,1473523.11,28143273,(A) Public Sector Banks,2020-07-29
State Bank of India,51945338,73274540,125219878,3339314.18,116868316,(A) Public Sector Banks,2020-07-29
UCO Bank,5042040,3873983,8916023,327634.69,4255446,(A) Public Sector Banks,2020-07-29
Union Bank of India,14233406,5285148,19518554,577262.56,11853841,(A) Public Sector Banks,2020-07-29
Public Sector Banks Sub Total,186934974,131503880,318438854,10041919.40,253423034,(A) Public Sector Banks,2020-07-29
Bank of Baroda,11070654,2797418,13868072,488258.15,7862730,(B) Regional Rural Bank,2020-07-29
Bank of India,7517413,404048,7921461,197754.00,3709785,(B) Regional Rural Bank,2020-07-29
Bank of Maharashtra,1845518,146839,1992357,77277.41,950384,(B) Regional Rural Bank,2020-07-29
Canara Bank,5049465,1076026,6125491,255344.84,2843868,(B) Regional Rural Bank,2020-07-29
Central Bank of India,3212313,456140,3668453,119751.60,2935248,(B) Regional Rural Bank,2020-07-29
Indian Bank,683676,204505,888181,17627.61,601362,(B) Regional Rural Bank,2020-07-29
Indian Overseas Bank,1174308,94893,1269201,58107.56,597146,(B) Regional Rural Bank,2020-07-29
Jammu & Kashmir Bank Ltd,170090,31062,201152,9578.66,49307,(B) Regional Rural Bank,2020-07-29
Punjab National Bank,16336578,1240428,17577006,714452.67,5876708,(B) Regional Rural Bank,2020-07-29
State Bank of India,13399396,2367983,15767379,567157.82,5768914,(B) Regional Rural Bank,2020-07-29
UCO Bank,751742,119144,870886,27039.26,197281,(B) Regional Rural Bank,2020-07-29
Union Bank of India,169214,17542,186756,5407.49,103101,(B) Regional Rural Bank,2020-07-29
Regional Rural Banks Sub Total,61380367,8956028,70336395,2537757.05,31495834,(B) Regional Rural Bank,2020-07-29
Axis Bank Ltd,146870,704167,851037,28331.29,703684,(C) Major Private Banks,2020-07-29
City Union Bank Ltd,9640,75674,85314,1779.64,66718,(C) Major Private Banks,2020-07-29
Federal Bank Ltd,479589,108795,588384,29553.68,346812,(C) Major Private Banks,2020-07-29
HDFC Bank Ltd,411085,2085689,2496774,132920.15,2496110,(C) Major Private Banks,2020-07-29
ICICI Bank Ltd,3686191,1041711,4727902,51684.74,4727902,(C) Major Private Banks,2020-07-29
IDBI Bank Ltd.,198895,646017,844912,31105.31,706661,(C) Major Private Banks,2020-07-29
IndusInd Bank Ltd,35417,400786,436203,4990.23,402427,(C) Major Private Banks,2020-07-29
Jammu & Kashmir Bank Ltd,1521572,200659,1722231,99622.83,1431370,(C) Major Private Banks,2020-07-29
Karur Vysya Bank,114567,69257,183824,2644.95,182081,(C) Major Private Banks,2020-07-29
Kotak Mahindra Bank Ltd,117135,44271,161406,1905.16,15197,(C) Major Private Banks,2020-07-29
Lakshmi Vilas Bank Ltd,48249,135484,183733,2901.58,151174,(C) Major Private Banks,2020-07-29
RBL Bank Ltd,63300,41821,105121,1616.00,105121,(C) Major Private Banks,2020-07-29
South Indian Bank Ltd,28022,175785,203807,6757.92,106480,(C) Major Private Banks,2020-07-29
Yes Bank Ltd,6455,5367,11822,205.08,11489,(C) Major Private Banks,2020-07-29
Major Private Banks Sub Total,6866987,5735483,12602470,396018.57,11453226,(C) Major Private Banks,2020-07-29
