Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,68027481,56826062,124853543,1386756.71,116663249,Summary,2015-06-03
Regional Rural Banks,24179610,4233681,28413291,311481.62,20783824,Summary,2015-06-03
Private Sector Banks,3923253,2761053,6684306,101305.70,5916699,Summary,2015-06-03
Grand Total,96130344,63820796,159951140,1799544.03,143363772,Summary,2015-06-03
Allahabad Bank,2269928,793301,3063229,15513.94,3008322,(A) Public Sector Banks,2015-06-03
Andhra Bank,1196438,683982,1880420,12282.34,1861097,(A) Public Sector Banks,2015-06-03
Bank of Baroda,3761677,5073404,8835081,126725.24,8584535,(A) Public Sector Banks,2015-06-03
Bank of India,3148114,4317148,7465262,56093.10,7302722,(A) Public Sector Banks,2015-06-03
Bank of Maharashtra,1220574,569661,1790235,21003.73,1723509,(A) Public Sector Banks,2015-06-03
Bhartiya Mahila Bank,0,62296,62296,986.05,62296,(A) Public Sector Banks,2015-06-03
Canara Bank,4174167,1983105,6157272,79387.25,6157272,(A) Public Sector Banks,2015-06-03
Central Bank of India,4719717,1299103,6018820,41570.25,5181994,(A) Public Sector Banks,2015-06-03
Corporation Bank,1113557,1126683,2240240,48930.19,2184597,(A) Public Sector Banks,2015-06-03
Dena Bank,1929344,926828,2856172,25403.59,2758980,(A) Public Sector Banks,2015-06-03
IDBI Bank Ltd.,506957,446448,953405,4863.68,910423,(A) Public Sector Banks,2015-06-03
Indian Bank,1720468,950002,2670470,19431.68,2639064,(A) Public Sector Banks,2015-06-03
Indian Overseas Bank,1127587,2085543,3213130,29936.66,3153137,(A) Public Sector Banks,2015-06-03
Oriental Bank of Commerce,1538759,1063498,2602257,149625.04,2570810,(A) Public Sector Banks,2015-06-03
Punjab & Sind Bank,829081,425301,1254382,50552.36,1249429,(A) Public Sector Banks,2015-06-03
Punjab National Bank,8257870,1775329,10033199,77782.03,9264638,(A) Public Sector Banks,2015-06-03
State Bank of Bikaner & Jaipur,1267668,1433698,2701366,65751.81,2359882,(A) Public Sector Banks,2015-06-03
State Bank of Hyderabad,950272,1729132,2679404,17550.52,2626577,(A) Public Sector Banks,2015-06-03
State Bank of India,15257365,21597042,36854407,148467.89,33213678,(A) Public Sector Banks,2015-06-03
State Bank of Mysore,608313,212187,820500,4417.26,771678,(A) Public Sector Banks,2015-06-03
State Bank of Patiala,415770,771299,1187069,23268.69,1129944,(A) Public Sector Banks,2015-06-03
State Bank of Travancore,34310,293993,328303,7851.59,286494,(A) Public Sector Banks,2015-06-03
Syndicate Bank,2444350,1204892,3649242,54357.17,3418806,(A) Public Sector Banks,2015-06-03
UCO Bank,2428990,2528416,4957406,78779.12,4808535,(A) Public Sector Banks,2015-06-03
Union Bank of India,3769429,1116253,4885682,41933.38,4804916,(A) Public Sector Banks,2015-06-03
United Bank of India,2598296,1851878,4450174,176929.65,3385967,(A) Public Sector Banks,2015-06-03
Vijaya Bank,738480,505640,1244120,7362.50,1243947,(A) Public Sector Banks,2015-06-03
Public Sector Banks Sub Total,68027481,56826062,124853543,1386756.71,116663249,(A) Public Sector Banks,2015-06-03
Allahabad Bank,564917,123917,688834,4819.27,671829,(B) Regional Rural Bank,2015-06-03
Andhra Bank,138941,10039,148980,925.73,143526,(B) Regional Rural Bank,2015-06-03
Bank of Baroda,2056099,607767,2663866,26392.49,2501829,(B) Regional Rural Bank,2015-06-03
Bank of India,1735329,584627,2319956,5661.23,2250586,(B) Regional Rural Bank,2015-06-03
Bank of Maharashtra,381865,68491,450356,6354.27,450356,(B) Regional Rural Bank,2015-06-03
Canara Bank,473740,328378,802118,20499.75,799447,(B) Regional Rural Bank,2015-06-03
Central Bank of India,3184894,575097,3759991,51531.72,3350262,(B) Regional Rural Bank,2015-06-03
Dena Bank,232087,12386,244473,2550.05,221439,(B) Regional Rural Bank,2015-06-03
Indian Bank,322323,69325,391648,2170.07,280087,(B) Regional Rural Bank,2015-06-03
Indian Overseas Bank,716235,9176,725411,7223.49,162568,(B) Regional Rural Bank,2015-06-03
Jammu & Kashmir Bank Ltd,60618,11368,71986,1583.47,0,(B) Regional Rural Bank,2015-06-03
Punjab & Sind Bank,10522,2490,13012,168.75,11511,(B) Regional Rural Bank,2015-06-03
Punjab National Bank,2267166,335682,2602848,38066.81,1004163,(B) Regional Rural Bank,2015-06-03
State Bank of Bikaner & Jaipur,1088687,27520,1116207,12513.67,864754,(B) Regional Rural Bank,2015-06-03
State Bank of Hyderabad,605515,77732,683247,9845.78,508374,(B) Regional Rural Bank,2015-06-03
State Bank of India,4565290,778605,5343895,44665.82,2690452,(B) Regional Rural Bank,2015-06-03
State Bank of Mysore,274390,82323,356713,1409.92,310959,(B) Regional Rural Bank,2015-06-03
