Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,136602267,117542078,254144345,6496731.84,190839888,Summary,2018-04-11
Regional Rural Banks,42605552,7863223,50468775,1337027.45,36740879,Summary,2018-04-11
Private Sector Banks,5960181,3948524,9908705,220810.64,9203887,Summary,2018-04-11
Grand Total,185168000,129353825,314521825,8054569.93,236784654,Summary,2018-04-11
Allahabad Bank,5950999,1676002,7627001,211927.40,5869603,(A) Public Sector Banks,2018-04-11
Andhra Bank,1514658,887256,2401914,32662.40,1808067,(A) Public Sector Banks,2018-04-11
Bank of Baroda,9147747,14919713,24067460,656477.58,22266958,(A) Public Sector Banks,2018-04-11
Bank of India,9219497,10119821,19339318,448857.77,17989714,(A) Public Sector Banks,2018-04-11
Bank of Maharashtra,3981049,1178521,5159570,115437.06,1052260,(A) Public Sector Banks,2018-04-11
Canara Bank,4642658,2114382,6757040,204942.76,4243587,(A) Public Sector Banks,2018-04-11
Central Bank of India,9045939,2162872,11208811,224081.03,8599090,(A) Public Sector Banks,2018-04-11
Corporation Bank,1363318,1350170,2713488,106547.82,2570283,(A) Public Sector Banks,2018-04-11
Dena Bank,3487599,925640,4413239,101704.49,2651634,(A) Public Sector Banks,2018-04-11
IDBI Bank Ltd.,458248,364384,822632,21556.58,676245,(A) Public Sector Banks,2018-04-11
Indian Bank,2208406,1102867,3311273,51573.03,3288675,(A) Public Sector Banks,2018-04-11
Indian Overseas Bank,975491,3412639,4388130,81568.62,4124454,(A) Public Sector Banks,2018-04-11
Oriental Bank of Commerce,2410199,1840169,4250368,437660.15,3792199,(A) Public Sector Banks,2018-04-11
Punjab & Sind Bank,655359,422111,1077470,58460.11,1000934,(A) Public Sector Banks,2018-04-11
Punjab National Bank,15502164,2810694,18312858,353634.09,15943556,(A) Public Sector Banks,2018-04-11
State Bank of India,44403353,60672472,105075825,1760222.15,70325595,(A) Public Sector Banks,2018-04-11
Syndicate Bank,3058292,1380574,4438866,128400.13,3884631,(A) Public Sector Banks,2018-04-11
UCO Bank,3685439,2965649,6651088,170177.82,4045330,(A) Public Sector Banks,2018-04-11
Union Bank of India,6791477,1838987,8630464,191272.86,4879730,(A) Public Sector Banks,2018-04-11
United Bank of India,7276776,4761206,12037982,1118938.24,10369555,(A) Public Sector Banks,2018-04-11
Vijaya Bank,823599,635949,1459548,20629.80,1457788,(A) Public Sector Banks,2018-04-11
Public Sector Banks Sub Total,136602267,117542078,254144345,6496731.84,190839888,(A) Public Sector Banks,2018-04-11
Allahabad Bank,927986,169285,1097271,30640.12,781002,(B) Regional Rural Bank,2018-04-11
Andhra Bank,166632,17387,184019,2750.35,100940,(B) Regional Rural Bank,2018-04-11
Bank of Baroda,4735580,1313856,6049436,174853.68,4903487,(B) Regional Rural Bank,2018-04-11
Bank of India,3069548,1008230,4077778,84526.45,3761427,(B) Regional Rural Bank,2018-04-11
Bank of Maharashtra,812385,125856,938241,20501.79,798628,(B) Regional Rural Bank,2018-04-11
Canara Bank,646356,440716,1087072,52992.48,1057702,(B) Regional Rural Bank,2018-04-11
Central Bank of India,3422349,788454,4210803,121868.88,3790380,(B) Regional Rural Bank,2018-04-11
Dena Bank,410827,13969,424796,14426.35,289935,(B) Regional Rural Bank,2018-04-11
Indian Bank,430271,139972,570243,7517.34,493804,(B) Regional Rural Bank,2018-04-11
Indian Overseas Bank,990243,30135,1020378,31438.30,616138,(B) Regional Rural Bank,2018-04-11
Jammu & Kashmir Bank Ltd,89564,16328,105892,5283.12,21680,(B) Regional Rural Bank,2018-04-11
Punjab & Sind Bank,19359,1267,20626,373.76,18437,(B) Regional Rural Bank,2018-04-11
Punjab National Bank,3067233,556183,3623416,129293.09,3174966,(B) Regional Rural Bank,2018-04-11
State Bank of India,10912179,2185277,13097456,289456.40,6396338,(B) Regional Rural Bank,2018-04-11
Syndicate Bank,2023595,549579,2573174,100308.29,2487837,(B) Regional Rural Bank,2018-04-11
UCO Bank,1499238,54605,1553843,32620.88,559347,(B) Regional Rural Bank,2018-04-11
Union Bank of India,1022127,345430,1367557,36802.74,756363,(B) Regional Rural Bank,2018-04-11
United Bank of India,8360080,106694,8466774,201373.44,6732468,(B) Regional Rural Bank,2018-04-11
Regional Rural Banks Sub Total,42605552,7863223,50468775,1337027.45,36740879,(B) Regional Rural Bank,2018-04-11
Axis Bank Ltd,116876,659351,776227,21112.56,687559,(C) Major Private Banks,2018-04-11
City Union Bank Ltd,9103,75292,84395,1491.84,79460,(C) Major Private Banks,2018-04-11
Federal Bank Ltd,400523,81580,482103,19739.65,422282,(C) Major Private Banks,2018-04-11
HDFC Bank Ltd,331843,1440285,1772128,85071.80,1771450,(C) Major Private Banks,2018-04-11
ICICI Bank Ltd,3466814,552445,4019259,20272.78,4019259,(C) Major Private Banks,2018-04-11
IndusInd Bank Ltd,41220,408689,449909,2997.08,426696,(C) Major Private Banks,2018-04-11
Jammu & Kashmir Bank Ltd,1324944,178332,1503276,59787.99,1191140,(C) Major Private Banks,2018-04-11
Karur Vysya Bank,25426,163996,189422,1705.29,186991,(C) Major Private Banks,2018-04-11
Kotak Mahindra Bank Ltd,107102,70977,178079,1976.96,130512,(C) Major Private Banks,2018-04-11
