Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,205657235,128628238,334285473,11316957.69,263756717,Summary,2021-04-14
Regional Rural Banks,66281106,9420611,75701717,2796980.93,34403241,Summary,2021-04-14
Private Sector Banks,6919553,5620792,12540345,426868.51,11155212,Summary,2021-04-14
Grand Total,278857894,143669641,422527535,14540807.13,309315170,Summary,2021-04-14
Bank of Baroda,35914065,13657197,49571262,1834449.56,43699373,(A) Public Sector Banks,2021-04-14
Bank of India,20556940,4803421,25360361,960627.46,21090049,(A) Public Sector Banks,2021-04-14
Bank of Maharashtra,5230690,1589566,6820256,251452.07,2680950,(A) Public Sector Banks,2021-04-14
Canara Bank,9791059,4055579,13846638,607306.18,7465505,(A) Public Sector Banks,2021-04-14
Central Bank of India,12363819,1969988,14333807,404298.25,8484703,(A) Public Sector Banks,2021-04-14
Indian Bank,14518178,3413827,17932005,678330.06,10602896,(A) Public Sector Banks,2021-04-14
Indian Overseas Bank,1195677,4081930,5277607,174661.67,4892533,(A) Public Sector Banks,2021-04-14
Punjab & Sind Bank,861523,488836,1350359,53763.65,1156906,(A) Public Sector Banks,2021-04-14
Punjab National Bank,29959122,9492545,39451667,1588832.29,27562615,(A) Public Sector Banks,2021-04-14
State Bank of India,53210561,75370494,128581055,3744146.39,120208359,(A) Public Sector Banks,2021-04-14
UCO Bank,5663770,4363657,10027427,367100.48,4348781,(A) Public Sector Banks,2021-04-14
Union Bank of India,16391831,5341198,21733029,651989.63,11564047,(A) Public Sector Banks,2021-04-14
Public Sector Banks Sub Total,205657235,128628238,334285473,11316957.69,263756717,(A) Public Sector Banks,2021-04-14
Bank of Baroda,12050191,3040863,15091054,593434.38,8713419,(B) Regional Rural Bank,2021-04-14
Bank of India,8158436,438813,8597249,231852.46,5327879,(B) Regional Rural Bank,2021-04-14
Bank of Maharashtra,2101722,243678,2345400,110833.70,1146002,(B) Regional Rural Bank,2021-04-14
Canara Bank,5269449,1139643,6409092,286256.94,2933686,(B) Regional Rural Bank,2021-04-14
Central Bank of India,3220005,461135,3681140,120520.05,2914037,(B) Regional Rural Bank,2021-04-14
Indian Bank,725276,247131,972407,17640.13,606020,(B) Regional Rural Bank,2021-04-14
Indian Overseas Bank,1286447,104241,1390688,64952.35,609876,(B) Regional Rural Bank,2021-04-14
Jammu & Kashmir Bank Ltd,201000,36930,237930,11035.05,79291,(B) Regional Rural Bank,2021-04-14
Punjab National Bank,17325073,1412898,18737971,722554.67,6027524,(B) Regional Rural Bank,2021-04-14
State Bank of India,14804392,2131045,16935437,599948.06,5915670,(B) Regional Rural Bank,2021-04-14
UCO Bank,952072,141518,1093590,32470.43,24292,(B) Regional Rural Bank,2021-04-14
Union Bank of India,187043,22716,209759,5482.70,105545,(B) Regional Rural Bank,2021-04-14
Regional Rural Banks Sub Total,66281106,9420611,75701717,2796980.93,34403241,(B) Regional Rural Bank,2021-04-14
Axis Bank Ltd,153161,756252,909413,34175.45,695963,(C) Major Private Banks,2021-04-14
City Union Bank Ltd,9727,76223,85950,1714.22,66319,(C) Major Private Banks,2021-04-14
Federal Bank Ltd,508147,111790,619937,31581.48,357351,(C) Major Private Banks,2021-04-14
HDFC Bank Ltd,416719,2123146,2539865,140502.66,2539201,(C) Major Private Banks,2021-04-14
ICICI Bank Ltd,3556178,903621,4459799,51748.77,4459799,(C) Major Private Banks,2021-04-14
IDBI Bank Ltd.,199773,648064,847837,32391.58,660729,(C) Major Private Banks,2021-04-14
IndusInd Bank Ltd,34217,402804,437021,5519.83,367710,(C) Major Private Banks,2021-04-14
Jammu & Kashmir Bank Ltd,1579808,207274,1787082,112735.90,1431213,(C) Major Private Banks,2021-04-14
Karur Vysya Bank,115742,69493,185235,2586.98,183527,(C) Major Private Banks,2021-04-14
Kotak Mahindra Bank Ltd,106398,52920,159318,2866.49,14870,(C) Major Private Banks,2021-04-14
Lakshmi Vilas Bank Ltd,141135,42738,183873,2602.92,150656,(C) Major Private Banks,2021-04-14
RBL Bank Ltd,63600,41242,104842,1381.17,104842,(C) Major Private Banks,2021-04-14
South Indian Bank Ltd,28336,179991,208327,6852.51,111564,(C) Major Private Banks,2021-04-14
Yes Bank Ltd,6612,5234,11846,208.55,11468,(C) Major Private Banks,2021-04-14
Major Private Banks Sub Total,6919553,5620792,12540345,426868.51,11155212,(C) Major Private Banks,2021-04-14
