Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,98207135,77393791,175600926,3140942.25,146779898,Summary,2016-07-06
Regional Rural Banks,34152285,5602400,39754685,703115.30,27896749,Summary,2016-07-06
Private Sector Banks,5125479,3216797,8342276,149831.30,7688829,Summary,2016-07-06
Grand Total,137484899,86212988,223697887,3993888.85,182365476,Summary,2016-07-06
Allahabad Bank,3850086,981137,4831223,57684.54,4340334,(A) Public Sector Banks,2016-07-06
Andhra Bank,1486725,719522,2206247,22633.70,1917108,(A) Public Sector Banks,2016-07-06
Bank of Baroda,5934388,7586555,13520943,278088.43,12730911,(A) Public Sector Banks,2016-07-06
Bank of India,5783415,6938453,12721868,179866.97,12082635,(A) Public Sector Banks,2016-07-06
Bank of Maharashtra,2488747,822603,3311350,58477.89,1721216,(A) Public Sector Banks,2016-07-06
Bhartiya Mahila Bank,0,69134,69134,1646.34,69134,(A) Public Sector Banks,2016-07-06
Canara Bank,5236330,2369653,7605983,136483.93,7129644,(A) Public Sector Banks,2016-07-06
Central Bank of India,6064790,1567357,7632147,96699.08,5783021,(A) Public Sector Banks,2016-07-06
Corporation Bank,1312036,1307700,2619736,75652.82,2560696,(A) Public Sector Banks,2016-07-06
Dena Bank,2722430,1009396,3731826,59735.82,2798123,(A) Public Sector Banks,2016-07-06
IDBI Bank Ltd.,596107,511655,1107762,10863.14,930683,(A) Public Sector Banks,2016-07-06
Indian Bank,1926552,991635,2918187,30913.42,2876192,(A) Public Sector Banks,2016-07-06
Indian Overseas Bank,1428748,2433885,3862633,47805.53,3730544,(A) Public Sector Banks,2016-07-06
Oriental Bank of Commerce,2233401,1509575,3742976,312035.50,3620359,(A) Public Sector Banks,2016-07-06
Punjab & Sind Bank,835129,426507,1261636,47759.22,1254652,(A) Public Sector Banks,2016-07-06
Punjab National Bank,11412515,2114097,13526612,184604.12,9880987,(A) Public Sector Banks,2016-07-06
