Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,86052376,69321788,155374164,2303485.89,136144105,Summary,2015-12-30
Regional Rural Banks,30585647,5068648,35654295,502566.10,25740040,Summary,2015-12-30
Private Sector Banks,4401890,2954184,7356074,116504.26,6567229,Summary,2015-12-30
Grand Total,121039913,77344620,198384533,2922556.25,168451374,Summary,2015-12-30
Allahabad Bank,2933040,935879,3868919,32785.06,3814012,(A) Public Sector Banks,2015-12-30
Andhra Bank,1437243,712219,2149462,17492.21,1915185,(A) Public Sector Banks,2015-12-30
Bank of Baroda,4952825,6431542,11384367,197520.93,10879822,(A) Public Sector Banks,2015-12-30
Bank of India,4448795,5540734,9989529,97288.30,9328009,(A) Public Sector Banks,2015-12-30
Bank of Maharashtra,1674702,715631,2390333,28978.67,1723509,(A) Public Sector Banks,2015-12-30
Bhartiya Mahila Bank,0,67025,67025,1290.11,67025,(A) Public Sector Banks,2015-12-30
Canara Bank,4930457,2246978,7177435,116141.27,6921926,(A) Public Sector Banks,2015-12-30
Central Bank of India,5558405,1488056,7046461,68139.41,5444163,(A) Public Sector Banks,2015-12-30
Corporation Bank,1276146,1279281,2555427,66396.93,2510454,(A) Public Sector Banks,2015-12-30
Dena Bank,2402745,1017012,3419757,43522.48,2798000,(A) Public Sector Banks,2015-12-30
IDBI Bank Ltd.,547778,477532,1025310,7185.95,931492,(A) Public Sector Banks,2015-12-30
Indian Bank,1940794,986792,2927586,26218.52,2894019,(A) Public Sector Banks,2015-12-30
Indian Overseas Bank,1417449,2424087,3841536,46603.39,3712142,(A) Public Sector Banks,2015-12-30
Oriental Bank of Commerce,2024308,1372493,3396801,250578.15,3331599,(A) Public Sector Banks,2015-12-30
Punjab & Sind Bank,848915,425535,1274450,42052.44,1266114,(A) Public Sector Banks,2015-12-30
