Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,96345344,75988933,172334277,2996128.45,145133163,Summary,2016-05-25
Regional Rural Banks,33362156,5480446,38842602,667126.33,27378788,Summary,2016-05-25
Private Sector Banks,5014006,3101415,8115421,141510.69,7636344,Summary,2016-05-25
Grand Total,134721506,84570794,219292300,3804765.47,180148295,Summary,2016-05-25
Allahabad Bank,3645826,969049,4614875,51586.10,4316188,(A) Public Sector Banks,2016-05-25
Andhra Bank,1470147,717525,2187672,22181.90,1916351,(A) Public Sector Banks,2016-05-25
Bank of Baroda,5698401,7296706,12995107,261376.82,12285322,(A) Public Sector Banks,2016-05-25
Bank of India,5417838,6475420,11893258,164022.53,11259462,(A) Public Sector Banks,2016-05-25
Bank of Maharashtra,2448485,814863,3263348,55714.88,1723509,(A) Public Sector Banks,2016-05-25
Bhartiya Mahila Bank,0,69124,69124,1546.48,69124,(A) Public Sector Banks,2016-05-25
Canara Bank,5176529,2349643,7526172,133802.13,7089264,(A) Public Sector Banks,2016-05-25
Central Bank of India,5965778,1551738,7517516,91037.40,5728191,(A) Public Sector Banks,2016-05-25
Corporation Bank,1302088,1301245,2603333,74771.69,2555387,(A) Public Sector Banks,2016-05-25
Dena Bank,2654469,1003248,3657717,58303.33,2798123,(A) Public Sector Banks,2016-05-25
IDBI Bank Ltd.,583352,506241,1089593,9704.88,931166,(A) Public Sector Banks,2016-05-25
Indian Bank,1986015,999040,2985055,32444.07,2951675,(A) Public Sector Banks,2016-05-25
Indian Overseas Bank,1428748,2433885,3862633,47805.53,3729205,(A) Public Sector Banks,2016-05-25
Oriental Bank of Commerce,2204776,1501335,3706111,307502.80,3572822,(A) Public Sector Banks,2016-05-25
Punjab & Sind Bank,849212,426157,1275369,46613.81,1266114,(A) Public Sector Banks,2016-05-25
Punjab National Bank,11244989,2099901,13344890,174160.17,9821536,(A) Public Sector Banks,2016-05-25
State Bank of Bikaner & Jaipur,1838573,1784736,3623309,96567.56,3223312,(A) Public Sector Banks,2016-05-25
State Bank of Hyderabad,996676,1810432,2807108,30704.99,2740078,(A) Public Sector Banks,2016-05-25
State Bank of India,23747656,30462340,54209996,499667.16,42493477,(A) Public Sector Banks,2016-05-25
State Bank of Mysore,748474,218531,967005,8342.69,809515,(A) Public Sector Banks,2016-05-25
State Bank of Patiala,426158,783059,1209217,18484.34,1142911,(A) Public Sector Banks,2016-05-25
State Bank of Travancore,68989,616640,685629,13561.45,328776,(A) Public Sector Banks,2016-05-25
Syndicate Bank,2794097,1232712,4026809,81449.50,3659404,(A) Public Sector Banks,2016-05-25
UCO Bank,3631613,3685489,7317102,174431.78,6938242,(A) Public Sector Banks,2016-05-25
Union Bank of India,4610443,1280135,5890578,87171.40,5592275,(A) Public Sector Banks,2016-05-25
United Bank of India,4530911,2985065,7515976,438525.35,4728648,(A) Public Sector Banks,2016-05-25
Vijaya Bank,875101,614674,1489775,14647.71,1463086,(A) Public Sector Banks,2016-05-25
Public Sector Banks Sub Total,96345344,75988933,172334277,2996128.45,145133163,(A) Public Sector Banks,2016-05-25
Allahabad Bank,651816,155659,807475,7967.43,763395,(B) Regional Rural Bank,2016-05-25
Andhra Bank,145930,13204,159134,1696.23,97821,(B) Regional Rural Bank,2016-05-25
Bank of Baroda,3230285,884745,4115030,72375.48,3467473,(B) Regional Rural Bank,2016-05-25
Bank of India,2352319,774078,3126397,29591.17,2654019,(B) Regional Rural Bank,2016-05-25
Bank of Maharashtra,381865,68491,450356,6395.34,450356,(B) Regional Rural Bank,2016-05-25
Canara Bank,564606,388419,953025,21410.66,953025,(B) Regional Rural Bank,2016-05-25
Central Bank of India,3592438,699114,4291552,93046.91,3991138,(B) Regional Rural Bank,2016-05-25
Dena Bank,287290,20525,307815,3194.13,285270,(B) Regional Rural Bank,2016-05-25
Indian Bank,341421,81263,422684,3718.39,345650,(B) Regional Rural Bank,2016-05-25
Indian Overseas Bank,886841,9717,896558,16131.31,616138,(B) Regional Rural Bank,2016-05-25
Jammu & Kashmir Bank Ltd,73915,14114,88029,3038.79,15499,(B) Regional Rural Bank,2016-05-25
Punjab & Sind Bank,13665,2746,16411,256.64,12100,(B) Regional Rural Bank,2016-05-25
Punjab National Bank,2961072,366482,3327554,66998.41,2316037,(B) Regional Rural Bank,2016-05-25
State Bank of Bikaner & Jaipur,1914410,43403,1957813,28691.91,1225695,(B) Regional Rural Bank,2016-05-25
State Bank of Hyderabad,773844,133682,907526,26066.30,508374,(B) Regional Rural Bank,2016-05-25
State Bank of India,6022634,1019596,7042230,102682.01,3596613,(B) Regional Rural Bank,2016-05-25
