Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,181435378,128607654,310043032,10238743.88,248352767,Summary,2020-06-03
Regional Rural Banks,57662033,10205195,67867228,2494234.90,32905294,Summary,2020-06-03
Private Sector Banks,7083206,5426439,12509645,400980.26,11421736,Summary,2020-06-03
Grand Total,246180617,144239288,390419905,13133959.04,292679797,Summary,2020-06-03
Bank of Baroda,31791890,11817784,43609674,1525872.64,38091225,(A) Public Sector Banks,2020-06-03
Bank of India,11479932,12090106,23570038,850068.81,19970902,(A) Public Sector Banks,2020-06-03
Bank of Maharashtra,4770684,1436703,6207387,220566.11,1945236,(A) Public Sector Banks,2020-06-03
Canara Bank,9196211,3925327,13121538,561869.43,6740477,(A) Public Sector Banks,2020-06-03
Central Bank of India,10993641,1845937,12839578,352588.05,7601637,(A) Public Sector Banks,2020-06-03
Indian Bank,13393928,3200058,16593986,589579.87,9909531,(A) Public Sector Banks,2020-06-03
Indian Overseas Bank,1149999,3962539,5112538,161262.83,4705034,(A) Public Sector Banks,2020-06-03
Punjab & Sind Bank,857852,436055,1293907,60869.17,1165006,(A) Public Sector Banks,2020-06-03
Punjab National Bank,28773170,9520199,38293369,1706078.18,27975169,(A) Public Sector Banks,2020-06-03
State Bank of India,50722435,71496583,122219018,3315175.43,114275353,(A) Public Sector Banks,2020-06-03
UCO Bank,4873593,3768186,8641779,327420.92,4181454,(A) Public Sector Banks,2020-06-03
Union Bank of India,13432043,5108177,18540220,567392.44,11791743,(A) Public Sector Banks,2020-06-03
Public Sector Banks Sub Total,181435378,128607654,310043032,10238743.88,248352767,(A) Public Sector Banks,2020-06-03
Bank of Baroda,10464083,2671477,13135560,481579.31,7657211,(B) Regional Rural Bank,2020-06-03
Bank of India,5478362,2006585,7484947,197557.09,4932514,(B) Regional Rural Bank,2020-06-03
Bank of Maharashtra,1759974,145342,1905316,69496.47,938956,(B) Regional Rural Bank,2020-06-03
Canara Bank,4958492,1052816,6011308,259660.30,2813998,(B) Regional Rural Bank,2020-06-03
Central Bank of India,3203542,452264,3655806,116406.37,2944767,(B) Regional Rural Bank,2020-06-03
Indian Bank,668409,200176,868585,19675.81,596753,(B) Regional Rural Bank,2020-06-03
Indian Overseas Bank,1143930,91880,1235810,56632.09,594815,(B) Regional Rural Bank,2020-06-03
Jammu & Kashmir Bank Ltd,146100,26124,172224,9137.09,43976,(B) Regional Rural Bank,2020-06-03
Punjab National Bank,16078597,1114104,17192701,711857.85,6349506,(B) Regional Rural Bank,2020-06-03
State Bank of India,12868456,2309999,15178455,540942.24,5732836,(B) Regional Rural Bank,2020-06-03
UCO Bank,724435,116986,841421,25835.88,197281,(B) Regional Rural Bank,2020-06-03
Union Bank of India,167653,17442,185095,5454.41,102681,(B) Regional Rural Bank,2020-06-03
Regional Rural Banks Sub Total,57662033,10205195,67867228,2494234.90,32905294,(B) Regional Rural Bank,2020-06-03
Axis Bank Ltd,145631,697412,843043,29505.75,704806,(C) Major Private Banks,2020-06-03
City Union Bank Ltd,9420,74228,83648,1754.84,66773,(C) Major Private Banks,2020-06-03
Federal Bank Ltd,466193,107417,573610,29334.29,329525,(C) Major Private Banks,2020-06-03
HDFC Bank Ltd,409897,2079688,2489585,139583.60,2488921,(C) Major Private Banks,2020-06-03
ICICI Bank Ltd,3686219,1041558,4727777,48396.36,4727777,(C) Major Private Banks,2020-06-03
IDBI Bank Ltd.,475106,368185,843291,32295.10,706996,(C) Major Private Banks,2020-06-03
IndusInd Bank Ltd,35118,398653,433771,4577.66,400300,(C) Major Private Banks,2020-06-03
Jammu & Kashmir Bank Ltd,1478728,193387,1672115,98915.00,1431370,(C) Major Private Banks,2020-06-03
Karur Vysya Bank,114081,68321,182402,3054.62,180370,(C) Major Private Banks,2020-06-03
Kotak Mahindra Bank Ltd,117135,44271,161406,1905.16,15197,(C) Major Private Banks,2020-06-03
Lakshmi Vilas Bank Ltd,48166,133791,181957,2870.95,151061,(C) Major Private Banks,2020-06-03
RBL Bank Ltd,63318,41816,105134,1304.11,105134,(C) Major Private Banks,2020-06-03
South Indian Bank Ltd,27716,172321,200037,7262.25,101964,(C) Major Private Banks,2020-06-03
Yes Bank Ltd,6478,5391,11869,220.55,11542,(C) Major Private Banks,2020-06-03
Major Private Banks Sub Total,7083206,5426439,12509645,400980.26,11421736,(C) Major Private Banks,2020-06-03
