Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,94022041,74244529,168266570,2774164.40,142732113,Summary,2016-03-23
Regional Rural Banks,32468472,5345141,37813613,613910.97,26808810,Summary,2016-03-23
Private Sector Banks,4717144,3036959,7754103,133616.83,7290281,Summary,2016-03-23
Grand Total,131207657,82626629,213834286,3521692.20,176831204,Summary,2016-03-23
Allahabad Bank,3435038,956626,4391664,45245.68,4288576,(A) Public Sector Banks,2016-03-23
Andhra Bank,1460218,716160,2176378,20722.53,1915907,(A) Public Sector Banks,2016-03-23
Bank of Baroda,5460231,7017332,12477563,242171.23,11844937,(A) Public Sector Banks,2016-03-23
Bank of India,5110198,6139055,11249253,138389.62,10328383,(A) Public Sector Banks,2016-03-23
Bank of Maharashtra,2404489,804609,3209098,51484.89,1723509,(A) Public Sector Banks,2016-03-23
Bhartiya Mahila Bank,0,67437,67437,1503.50,67437,(A) Public Sector Banks,2016-03-23
Canara Bank,5103735,2299906,7403641,130216.74,7048024,(A) Public Sector Banks,2016-03-23
Central Bank of India,5886264,1519481,7405745,82460.46,5673621,(A) Public Sector Banks,2016-03-23
Corporation Bank,1294551,1296056,2590607,74408.10,2541003,(A) Public Sector Banks,2016-03-23
Dena Bank,2569479,986556,3556035,55820.88,2798123,(A) Public Sector Banks,2016-03-23
IDBI Bank Ltd.,568042,493951,1061993,8432.17,930945,(A) Public Sector Banks,2016-03-23
Indian Bank,1992548,997788,2990336,31309.84,2956630,(A) Public Sector Banks,2016-03-23
Indian Overseas Bank,1426748,2433539,3860287,47805.53,3729205,(A) Public Sector Banks,2016-03-23
Oriental Bank of Commerce,2177619,1489626,3667245,297865.10,3575503,(A) Public Sector Banks,2016-03-23
Punjab & Sind Bank,849638,425812,1275450,44261.38,1266114,(A) Public Sector Banks,2016-03-23
Punjab National Bank,11001224,2065851,13067075,159147.56,9735810,(A) Public Sector Banks,2016-03-23
State Bank of Bikaner & Jaipur,1779717,1741790,3521507,91568.71,3128138,(A) Public Sector Banks,2016-03-23
State Bank of Hyderabad,996856,1810213,2807069,27503.57,2739943,(A) Public Sector Banks,2016-03-23
State Bank of India,23170016,29923739,53093755,433223.69,42049145,(A) Public Sector Banks,2016-03-23
State Bank of Mysore,713637,218237,931874,8102.53,807547,(A) Public Sector Banks,2016-03-23
State Bank of Patiala,426037,782921,1208958,17081.26,1142796,(A) Public Sector Banks,2016-03-23
State Bank of Travancore,52645,461605,514250,9719.24,327156,(A) Public Sector Banks,2016-03-23
Syndicate Bank,2776477,1229583,4006060,81383.11,3606972,(A) Public Sector Banks,2016-03-23
UCO Bank,3567427,3631764,7199191,165071.25,6864271,(A) Public Sector Banks,2016-03-23
Union Bank of India,4551015,1266658,5817673,81950.67,5530002,(A) Public Sector Banks,2016-03-23
United Bank of India,4415120,2883493,7298613,412351.03,4697222,(A) Public Sector Banks,2016-03-23
Vijaya Bank,833072,584741,1417813,14964.12,1415194,(A) Public Sector Banks,2016-03-23
Public Sector Banks Sub Total,94022041,74244529,168266570,2774164.40,142732113,(A) Public Sector Banks,2016-03-23
Allahabad Bank,648341,154818,803159,7712.47,760314,(B) Regional Rural Bank,2016-03-23
Andhra Bank,144906,13086,157992,1589.69,97811,(B) Regional Rural Bank,2016-03-23
Bank of Baroda,3087799,854978,3942777,67874.80,3406305,(B) Regional Rural Bank,2016-03-23
Bank of India,2280796,753182,3033978,26886.68,2654019,(B) Regional Rural Bank,2016-03-23
Bank of Maharashtra,381865,68491,450356,6376.64,450356,(B) Regional Rural Bank,2016-03-23
Canara Bank,549058,379286,928344,21385.45,928271,(B) Regional Rural Bank,2016-03-23
Central Bank of India,3574553,689238,4263791,87507.46,3989677,(B) Regional Rural Bank,2016-03-23
Dena Bank,286030,20079,306109,3056.15,285270,(B) Regional Rural Bank,2016-03-23
Indian Bank,339683,74769,414452,3378.54,345650,(B) Regional Rural Bank,2016-03-23
Indian Overseas Bank,883626,9720,893346,15453.87,616138,(B) Regional Rural Bank,2016-03-23
Jammu & Kashmir Bank Ltd,72226,13613,85839,2864.17,15497,(B) Regional Rural Bank,2016-03-23
Punjab & Sind Bank,13478,2664,16142,233.70,12100,(B) Regional Rural Bank,2016-03-23
Punjab National Bank,2934125,361544,3295669,60643.84,2283739,(B) Regional Rural Bank,2016-03-23
State Bank of Bikaner & Jaipur,1822793,41668,1864461,24954.59,917687,(B) Regional Rural Bank,2016-03-23
State Bank of Hyderabad,757391,128625,886016,23962.04,508374,(B) Regional Rural Bank,2016-03-23
State Bank of India,5835788,992193,6827981,90572.12,3592846,(B) Regional Rural Bank,2016-03-23
State Bank of Mysore,277700,84059,361759,1430.80,315828,(B) Regional Rural Bank,2016-03-23
