Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,65070940,54669626,119740566,1251399.22,112015782,Summary,2015-04-29
Regional Rural Banks,22923849,4044023,26967872,278248.00,19460990,Summary,2015-04-29
Private Sector Banks,3726330,2580595,6306925,89592.15,5676794,Summary,2015-04-29
Grand Total,91721119,61294244,153015363,1619239.37,137153566,Summary,2015-04-29
Allahabad Bank,2139831,780770,2920601,12857.85,2865694,(A) Public Sector Banks,2015-04-29
Andhra Bank,1162035,676970,1839005,10941.47,1819553,(A) Public Sector Banks,2015-04-29
Bank of Baroda,3546089,4840377,8386466,110909.74,8110705,(A) Public Sector Banks,2015-04-29
Bank of India,3011172,4164374,7175546,49197.74,7024714,(A) Public Sector Banks,2015-04-29
Bank of Maharashtra,1210517,563325,1773842,20899.37,1723509,(A) Public Sector Banks,2015-04-29
Bhartiya Mahila Bank,0,61406,61406,892.60,61406,(A) Public Sector Banks,2015-04-29
Canara Bank,4174167,1983105,6157272,75887.60,6157272,(A) Public Sector Banks,2015-04-29
Central Bank of India,4575355,1278309,5853664,34624.25,5141698,(A) Public Sector Banks,2015-04-29
Corporation Bank,1077879,1092961,2170840,44825.44,2112366,(A) Public Sector Banks,2015-04-29
Dena Bank,1859308,900692,2760000,22302.23,2628865,(A) Public Sector Banks,2015-04-29
IDBI Bank Ltd.,500685,440703,941388,4454.86,903102,(A) Public Sector Banks,2015-04-29
Indian Bank,1682726,942331,2625057,17931.28,2595735,(A) Public Sector Banks,2015-04-29
Indian Overseas Bank,1085698,2038320,3124018,26609.92,3029223,(A) Public Sector Banks,2015-04-29
Oriental Bank of Commerce,1448545,1005890,2454435,129240.06,2407148,(A) Public Sector Banks,2015-04-29
Punjab & Sind Bank,819701,425301,1245002,51112.31,1226512,(A) Public Sector Banks,2015-04-29
Punjab National Bank,7827411,1707902,9535313,77765.79,8849103,(A) Public Sector Banks,2015-04-29
State Bank of Bikaner & Jaipur,1188546,1381845,2570391,60365.36,2249198,(A) Public Sector Banks,2015-04-29
State Bank of Hyderabad,921891,1686013,2607904,15412.67,2594394,(A) Public Sector Banks,2015-04-29
State Bank of India,14354506,20546743,34901249,132533.41,31455757,(A) Public Sector Banks,2015-04-29
State Bank of Mysore,603838,211029,814867,4124.57,766999,(A) Public Sector Banks,2015-04-29
State Bank of Patiala,405081,755660,1160741,23265.15,1109871,(A) Public Sector Banks,2015-04-29
State Bank of Travancore,34919,286740,321659,8118.61,285442,(A) Public Sector Banks,2015-04-29
Syndicate Bank,2381940,1181289,3563229,50566.63,3394578,(A) Public Sector Banks,2015-04-29
UCO Bank,2296701,2396800,4693501,67602.32,4529074,(A) Public Sector Banks,2015-04-29
Union Bank of India,3642729,1092913,4735642,37795.58,4653794,(A) Public Sector Banks,2015-04-29
United Bank of India,2389587,1727926,4117513,154346.84,3090258,(A) Public Sector Banks,2015-04-29
Vijaya Bank,730083,499932,1230015,6815.56,1229812,(A) Public Sector Banks,2015-04-29
