Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,96681776,76292531,172974307,3014372.60,145790318,Summary,2016-06-01
Regional Rural Banks,33527212,5496156,39023368,685987.03,27420767,Summary,2016-06-01
Private Sector Banks,5039943,3100178,8140121,140820.19,7656665,Summary,2016-06-01
Grand Total,135248931,84888865,220137796,3841179.82,180867750,Summary,2016-06-01
Allahabad Bank,3676036,970688,4646724,53268.99,4319075,(A) Public Sector Banks,2016-06-01
Andhra Bank,1470977,717524,2188501,22356.13,1916466,(A) Public Sector Banks,2016-06-01
Bank of Baroda,5734190,7337320,13071510,263587.31,12352115,(A) Public Sector Banks,2016-06-01
Bank of India,5550184,6642580,12192764,169069.56,11777039,(A) Public Sector Banks,2016-06-01
Bank of Maharashtra,2452752,815311,3268063,55590.79,1723509,(A) Public Sector Banks,2016-06-01
Bhartiya Mahila Bank,0,69130,69130,1565.91,69130,(A) Public Sector Banks,2016-06-01
Canara Bank,5187508,2353665,7541173,133510.71,7094603,(A) Public Sector Banks,2016-06-01
Central Bank of India,5980474,1554030,7534504,93007.65,5737127,(A) Public Sector Banks,2016-06-01
Corporation Bank,1302614,1301775,2604389,73945.94,2555886,(A) Public Sector Banks,2016-06-01
Dena Bank,2659670,1004011,3663681,57208.23,2798123,(A) Public Sector Banks,2016-06-01
IDBI Bank Ltd.,585291,508324,1093615,9627.42,930838,(A) Public Sector Banks,2016-06-01
Indian Bank,1953161,994960,2948121,32306.39,2915365,(A) Public Sector Banks,2016-06-01
Indian Overseas Bank,1428748,2433885,3862633,47805.53,3729205,(A) Public Sector Banks,2016-06-01
Oriental Bank of Commerce,2212412,1500051,3712463,308383.98,3573969,(A) Public Sector Banks,2016-06-01
Punjab & Sind Bank,845028,429934,1274962,46504.99,1266114,(A) Public Sector Banks,2016-06-01
Punjab National Bank,11267755,2103036,13370791,173381.68,9834061,(A) Public Sector Banks,2016-06-01
State Bank of Bikaner & Jaipur,1847087,1790717,3637804,98909.59,3232951,(A) Public Sector Banks,2016-06-01
State Bank of Hyderabad,996676,1810432,2807108,31139.15,2740078,(A) Public Sector Banks,2016-06-01
State Bank of India,23806005,30510955,54316960,499676.91,42528827,(A) Public Sector Banks,2016-06-01
State Bank of Mysore,751105,218584,969689,8302.50,811739,(A) Public Sector Banks,2016-06-01
State Bank of Patiala,426170,783071,1209241,18606.54,1142925,(A) Public Sector Banks,2016-06-01
State Bank of Travancore,69113,617862,686975,13557.53,328986,(A) Public Sector Banks,2016-06-01
Syndicate Bank,2795515,1232909,4028424,80355.07,3659404,(A) Public Sector Banks,2016-06-01
UCO Bank,3638263,3691516,7329779,176627.55,6938223,(A) Public Sector Banks,2016-06-01
Union Bank of India,4619357,1281457,5900814,86987.15,5594733,(A) Public Sector Banks,2016-06-01
United Bank of India,4556584,3004130,7560714,444436.60,4756350,(A) Public Sector Banks,2016-06-01
Vijaya Bank,869101,614674,1483775,14652.81,1463477,(A) Public Sector Banks,2016-06-01
Public Sector Banks Sub Total,96681776,76292531,172974307,3014372.60,145790318,(A) Public Sector Banks,2016-06-01
