Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Bank of Maharashtra,731277,123795,855072,23386.18,795012,(B) Regional Rural Bank,2017-06-07
Canara Bank,641650,438943,1080593,52813.47,1052316,(B) Regional Rural Bank,2017-06-07
Central Bank of India,3513877,675561,4189438,120758.82,3815019,(B) Regional Rural Bank,2017-06-07
Dena Bank,377096,13578,390674,11868.24,288934,(B) Regional Rural Bank,2017-06-07
Indian Bank,402400,119702,522102,6539.94,454710,(B) Regional Rural Bank,2017-06-07
Indian Overseas Bank,994808,9727,1004535,25528.83,616138,(B) Regional Rural Bank,2017-06-07
Jammu & Kashmir Bank Ltd,87345,15418,102763,4656.04,19346,(B) Regional Rural Bank,2017-06-07
Punjab & Sind Bank,18510,704,19214,301.92,17330,(B) Regional Rural Bank,2017-06-07
Punjab National Bank,3096651,411740,3508391,106172.03,2965902,(B) Regional Rural Bank,2017-06-07
State Bank of India,10106982,1962766,12069748,260181.09,6037705,(B) Regional Rural Bank,2017-06-07
Syndicate Bank,2041238,551033,2592271,88445.12,2469730,(B) Regional Rural Bank,2017-06-07
UCO Bank,1362635,52388,1415023,24172.17,559570,(B) Regional Rural Bank,2017-06-07
Union Bank of India,889090,288554,1177644,27175.98,749857,(B) Regional Rural Bank,2017-06-07
United Bank of India,7675623,105434,7781057,182451.83,6576010,(B) Regional Rural Bank,2017-06-07
Regional Rural Banks Sub Total,39920799,7036209,46957008,1167933.40,35372395,(B) Regional Rural Bank,2017-06-07
Axis Bank Ltd,107140,609419,716559,18663.06,637553,(C) Major Private Banks,2017-06-07
City Union Bank Ltd,15765,68219,83984,1518.48,71203,(C) Major Private Banks,2017-06-07
Federal Bank Ltd,384662,80696,465358,18421.75,411666,(C) Major Private Banks,2017-06-07
HDFC Bank Ltd,329812,1428716,1758528,85460.89,1757850,(C) Major Private Banks,2017-06-07
ICICI Bank Ltd,3086157,362776,3448933,20311.71,3448933,(C) Major Private Banks,2017-06-07
IndusInd Bank Ltd,41874,400221,442095,2877.41,417445,(C) Major Private Banks,2017-06-07
Jammu & Kashmir Bank Ltd,1324069,134626,1458695,51779.93,1133720,(C) Major Private Banks,2017-06-07
Karur Vysya Bank,23910,154950,178860,1704.29,161276,(C) Major Private Banks,2017-06-07
Kotak Mahindra Bank Ltd,108150,72449,180599,1870.70,133031,(C) Major Private Banks,2017-06-07
Lakshmi Vilas Bank Ltd,49089,127345,176434,1745.02,175004,(C) Major Private Banks,2017-06-07
RBL Bank Ltd,59787,35520,95307,269.27,95307,(C) Major Private Banks,2017-06-07
South Indian Bank Ltd,31138,177751,208889,4412.06,64785,(C) Major Private Banks,2017-06-07
Yes Bank Ltd,7866,7693,15559,214.32,14407,(C) Major Private Banks,2017-06-07
Major Private Banks Sub Total,5569419,3660381,9229800,209248.90,8522180,(C) Major Private Banks,2017-06-07
