Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,126737454,105183329,231920783,5077734.10,179053202,Summary,2017-06-07
Regional Rural Banks,39920799,7036209,46957008,1167933.40,35372395,Summary,2017-06-07
Private Sector Banks,5569419,3660381,9229800,209248.90,8522180,Summary,2017-06-07
Grand Total,172227672,115879919,288107591,6454916.40,222947777,Summary,2017-06-07
Allahabad Bank,5436547,1210864,6647411,128096.27,5165098,(A) Public Sector Banks,2017-06-07
Andhra Bank,1624243,795874,2420117,32966.36,1936384,(A) Public Sector Banks,2017-06-07
Bank of Baroda,7879623,12550989,20430612,481216.30,19163293,(A) Public Sector Banks,2017-06-07
Bank of India,8199883,9172294,17372177,347371.86,16183930,(A) Public Sector Banks,2017-06-07
Bank of Maharashtra,3430780,1025065,4455845,93005.90,891780,(A) Public Sector Banks,2017-06-07
Canara Bank,4465271,2076801,6542072,176622.76,4266167,(A) Public Sector Banks,2017-06-07
Central Bank of India,7585530,1997035,9582565,165687.12,7155887,(A) Public Sector Banks,2017-06-07
Corporation Bank,1363410,1343292,2706702,104139.65,2553549,(A) Public Sector Banks,2017-06-07
Dena Bank,3159601,907664,4067265,73482.51,2577413,(A) Public Sector Banks,2017-06-07
IDBI Bank Ltd.,462983,361430,824413,19019.23,667243,(A) Public Sector Banks,2017-06-07
Indian Bank,2173538,1086083,3259621,43251.27,3223919,(A) Public Sector Banks,2017-06-07
Indian Overseas Bank,957917,3340899,4298816,73456.24,4029490,(A) Public Sector Banks,2017-06-07
Oriental Bank of Commerce,2267313,1753469,4020782,413195.48,3705232,(A) Public Sector Banks,2017-06-07
Punjab & Sind Bank,496210,259575,755785,53988.28,722887,(A) Public Sector Banks,2017-06-07
Punjab National Bank,13961080,2628464,16589544,296346.21,13487036,(A) Public Sector Banks,2017-06-07
State Bank of India,44246376,54195990,98442366,1356485.05,69125497,(A) Public Sector Banks,2017-06-07
Syndicate Bank,2993258,1376619,4369877,114187.78,3795457,(A) Public Sector Banks,2017-06-07
UCO Bank,3149905,2683319,5833224,129558.23,3937232,(A) Public Sector Banks,2017-06-07
Union Bank of India,5458409,1466608,6925017,128553.01,4900748,(A) Public Sector Banks,2017-06-07
United Bank of India,6599687,4310956,10910643,828455.34,10131641,(A) Public Sector Banks,2017-06-07
Vijaya Bank,825890,640039,1465929,18649.25,1433319,(A) Public Sector Banks,2017-06-07
Public Sector Banks Sub Total,126737454,105183329,231920783,5077734.10,179053202,(A) Public Sector Banks,2017-06-07
Allahabad Bank,918662,169109,1087771,26274.25,768064,(B) Regional Rural Bank,2017-06-07
Andhra Bank,164403,16980,181383,2647.64,100262,(B) Regional Rural Bank,2017-06-07
Bank of Baroda,4042116,1150116,5192232,130614.16,4505600,(B) Regional Rural Bank,2017-06-07
Bank of India,2856436,930661,3787097,73945.68,3580890,(B) Regional Rural Bank,2017-06-07
