Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,158747217,138542298,297289515,8435008.05,245876244,Summary,2019-10-30
Regional Rural Banks,51914308,11892241,63806549,1945720.64,38619107,Summary,2019-10-30
Private Sector Banks,6952301,5552105,12504406,302935.93,11608567,Summary,2019-10-30
Grand Total,217613826,155986644,373600470,10683664.62,296103918,Summary,2019-10-30
Allahabad Bank,8253121,3525850,11778971,408785.17,6563803,(A) Public Sector Banks,2019-10-30
Andhra Bank,1844640,1060862,2905502,58524.51,2143599,(A) Public Sector Banks,2019-10-30
Bank of Baroda,17004143,22482514,39486657,1209641.53,34625492,(A) Public Sector Banks,2019-10-30
Bank of India,11188207,11798155,22986362,668973.72,19604708,(A) Public Sector Banks,2019-10-30
Bank of Maharashtra,4630546,1368579,5999125,165426.67,1679440,(A) Public Sector Banks,2019-10-30
Canara Bank,5202808,2284012,7486820,255691.57,1847980,(A) Public Sector Banks,2019-10-30
Central Bank of India,11681094,2541707,14222801,343044.77,8671173,(A) Public Sector Banks,2019-10-30
Corporation Bank,1666471,1583827,3250298,122858.84,2806228,(A) Public Sector Banks,2019-10-30
Indian Bank,2665261,1252478,3917739,67710.27,3877260,(A) Public Sector Banks,2019-10-30
Indian Overseas Bank,1127290,3881835,5009125,120822.43,4607502,(A) Public Sector Banks,2019-10-30
Oriental Bank of Commerce,2917287,2077843,4995130,429497.48,4090920,(A) Public Sector Banks,2019-10-30
Punjab & Sind Bank,886049,436055,1322104,65863.17,1186486,(A) Public Sector Banks,2019-10-30
Punjab National Bank,16913872,2988552,19902424,521008.46,18616813,(A) Public Sector Banks,2019-10-30
State Bank of India,48268619,68745379,117013998,2580225.63,109854203,(A) Public Sector Banks,2019-10-30
Syndicate Bank,3593007,1538755,5131762,177754.38,4139481,(A) Public Sector Banks,2019-10-30
UCO Bank,4657322,3608036,8265358,248890.07,4100976,(A) Public Sector Banks,2019-10-30
Union Bank of India,8353375,2210141,10563516,246237.64,7008913,(A) Public Sector Banks,2019-10-30
United Bank of India,7894105,5157718,13051823,744051.73,10451267,(A) Public Sector Banks,2019-10-30
Public Sector Banks Sub Total,158747217,138542298,297289515,8435008.05,245876244,(A) Public Sector Banks,2019-10-30
Andhra Bank,167275,17454,184729,3729.31,101856,(B) Regional Rural Bank,2019-10-30
Bank of Baroda,6744540,1945655,8690195,288920.36,6370534,(B) Regional Rural Bank,2019-10-30
Bank of India,3715500,3307273,7022773,167449.65,4932514,(B) Regional Rural Bank,2019-10-30
Bank of Maharashtra,1509665,144646,1654311,40538.20,883008,(B) Regional Rural Bank,2019-10-30
Canara Bank,2554392,1063394,3617786,126234.95,2117218,(B) Regional Rural Bank,2019-10-30
Central Bank of India,3108600,445744,3554344,104818.02,2999008,(B) Regional Rural Bank,2019-10-30
Indian Bank,658106,197165,855271,12542.34,595451,(B) Regional Rural Bank,2019-10-30
Indian Overseas Bank,1109383,38419,1147802,43628.14,591316,(B) Regional Rural Bank,2019-10-30
Jammu & Kashmir Bank Ltd,121704,20146,141850,7388.31,27936,(B) Regional Rural Bank,2019-10-30
Punjab National Bank,5861154,934152,6795306,342562.55,4006494,(B) Regional Rural Bank,2019-10-30
State Bank of India,12709159,2551632,15260791,396603.49,5812512,(B) Regional Rural Bank,2019-10-30
Syndicate Bank,1903729,601102,2504831,76203.51,2195589,(B) Regional Rural Bank,2019-10-30
UCO Bank,682603,62059,744662,19329.56,197300,(B) Regional Rural Bank,2019-10-30
Union Bank of India,1276167,454269,1730436,51061.33,969869,(B) Regional Rural Bank,2019-10-30
United Bank of India,9792331,109131,9901462,264710.91,6818502,(B) Regional Rural Bank,2019-10-30
Regional Rural Banks Sub Total,51914308,11892241,63806549,1945720.64,38619107,(B) Regional Rural Bank,2019-10-30
Axis Bank Ltd,149142,730998,880140,22036.31,766830,(C) Major Private Banks,2019-10-30
City Union Bank Ltd,9731,75991,85722,1467.67,84543,(C) Major Private Banks,2019-10-30
Federal Bank Ltd,463880,107086,570966,23510.47,316675,(C) Major Private Banks,2019-10-30
HDFC Bank Ltd,397165,2074691,2471856,112658.57,2471178,(C) Major Private Banks,2019-10-30
ICICI Bank Ltd,3694265,1038217,4732482,28096.42,4732482,(C) Major Private Banks,2019-10-30
IDBI Bank Ltd.,474461,368577,843038,25393.39,708949,(C) Major Private Banks,2019-10-30
IndusInd Bank Ltd,34445,394497,428942,2868.62,399483,(C) Major Private Banks,2019-10-30
Jammu & Kashmir Bank Ltd,1428797,187166,1615963,75224.07,1432431,(C) Major Private Banks,2019-10-30
Karur Vysya Bank,28239,176425,204664,1817.63,201182,(C) Major Private Banks,2019-10-30
Kotak Mahindra Bank Ltd,126470,42613,169083,2191.45,126509,(C) Major Private Banks,2019-10-30
Lakshmi Vilas Bank Ltd,49102,132541,181643,2013.43,152606,(C) Major Private Banks,2019-10-30
RBL Bank Ltd,62358,45606,107964,288.38,105367,(C) Major Private Banks,2019-10-30
South Indian Bank Ltd,27828,172264,200092,5166.40,98814,(C) Major Private Banks,2019-10-30
Yes Bank Ltd,6418,5433,11851,203.12,11518,(C) Major Private Banks,2019-10-30
Major Private Banks Sub Total,6952301,5552105,12504406,302935.93,11608567,(C) Major Private Banks,2019-10-30
