Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,164402277,140481296,304883573,10169935.38,245219709,Summary,2020-04-29
Regional Rural Banks,56104172,9980272,66084444,2429463.86,34481172,Summary,2020-04-29
Private Sector Banks,6967072,5542829,12509901,363171.14,11447329,Summary,2020-04-29
Grand Total,227473521,156004397,383477918,12962570.38,291148210,Summary,2020-04-29
Bank of Baroda,17669215,24101162,41770377,1509353.36,36627338,(A) Public Sector Banks,2020-04-29
Bank of India,11385079,11982283,23367362,826216.76,19966275,(A) Public Sector Banks,2020-04-29
Bank of Maharashtra,4749446,1428569,6178015,213871.90,1922130,(A) Public Sector Banks,2020-04-29
Canara Bank,9050912,3887398,12938310,527221.97,6712541,(A) Public Sector Banks,2020-04-29
Central Bank of India,10609188,1811646,12420834,342520.68,7414031,(A) Public Sector Banks,2020-04-29
Indian Bank,13227801,3160557,16388358,576073.88,9894391,(A) Public Sector Banks,2020-04-29
Indian Overseas Bank,1144226,3940678,5084904,151805.97,4684851,(A) Public Sector Banks,2020-04-29
Punjab & Sind Bank,873379,436055,1309434,62479.87,1178896,(A) Public Sector Banks,2020-04-29
Punjab National Bank,28087780,10214283,38302063,1782178.41,27810335,(A) Public Sector Banks,2020-04-29
State Bank of India,50029698,70782436,120812134,3307007.79,113064461,(A) Public Sector Banks,2020-04-29
UCO Bank,4842010,3738173,8580183,319071.47,4160233,(A) Public Sector Banks,2020-04-29
Union Bank of India,12733543,4998056,17731599,552133.31,11784227,(A) Public Sector Banks,2020-04-29
Public Sector Banks Sub Total,164402277,140481296,304883573,10169935.38,245219709,(A) Public Sector Banks,2020-04-29
Bank of Baroda,9600005,2595746,12195751,470552.24,8107477,(B) Regional Rural Bank,2020-04-29
Bank of India,5236836,1924721,7161557,203056.15,4932514,(B) Regional Rural Bank,2020-04-29
Bank of Maharashtra,1745068,145328,1890396,65526.60,936673,(B) Regional Rural Bank,2020-04-29
Canara Bank,4930902,1048480,5979382,254203.66,2810958,(B) Regional Rural Bank,2020-04-29
Central Bank of India,3198398,450915,3649313,116591.98,2956576,(B) Regional Rural Bank,2020-04-29
Indian Bank,664378,201167,865545,15042.86,596735,(B) Regional Rural Bank,2020-04-29
Indian Overseas Bank,1133102,90367,1223469,54387.50,594092,(B) Regional Rural Bank,2020-04-29
Jammu & Kashmir Bank Ltd,133231,22351,155582,8809.93,41697,(B) Regional Rural Bank,2020-04-29
Punjab National Bank,15992261,1090029,17082290,699879.14,7487571,(B) Regional Rural Bank,2020-04-29
State Bank of India,12580980,2277064,14858044,513504.70,5717169,(B) Regional Rural Bank,2020-04-29
UCO Bank,721344,116661,838005,23107.90,197281,(B) Regional Rural Bank,2020-04-29
Union Bank of India,167667,17443,185110,4801.20,102429,(B) Regional Rural Bank,2020-04-29
Regional Rural Banks Sub Total,56104172,9980272,66084444,2429463.86,34481172,(B) Regional Rural Bank,2020-04-29
Axis Bank Ltd,144896,723947,868843,26629.78,734635,(C) Major Private Banks,2020-04-29
City Union Bank Ltd,9353,74169,83522,1604.02,66669,(C) Major Private Banks,2020-04-29
Federal Bank Ltd,462689,106638,569327,27658.10,322930,(C) Major Private Banks,2020-04-29
HDFC Bank Ltd,396419,2091933,2488352,121439.75,2487674,(C) Major Private Banks,2020-04-29
ICICI Bank Ltd,3686366,1041285,4727651,41724.92,4727651,(C) Major Private Banks,2020-04-29
IDBI Bank Ltd.,474846,368028,842874,29640.50,707125,(C) Major Private Banks,2020-04-29
IndusInd Bank Ltd,35015,396573,431588,4093.10,398906,(C) Major Private Banks,2020-04-29
Jammu & Kashmir Bank Ltd,1467297,190814,1658111,95871.97,1438439,(C) Major Private Banks,2020-04-29
Karur Vysya Bank,27570,153887,181457,2258.72,179705,(C) Major Private Banks,2020-04-29
Kotak Mahindra Bank Ltd,117135,44271,161406,1905.16,15197,(C) Major Private Banks,2020-04-29
Lakshmi Vilas Bank Ltd,48080,132680,180760,2546.68,150678,(C) Major Private Banks,2020-04-29
RBL Bank Ltd,63319,41818,105137,859.55,105137,(C) Major Private Banks,2020-04-29
South Indian Bank Ltd,27612,171395,199007,6766.71,101046,(C) Major Private Banks,2020-04-29
Yes Bank Ltd,6475,5391,11866,172.18,11537,(C) Major Private Banks,2020-04-29
Major Private Banks Sub Total,6967072,5542829,12509901,363171.14,11447329,(C) Major Private Banks,2020-04-29
