Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,93320554,73770741,167091295,2710822.18,141797818,Summary,2016-03-09
Regional Rural Banks,32204636,5311619,37516255,588377.42,26719416,Summary,2016-03-09
Private Sector Banks,4582643,3025173,7607816,126807.85,7168153,Summary,2016-03-09
Grand Total,130107833,82107533,212215366,3426007.45,175685387,Summary,2016-03-09
Allahabad Bank,3383994,953870,4337864,42573.26,4282957,(A) Public Sector Banks,2016-03-09
Andhra Bank,1457105,715335,2172440,20250.91,1915907,(A) Public Sector Banks,2016-03-09
Bank of Baroda,5395874,6940306,12336180,232308.23,11722316,(A) Public Sector Banks,2016-03-09
Bank of India,5019098,6045876,11064974,129303.63,9947984,(A) Public Sector Banks,2016-03-09
Bank of Maharashtra,2392009,801653,3193662,50143.22,1723509,(A) Public Sector Banks,2016-03-09
Bhartiya Mahila Bank,0,67388,67388,1456.98,67388,(A) Public Sector Banks,2016-03-09
Canara Bank,5076875,2304447,7381322,129227.81,7053890,(A) Public Sector Banks,2016-03-09
Central Bank of India,5856695,1515888,7372583,79579.94,5648397,(A) Public Sector Banks,2016-03-09
Corporation Bank,1292009,1294216,2586225,73548.65,2536833,(A) Public Sector Banks,2016-03-09
Dena Bank,2541831,984238,3526069,53469.34,2798123,(A) Public Sector Banks,2016-03-09
IDBI Bank Ltd.,565029,490532,1055561,8302.60,933612,(A) Public Sector Banks,2016-03-09
Indian Bank,1987070,996351,2983421,30733.58,2949586,(A) Public Sector Banks,2016-03-09
Indian Overseas Bank,1426748,2433539,3860287,47805.53,3729205,(A) Public Sector Banks,2016-03-09
Oriental Bank of Commerce,2159390,1478664,3638054,289753.36,3547469,(A) Public Sector Banks,2016-03-09
Punjab & Sind Bank,849465,425700,1275165,43972.38,1266114,(A) Public Sector Banks,2016-03-09
Punjab National Bank,10948159,2067973,13016132,153294.18,9690456,(A) Public Sector Banks,2016-03-09
State Bank of Bikaner & Jaipur,1771789,1735132,3506921,89847.81,3113096,(A) Public Sector Banks,2016-03-09
State Bank of Hyderabad,996732,1809962,2806694,27147.80,2739843,(A) Public Sector Banks,2016-03-09
State Bank of India,22946914,29713046,52659960,432962.37,41870762,(A) Public Sector Banks,2016-03-09
State Bank of Mysore,697088,218088,915176,7816.09,797532,(A) Public Sector Banks,2016-03-09
State Bank of Patiala,425991,782871,1208862,16530.02,1142771,(A) Public Sector Banks,2016-03-09
State Bank of Travancore,52116,455256,507372,9871.75,327111,(A) Public Sector Banks,2016-03-09
Syndicate Bank,2771220,1229310,4000530,81878.45,3578018,(A) Public Sector Banks,2016-03-09
UCO Bank,3554367,3615073,7169440,160839.68,6828391,(A) Public Sector Banks,2016-03-09
Union Bank of India,4541420,1255194,5796614,78815.09,5507935,(A) Public Sector Banks,2016-03-09
United Bank of India,4390911,2865301,7256212,404907.49,4685909,(A) Public Sector Banks,2016-03-09
Vijaya Bank,820655,575532,1396187,14482.06,1392704,(A) Public Sector Banks,2016-03-09
Public Sector Banks Sub Total,93320554,73770741,167091295,2710822.18,141797818,(A) Public Sector Banks,2016-03-09
Allahabad Bank,647108,154518,801626,7585.35,759582,(B) Regional Rural Bank,2016-03-09
Andhra Bank,144692,13064,157756,1572.64,97804,(B) Regional Rural Bank,2016-03-09
Bank of Baroda,3043274,844528,3887802,62188.86,3403931,(B) Regional Rural Bank,2016-03-09
