Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,92737330,73361955,166099285,2647866.84,141107714,Summary,2016-03-02
Regional Rural Banks,32081591,5292020,37373611,581412.74,26694059,Summary,2016-03-02
Private Sector Banks,4563580,3018293,7581873,123930.53,7138578,Summary,2016-03-02
Grand Total,129382501,81672268,211054769,3353210.11,174940351,Summary,2016-03-02
Allahabad Bank,3356832,952203,4309035,41724.69,4250864,(A) Public Sector Banks,2016-03-02
Andhra Bank,1455339,715022,2170361,19903.22,1915801,(A) Public Sector Banks,2016-03-02
Bank of Baroda,5355761,6894067,12249828,228892.92,11643314,(A) Public Sector Banks,2016-03-02
Bank of India,4950058,5986832,10936890,124745.76,9750223,(A) Public Sector Banks,2016-03-02
Bank of Maharashtra,2384741,799970,3184711,49246.04,1723509,(A) Public Sector Banks,2016-03-02
Bhartiya Mahila Bank,0,67370,67370,1437.00,67370,(A) Public Sector Banks,2016-03-02
Canara Bank,5062515,2302515,7365030,127310.00,7047178,(A) Public Sector Banks,2016-03-02
Central Bank of India,5840138,1512997,7353135,78657.72,5637945,(A) Public Sector Banks,2016-03-02
Corporation Bank,1290810,1293236,2584046,71775.49,2535074,(A) Public Sector Banks,2016-03-02
Dena Bank,2529431,983953,3513384,51814.75,2798123,(A) Public Sector Banks,2016-03-02
IDBI Bank Ltd.,563089,488610,1051699,8164.75,933685,(A) Public Sector Banks,2016-03-02
Indian Bank,1983324,995923,2979247,30091.96,2945462,(A) Public Sector Banks,2016-03-02
Indian Overseas Bank,1426748,2433539,3860287,47805.53,3729205,(A) Public Sector Banks,2016-03-02
Oriental Bank of Commerce,2147894,1471381,3619275,285610.94,3531241,(A) Public Sector Banks,2016-03-02
Punjab & Sind Bank,849265,425641,1274906,43240.98,1266114,(A) Public Sector Banks,2016-03-02
Punjab National Bank,10912693,2066494,12979187,149359.16,9681382,(A) Public Sector Banks,2016-03-02
State Bank of Bikaner & Jaipur,1765537,1730150,3495687,89127.32,3101390,(A) Public Sector Banks,2016-03-02
State Bank of Hyderabad,996746,1809735,2806481,26669.92,2739837,(A) Public Sector Banks,2016-03-02
State Bank of India,22794755,29568103,52362858,409379.25,41742040,(A) Public Sector Banks,2016-03-02
State Bank of Mysore,693943,218054,911997,7713.83,797532,(A) Public Sector Banks,2016-03-02
State Bank of Patiala,425979,782859,1208838,16283.32,1142759,(A) Public Sector Banks,2016-03-02
State Bank of Travancore,51559,451012,502571,9578.67,327084,(A) Public Sector Banks,2016-03-02
Syndicate Bank,2768831,1229080,3997911,81757.68,3578018,(A) Public Sector Banks,2016-03-02
UCO Bank,3537386,3597034,7134420,159014.42,6828391,(A) Public Sector Banks,2016-03-02
Union Bank of India,4531305,1253257,5784562,77433.32,5490395,(A) Public Sector Banks,2016-03-02
United Bank of India,4278478,2795126,7073604,398448.40,4584543,(A) Public Sector Banks,2016-03-02
Vijaya Bank,784173,537792,1321965,12679.79,1319235,(A) Public Sector Banks,2016-03-02
Public Sector Banks Sub Total,92737330,73361955,166099285,2647866.84,141107714,(A) Public Sector Banks,2016-03-02
Allahabad Bank,646583,154394,800977,7506.43,759343,(B) Regional Rural Bank,2016-03-02
Andhra Bank,144588,13051,157639,1572.45,97796,(B) Regional Rural Bank,2016-03-02
Bank of Baroda,3017649,839002,3856651,61145.40,3402671,(B) Regional Rural Bank,2016-03-02
Bank of India,2263515,741238,3004753,24407.47,2654020,(B) Regional Rural Bank,2016-03-02
Bank of Maharashtra,381865,68491,450356,6375.91,450356,(B) Regional Rural Bank,2016-03-02
Canara Bank,544669,376451,921120,21350.64,921120,(B) Regional Rural Bank,2016-03-02
Central Bank of India,3570773,687418,4258191,84030.98,3989125,(B) Regional Rural Bank,2016-03-02
Dena Bank,284185,19720,303905,3012.17,285270,(B) Regional Rural Bank,2016-03-02
Indian Bank,338788,72704,411492,3289.97,345650,(B) Regional Rural Bank,2016-03-02
Indian Overseas Bank,878172,9717,887889,14704.27,616138,(B) Regional Rural Bank,2016-03-02
Jammu & Kashmir Bank Ltd,71369,13407,84776,2652.05,0,(B) Regional Rural Bank,2016-03-02
Punjab & Sind Bank,13253,2613,15866,228.85,12100,(B) Regional Rural Bank,2016-03-02
Punjab National Bank,2920194,360239,3280433,57195.32,2266896,(B) Regional Rural Bank,2016-03-02
State Bank of Bikaner & Jaipur,1794886,40973,1835859,24162.67,871777,(B) Regional Rural Bank,2016-03-02
State Bank of Hyderabad,757391,128625,886016,23962.04,508374,(B) Regional Rural Bank,2016-03-02
State Bank of India,5772416,988299,6760715,86142.45,3582637,(B) Regional Rural Bank,2016-03-02
State Bank of Mysore,277535,83996,361531,1429.77,315807,(B) Regional Rural Bank,2016-03-02
State Bank of Patiala,46887,665,47552,1005.27,36770,(B) Regional Rural Bank,2016-03-02
Syndicate Bank,1701491,423155,2124646,49230.74,1976230,(B) Regional Rural Bank,2016-03-02
UCO Bank,914017,31978,945995,14279.39,536839,(B) Regional Rural Bank,2016-03-02
Union Bank of India,576049,154818,730867,3727.86,659871,(B) Regional Rural Bank,2016-03-02
United Bank of India,5165316,81066,5246382,90000.66,2405269,(B) Regional Rural Bank,2016-03-02
Regional Rural Banks Sub Total,32081591,5292020,37373611,581412.74,26694059,(B) Regional Rural Bank,2016-03-02
Axis Bank Ltd,126837,462822,589659,8183.49,541920,(C) Major Private Banks,2016-03-02
City Union Bank Ltd,14413,64163,78576,1050.77,69595,(C) Major Private Banks,2016-03-02
Federal Bank Ltd,339548,70662,410210,12538.11,374097,(C) Major Private Banks,2016-03-02
HDFC Bank Ltd,304769,1270782,1575551,53781.05,1574873,(C) Major Private Banks,2016-03-02
ICICI Bank Ltd,2335247,316106,2651353,12749.06,2626671,(C) Major Private Banks,2016-03-02
IndusInd Bank Ltd,33911,270550,304461,1697.43,289799,(C) Major Private Banks,2016-03-02
Jammu & Kashmir Bank Ltd,1155443,122133,1277576,28207.63,1120647,(C) Major Private Banks,2016-03-02
Karur Vysya Bank,18858,120936,139794,1061.48,123482,(C) Major Private Banks,2016-03-02
Kotak Mahindra Bank Ltd,92073,91560,183633,1521.85,113068,(C) Major Private Banks,2016-03-02
Lakshmi Vilas Bank Ltd,57797,101493,159290,1130.98,146956,(C) Major Private Banks,2016-03-02
RBL Bank Ltd,59787,35520,95307,522.99,95307,(C) Major Private Banks,2016-03-02
South Indian Bank Ltd,17373,85815,103188,1364.70,50425,(C) Major Private Banks,2016-03-02
Yes Bank Ltd,7524,5751,13275,120.99,11738,(C) Major Private Banks,2016-03-02
Major Private Banks Sub Total,4563580,3018293,7581873,123930.53,7138578,(C) Major Private Banks,2016-03-02
