Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,136732264,117650383,254382647,6526745.51,190968640,Summary,2018-04-18
Regional Rural Banks,42653158,7871273,50524431,1350763.63,36750870,Summary,2018-04-18
Private Sector Banks,5960593,3950834,9911427,222754.90,9201656,Summary,2018-04-18
Grand Total,185346015,129472490,314818505,8100264.04,236921166,Summary,2018-04-18
Allahabad Bank,5963116,1680360,7643476,215673.46,5884106,(A) Public Sector Banks,2018-04-18
Andhra Bank,1514760,887208,2401968,33422.28,1807920,(A) Public Sector Banks,2018-04-18
Bank of Baroda,9174886,14982120,24157006,665865.86,22342285,(A) Public Sector Banks,2018-04-18
Bank of India,9236721,10137667,19374388,451228.55,18008415,(A) Public Sector Banks,2018-04-18
Bank of Maharashtra,3982858,1178901,5161759,115891.46,1054198,(A) Public Sector Banks,2018-04-18
Canara Bank,4650212,2119963,6770175,205870.80,4244583,(A) Public Sector Banks,2018-04-18
Central Bank of India,9072089,2165093,11237182,226067.89,8616615,(A) Public Sector Banks,2018-04-18
Corporation Bank,1363136,1350170,2713306,107291.59,2570283,(A) Public Sector Banks,2018-04-18
Dena Bank,3492640,926411,4419051,103206.12,2651053,(A) Public Sector Banks,2018-04-18
IDBI Bank Ltd.,458391,364377,822768,21524.10,676213,(A) Public Sector Banks,2018-04-18
Indian Bank,2209442,1103523,3312965,50935.08,3288955,(A) Public Sector Banks,2018-04-18
Indian Overseas Bank,975849,3413160,4389009,83115.11,4120519,(A) Public Sector Banks,2018-04-18
Oriental Bank of Commerce,2412319,1841534,4253853,435535.60,3791906,(A) Public Sector Banks,2018-04-18
Punjab & Sind Bank,654699,422111,1076810,59804.69,1000773,(A) Public Sector Banks,2018-04-18
Punjab National Bank,15507871,2811227,18319098,353990.05,15948116,(A) Public Sector Banks,2018-04-18
State Bank of India,44403353,60672472,105075825,1760222.15,70325595,(A) Public Sector Banks,2018-04-18
Syndicate Bank,3059136,1380748,4439884,126515.34,3884631,(A) Public Sector Banks,2018-04-18
UCO Bank,3697916,2971444,6669360,171729.85,4046937,(A) Public Sector Banks,2018-04-18
Union Bank of India,6798116,1841836,8639952,194530.26,4876887,(A) Public Sector Banks,2018-04-18
United Bank of India,7281336,4764137,12045473,1123045.66,10370862,(A) Public Sector Banks,2018-04-18
Vijaya Bank,823418,635921,1459339,21279.63,1457788,(A) Public Sector Banks,2018-04-18
Public Sector Banks Sub Total,136732264,117650383,254382647,6526745.51,190968640,(A) Public Sector Banks,2018-04-18
Allahabad Bank,929490,169314,1098804,30782.56,781002,(B) Regional Rural Bank,2018-04-18
Andhra Bank,166631,17394,184025,2919.66,100939,(B) Regional Rural Bank,2018-04-18
Bank of Baroda,4747336,1317306,6064642,178356.14,4911466,(B) Regional Rural Bank,2018-04-18
Bank of India,3072112,1009182,4081294,85161.70,3761427,(B) Regional Rural Bank,2018-04-18
Bank of Maharashtra,812544,125856,938400,20502.80,798631,(B) Regional Rural Bank,2018-04-18
Canara Bank,646392,440732,1087124,55284.28,1057713,(B) Regional Rural Bank,2018-04-18
Central Bank of India,3422655,788807,4211462,123170.36,3789990,(B) Regional Rural Bank,2018-04-18
Dena Bank,410939,13958,424897,14462.59,290009,(B) Regional Rural Bank,2018-04-18
Indian Bank,431762,139800,571562,7917.68,493921,(B) Regional Rural Bank,2018-04-18
Indian Overseas Bank,992091,30164,1022255,31113.16,616138,(B) Regional Rural Bank,2018-04-18
Jammu & Kashmir Bank Ltd,89661,16347,106008,5244.00,21702,(B) Regional Rural Bank,2018-04-18
Punjab & Sind Bank,19233,1240,20473,344.30,18409,(B) Regional Rural Bank,2018-04-18
Punjab National Bank,3069055,556400,3625455,128749.55,3175894,(B) Regional Rural Bank,2018-04-18
State Bank of India,10934283,2187425,13121708,294456.38,6396463,(B) Regional Rural Bank,2018-04-18
Syndicate Bank,2023764,549607,2573371,101394.76,2487837,(B) Regional Rural Bank,2018-04-18
UCO Bank,1499993,54648,1554641,32852.39,559347,(B) Regional Rural Bank,2018-04-18
Union Bank of India,1024297,346356,1370653,36673.31,756476,(B) Regional Rural Bank,2018-04-18
United Bank of India,8360920,106737,8467657,201378.02,6733506,(B) Regional Rural Bank,2018-04-18
Regional Rural Banks Sub Total,42653158,7871273,50524431,1350763.63,36750870,(B) Regional Rural Bank,2018-04-18
Axis Bank Ltd,116949,659614,776563,20544.62,687679,(C) Major Private Banks,2018-04-18
City Union Bank Ltd,9110,75300,84410,1467.61,79460,(C) Major Private Banks,2018-04-18
Federal Bank Ltd,400641,81482,482123,20587.01,422306,(C) Major Private Banks,2018-04-18
HDFC Bank Ltd,331851,1440295,1772146,85200.92,1771468,(C) Major Private Banks,2018-04-18
ICICI Bank Ltd,3466800,552445,4019245,21278.96,4019245,(C) Major Private Banks,2018-04-18
IndusInd Bank Ltd,41223,408898,450121,3167.45,423738,(C) Major Private Banks,2018-04-18
Jammu & Kashmir Bank Ltd,1325127,179582,1504709,60129.92,1191140,(C) Major Private Banks,2018-04-18
Karur Vysya Bank,25472,164542,190014,1787.43,187543,(C) Major Private Banks,2018-04-18
Kotak Mahindra Bank Ltd,107097,70970,178067,1990.37,130501,(C) Major Private Banks,2018-04-18
Lakshmi Vilas Bank Ltd,38625,98023,136648,1663.21,122869,(C) Major Private Banks,2018-04-18
RBL Bank Ltd,59787,35520,95307,201.36,94491,(C) Major Private Banks,2018-04-18
South Indian Bank Ltd,30535,179022,209557,4504.14,60465,(C) Major Private Banks,2018-04-18
Yes Bank Ltd,7376,5141,12517,231.89,10751,(C) Major Private Banks,2018-04-18
Major Private Banks Sub Total,5960593,3950834,9911427,222754.90,9201656,(C) Major Private Banks,2018-04-18
