Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Bank of Maharashtra,651554.0,338579.0,990133.0,594.45,146314.0,(A) Public Sector Banks,2014-10-08
Central Bank of India,2072937.0,716338.0,2789275.0,2071.84,1071545.0,(A) Public Sector Banks,2014-10-08
Indian Bank,940544.0,598693.0,1539237.0,666.55,1426828.0,(A) Public Sector Banks,2014-10-08
Oriental Bank of Commerce,687386.0,515288.0,1202674.0,1603.92,431155.0,(A) Public Sector Banks,2014-10-08
State Bank of Bikaner & Jaipur,412558.0,574101.0,986659.0,0.0,230018.0,(A) Public Sector Banks,2014-10-08
State Bank of India,3674485.0,5249691.0,8924176.0,2090.61,3397761.0,(A) Public Sector Banks,2014-10-08
State Bank of Mysore,333888.0,114619.0,448507.0,228.34,305440.0,(A) Public Sector Banks,2014-10-08
Syndicate Bank,1186045.0,703044.0,1889089.0,6.12,725621.0,(A) Public Sector Banks,2014-10-08
UCO Bank,814077.0,868417.0,1682494.0,1680.94,665302.0,(A) Public Sector Banks,2014-10-08
Union Bank of India,1314401.0,353560.0,1667961.0,347.52,1488936.0,(A) Public Sector Banks,2014-10-08
Public Sector Banks Sub Total,14856505.0,13855257.0,28711762.0,11133.84,14468061.0,(A) Public Sector Banks,2014-10-08
Union Bank of India,313222.0,78792.0,392014.0,1573.0,6694.0,(B) Regional Rural Bank,2014-10-08
Regional Rural Banks Sub Total,313222.0,78792.0,392014.0,1573.0,6694.0,(B) Regional Rural Bank,2014-10-08
Axis Bank Ltd,70407.0,100669.0,171076.0,70.69,0.0,(C) Major Private Banks,2014-10-08
City Union Bank Ltd,6148.0,27285.0,33433.0,38.92,0.0,(C) Major Private Banks,2014-10-08
Federal Bank Ltd,77862.0,24077.0,101939.0,463.28,26894.0,(C) Major Private Banks,2014-10-08
ICICI Bank Ltd,263777.0,73611.0,337388.0,230.12,4563.0,(C) Major Private Banks,2014-10-08
Karur Vysya Bank,3666.0,40301.0,43967.0,14.71,36018.0,(C) Major Private Banks,2014-10-08
Kotak Mahindra Bank Ltd,17153.0,12643.0,29796.0,8.21,0.0,(C) Major Private Banks,2014-10-08
RBL Bank Ltd,30481.0,13967.0,44448.0,0.0,13379.0,(C) Major Private Banks,2014-10-08
Major Private Banks Sub Total,469494.0,292553.0,762047.0,825.93,80854.0,(C) Major Private Banks,2014-10-08
